"Children out of school, primary",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Mexico,,1922480,,,,,,1255630,,,,,,,,149543,0,0,12577,309492,77972,116682,49419,39486,63313,57477,79825,113934,105172,59308,73700,80053,69622,63311,59962,59233,46163,75232,61722,49793,58273,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18507,10459,9108,7181,6717,12469,16572,16982,15389,15482,14936,13935
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,4783,,,9261,,,,8656,,,,,,,,35187,30296,40100,31923,27323,21173,16581,17627,32893,17164,24094,13274,14812,7731,6673,2122,2671
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884,,682,510,1784,2240,,,1298
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,1390535,1417016,1445991,,1405581,1335226,1220145,1139373,1099358,1061476,1016874,1067550,1050641,1011443,1063094,1117534,1187510,1259925,1356853,1371380,1686151,1720595,1679733,1603382,1505907,1417901,1356663,1371062,1157256,941922,757073,564838,498193,497894,461100,419161,380029,351472,344672,207749,133632
Mozambique,,,,924764,,,,,,827424,849910,899576,935288,736619,,738905,773224,1032137,1123180,1135654,1122172,1154148,1195287,1230739,1227158,1203978,,,1681394,1597511,1497798,1378541,1565521,,1126260,938034,791046,589303,459383,422041,366736,482089
Myanmar,,1262773,,1019694,1412068,,,,1341748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,54216,54884,,48206,,43626,42370,45411,,38772,39094,35267,33430,29580,31229,41332,42811,49198,45965,50035,51667,52851,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,910734,904753,,,,835456,,,,,,,,,,,1093811,926520,,,,,,,,,,,
Netherlands,,94885,102432,110509,122509,127395,118028,115733,112531,109070,112460,124507,153441,175563,183739,177785,101884,70207,45778,35793,37387,47577,60476,68624,9329,4434,3238,3574,,7408,6916,7151,7377,18608,26358,25657,17226,6746,4750,2770,266,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,461,1202,61,3303,2830,928,288,445,865,959,807,1377,2224,4108,916,789,350,148,512,401,1403,3519,8109,,9841,5446,3925,850,1385,1689,3650,9721,3816,6721,5851,3178,2989,1781,1390,1693,1833,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,200800,191650,195964,197004,202102,198280,197777,208506,225859,,194263,,215527,219538,235435,215582,228356,223618,228356,246934,235668,222688,201961,199398,194290,209032,213671,,,152663,138705,117986,71324,67362,53246,45549,58370,55665,44711,,48167,
Niger,,,,682206,704432,,,736570,753315,,,801182,,,,,864501,,,945732,973264,992196,1044390,,,,,1187623,,1254033,1295457,1278700,1256189,1230413,1205055,1249230,1259406,1267091,1220778,1161796,1085721,978723
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7444026,6940723,,,7122520,7093503,7133266,7150254,7974015,9686822,10288599,10542105,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,8873,6848,,,,1190,1429,3941,5333,3169,6185,7035,,9521,12783,12187,9727,7375,4009,641,105,973,4035,4929,5642,5494,2941,1010,892,1179,970,1083,624,2277,5999,5891,4664,4194,4407,3657,
Oman,,,,115085,111993,106195,109454,,107107,107088,,108827,110050,110926,104780,106543,99386,99833,107307,109472,110744,111613,111148,103800,102615,99448,90691,88488,79629,70056,61332,49960,42311,41501,,,,,,5240,5371,6697
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8398974,,8507711,7510474,7158051,7619171,6602932,6266251,5709703,5125373,5435834
