Suicide 60+ all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Singapore,,,,,,,,,,,,,,61.82755,63.90956,54.4868,54.68476,66.34618,80.37056,48.59742,50.97222,58.42373,67.10228,64.01518,45.73478,60.1721,54.61022,56.12253,58.28714,61.01157,43.84175,31.75712,45.51865,46.49237,32.20395,50.52386,50.56307,44.65961,52.6455,54.53235,39.59726,36.76833,31.10508,30.67957,34.84919,39.77227,27.05646,26.93884,31.69392,22.06731,21.78475,20.22846,21.20041,22.35995,22.22155,23.42447,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.41512,19.84886,18.67261,21.92028,19.07558,18.20094,16.28645,19.39271,18.81714,18.02111,17.99132,17.77245,15.06079,14.83419,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.30529,54.42758,55.12626,54.79628,60.38026,50.92205,56.91868,57.94928,52.92957,51.26456,45.31648,55.37282,45.36113,47.69114,52.15108,52.38997,50.6976,42.92181,48.67053,39.31392,44.38169,47.53303,38.55969,29.95872
Spain,,14.92471,16.53956,15.95545,15.96411,14.50824,13.74764,14.59678,14.59488,15.67817,15.00548,15.33975,14.18473,14.4104,14.74964,14.38089,13.74078,13.24007,12.67106,12.87459,11.82706,12.91516,12.78449,12.77069,12.59006,11.21624,11.33844,11.85243,10.47236,10.5553,11.17174,10.57665,12.0961,14.43302,15.64709,16.18956,16.57181,17.43431,17.20432,17.3133,17.0926,16.95624,15.71961,15.5455,15.91818,16.07181,15.75391,16.37543,15.55279,15.83833,15.64465,14.11999,14.31254,14.09261,13.94444,13.66465,,,
Sri Lanka,19.58006,19.3376,19.68734,20.91213,27.06484,24.50612,23.92242,27.80248,30.12737,23.75607,28.97279,27.1148,32.22352,28.63099,26.3026,24.29647,23.75552,41.21216,40.01648,,,,,,,,,24.64693,,,46.3695,43.73668,48.26441,50.43703,48.86633,52.09397,50.34399,,,,,,,,,,,,,,,,,,,,,,
Sweden,,30.63071,30.56981,35.14137,35.27822,34.16396,37.50719,34.68365,31.86317,31.00469,29.91604,28.51658,30.71866,27.34599,29.44788,28.75997,29.0868,29.53102,29.69558,29.75337,29.60902,28.69848,27.92172,29.19028,29.49376,26.6662,25.11173,29.81891,27.85826,28.26477,26.10275,25.57836,27.8296,26.11332,25.14147,24.86144,24.58894,24.53415,25.06644,25.91678,26.97978,23.99855,23.9112,21.13491,22.559,22.32276,20.19248,17.399,20.974,20.17249,18.87928,20.60834,19.89819,17.33051,18.59042,19.39221,18.8487,15.4194,
Switzerland,,44.05935,47.47536,43.10876,46.03539,42.56652,42.93857,36.9982,40.07699,35.26403,34.65454,34.17856,32.97456,29.91038,32.1314,36.64116,33.91095,29.56982,31.31311,30.10646,35.10114,34.73636,33.73362,35.15532,38.32176,35.01459,34.80792,36.881,37.58124,37.41897,40.44615,38.39868,37.26778,38.15491,36.35278,37.68766,33.67145,39.68152,33.97982,35.68344,35.50984,36.29323,32.94676,30.54968,33.97013,35.0524,33.60723,30.61389,32.1552,29.97532,31.03778,31.09226,32.83287,29.6547,30.78946,30.27182,30.36593,32.74143,
Trinidad and Tobago,,2.29155,7.286613,14.67203,9.913587,18.31238,17.09071,20.37926,15.28023,,6.090388,18.23024,15.45809,8.614179,,,,6.876917,7.964322,,11.3637,6.790515,16.63861,13.71409,15.72563,13.34499,5.610264,7.841291,13.98906,11.49854,4.585612,4.067996,6.206379,10.45258,5.107963,2.144801,10.08196,13.76848,23.1123,11.19945,14.65656,14.23235,17.67283,8.866055,18.42216,30.48251,24.77785,17.5969,17.38877,19.91985,22.83299,18.97581,10.17475,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.38348,10.8243,,,8.532849,16.80551,24.42794,20.32169,12.83872,17.86539,13.45354,10.59649,12.27391,13.98738,7.442208,11.85895,5.441546,8.628474,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1507,35.61982,,,31.76001,30.31134,31.7792,31.17936,32.74033,30.93288,31.26006,32.74182,36.25365,40.06776,39.68012,40.59822,41.68648,41.56894,40.35087,40.48573,36.56944,34.82533,34.7519,30.54782,28.70171,27.46249,,
