Cervix Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Mauritius,,,,,,,,,,,,24.63,7.63,8.23,5.92,10.95,8.29,10.69,12.66,13.97,11.3,10.88,8.34,4.96,6.27,4.39,5.67,5.49,4.49,3.14,4.75,5.72,8.09,5.28,4.94,6.27,4.83,5.28,3.43,4.16,3.14,3.44,5.4,3.92,6.73,4.27,5.27,2.04,2.53,3.95,3.15,4.09,2.63
Mexico,,,,,,2.44,3.68,4.83,5.05,5.45,5.37,5.93,6.45,6.9,7.88,7.69,7.38,7.9,8.04,7.69,9.34,9.06,9.62,10.37,10.17,10.39,11.12,10.86,11.07,11.57,11.95,12.02,13.15,13.14,13.7,14.36,14.11,14.76,15.11,15.15,14.69,14.01,14.32,13.95,13.54,12.98,12.91,12.5,12.11,11.82,11.47,10.79,10.01
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,7.93,,,8.06,7.56,7.27,7.23,5.54,6.72,7.29,7.4,7.36,6.05,6.95,7.04,4.96,6.51,6.19,5.02,6.68,5.86
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1
Netherlands,5.43,6.14,5.96,5.42,5.76,6.56,5.86,6.38,6.04,5.9,6.24,6.46,6.31,5.68,5.36,5.76,5.56,5.34,5.18,5.98,5.39,5.41,4.95,4.34,4.84,4.5,4.38,3.72,3.81,3.97,3.42,3.34,2.71,2.9,3.01,2.6,2.77,2.64,2.79,2.38,2.4,2.39,2.11,1.95,1.73,1.72,1.67,1.8,1.95,1.79,1.88,1.66,1.26
