Under five mortality,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Saint Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5,67.3,65.1,63.1,61.3,59.6,58,56.4,54.8,52.9,50.8,48.4,45.9,43.2,40.6,38.1,35.8,33.7,31.8,30.1,28.5,27.1,25.9,24.7,23.6,22.5,21.5,20.4,19.4,18.4,17.5,16.5,15.7,15,14.3,13.7,13.1,12.6,12.2,11.7,11.3,10.9,10.6,10.2
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.28,180.02,177.98,174.95,170.19,165.31,159.56,153,145.71,138.63,131.73,,,,,,,,,,75.4,68.7,62.4,56.5,51.2,46.6,42.7,39.5,37.1,35.1,33.5,32.2,31,29.8,28.5,27.3,26.1,25,24,23.2,22.6,22.1,21.6,21.1,20.6,20.1,19.5,19,18.6,18.2,17.9,17.6,17.4,17.3,17.1,17,16.8,16.5,16.2,15.9,15.6,15.2,14.9,14.5
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.26,195.13,190.61,185.1,178.66,171.34,163.25,154.44,145.01,135.9,,,,,,,,,,80.2,80.8,81.3,81.4,80.9,79.7,77.6,74.8,71.2,67,62.4,57.4,52.4,47.5,42.9,38.7,35.1,32,29.5,27.5,25.9,24.7,23.7,23.1,22.6,22.3,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.1,22.1,22,21.9,21.8,21.6,21.3,20.9,20.5,20,19.5,19
Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.77,,,,,,,,,,134.77,,,,,,,,,,101.85,,,,,,,,,,,,,43.3,39,37.4,35.9,34.5,33.2,32.1,31,30,28.9,27.9,26.9,25.9,25,24.1,23.3,22.5,21.8,21.1,20.5,20,19.7,19.4,19.2,19,18.8,18.7,18.6,18.5,18.4,18.1
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,13.4,12.5,11.7,10.9,10.2,9.5,8.9,8.3,7.8,7.3,6.8,6.3,5.9,5.5,5.2,4.9,4.6,4.4,4.2,4,3.9,3.7,3.6,3.4,3.3,3.2,3.1
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.45,233.07,228.09,223.76,218.32,212.7,,,,,,,,,,97.7,94.7,92.1,89.9,88.5,87.9,87.8,88.2,88.9,89.6,90.3,90.7,91.1,91.4,92.1,93,94.2,95.7,97.8,100,102.2,104.4,106.4,108.1,109.4,110.4,110.8,110.7,109.9,108.3,106.1,103.4,100.2,96.7,93.1,89.3,85.4,81.5,77.6,73.9,70.3,67,64,61.4,59,56.7,54.6,52.8,51
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.16,416.15,416.12,416.05,415.94,415.78,415.55,415.26,414.9,414.48,413.99,413.44,412.82,412.14,411.39,410.57,409.7,408.79,407.85,406.88,405.91,404.93,403.95,402.98,402,401.02,400.05,399.07,398.09,397.12,396.14,395.16,394.19,393.21,392.24,391.26,390.28,389.31,388.33,387.35,386.38,385.4,384.42,383.45,382.47,381.49,380.52,379.54,378.56,377.59,376.61,375.63,374.66,353.29,333.88,314.13,295.11,276.8,,,,,,,,,,242.48,,,,,,,,,,182.81,171.2,161.5,151.3,142.1,133.9,126,118.3,111.3,104.6,98.1,91.9,85.8,80,74.4,68.9,63.5,58.2,53.2,48.5,44.1,40.1,36.8,33.9,31.5,29.4,27.6,26.1,24.8,23.7,22.8,21.9,21.2,20.6,20.1,19.6,19.2,18.7,18.2,17.6,17.1,16.6,16.1,15.5
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.4,512.39,512.35,512.27,512.14,511.94,511.66,511.3,510.85,510.33,509.73,509.05,508.29,507.45,506.53,505.52,504.46,503.33,502.17,500.98,499.78,498.58,497.37,496.17,494.97,493.77,492.56,491.36,490.16,488.96,492.1,493.82,496.99,498.68,501.86,496.21,492.07,486.5,482.39,476.93,472.93,467.55,463.58,458.31,454.45,449.25,444.08,439.03,,,,,,,,,,345.6,339.9,334.3,328.8,323.7,318.7,313.9,309.7,306.4,304,302.4,301.6,301.3,301.4,301.5,301.2,300.5,299.2,297.2,294.2,290.1,285,278.6,271,262.2,252.5,242.2,231.5,221.3,212.5,205,198.6,192.9,187.2,180.6,173.3,165.3,157.2,150.1,144.7,141.1,139.5,139.3,140.3,141.8,143.2,144.5,145,144.2,141.6,137,130.7,123,114.6,106.3,98.1,90.6,83.7,77.3,71.4,66.3,61.9,58.4,55.3
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,,,,,,,,,,224.05,251.47,233.32,271.62,318.75,284.37,265.2,256.73,271.62,271.62,261.86,246.11,242.48,233.32,244.31,244.31,214.72,265.2,229.61,236.99,256.73,294.24,222.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7,42,39.1,37.3,36.3,34.6,31.4,27.8,25.3,24.3,23.5,22,19.8,17.4,15.3,13.8,13,12.8,12.3,11.5,10.6,9.6,8.9,8.4,8.1,8,7.8,7.6,7.3,7,6.6
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.4,117.2,115.8,114.5,113,111.4,109.7,108,106.2,104.4,102.6,100.5,98.3,95.9,93.3,90.4,87.2,83.8,80,75.9,71.8,67.6,63.3,59,54.7,50.2,45.8,41.4,37.4,33.7,30.5,27.7,25.4,23.5,21.9,20.5,19.5,18.6,17.8,17.1,16.5,15.9,15.5,15,14.7,14.5,14.3,14.2,14.2,14.2,14.2,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.3,14.3,14.3,14.2
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.91,513.9,513.86,513.78,513.64,513.44,513.16,512.8,512.36,511.83,511.23,510.55,509.78,508.94,508.02,507.01,505.94,504.81,503.65,502.45,501.25,500.04,498.84,497.63,496.43,495.22,494.01,492.81,491.6,490.4,489.19,487.98,486.78,485.57,485.79,486.03,487.72,487.94,488.16,486.94,484.27,483.05,480.4,479.18,476.53,475.32,474.1,471.47,470.26,467.64,466.43,463.86,462.66,451.98,442.85,,,,,,,,,417.8,411.8,406.1,400.5,394.8,389.1,383.3,378,372.4,366.5,360.8,355,349.4,343.9,338.5,333.5,328.2,323.3,318.6,314.1,309.9,305.7,301.6,298,294.4,290.9,287.7,284.7,282,279.1,276.4,274,271.7,269.6,267.7,265.7,263.9,261.6,259,255.9,252.1,247.6,242.6,237.1,231.5,225.5,219.6,213.8,208.1,202.4,196.9,191.5,186.1,180.5,175.3,170.5,165.5,160.6
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.05,456.05,456.05,456.05,456.05,456.05,456.05,456.05,456.05,456.05,456.05,456.05,456.05,456.05,456.05,456.05,456.05,456.05,456.05,456.05,442.46,429.16,417.44,404.69,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.21,392.2,392.17,392.11,392,391.85,391.64,391.36,391.02,390.62,390.16,389.64,389.06,388.42,387.71,386.94,386.12,385.27,384.38,383.47,382.55,381.62,380.7,379.78,378.86,377.94,377.02,376.1,,,,,,,,,,347.97,321.99,287.67,273.18,274.71,258.46,279.42,251.47,258.46,207.23,229.61,,,315.5,462.84,351.19,131.19,125.89,115.43,100.18,117.16,105.2,96.88,84.8,78.1,72,66.5,61.5,56.9,52.3,47.8,43.7,40.5,38.2,36.5,35,33.6,32,30.3,28.7,27.4,26.1,24.3,22,19.7,17.6,16.1,15.2,15.1,15.2,14.8,14.1,13.2,12.3,11.6,10.9,10.4,9.8,9.2,8.4,7.7,6.9,6.3,5.8,5.4,5.2,5,4.8,4.5,4.3,4,3.7,3.4,3.2,3,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.31,363.28,359.71,356.09,352.5,348.86,345.17,341.47,337.75,333.98,330.19,326.4,322.57,318.7,314.85,310.97,307.07,303.2,299.36,295.51,291.71,287.95,284.21,280.48,276.82,273.18,269.55,265.97,259.53,252.24,245.98,239.82,232.84,226.84,220.97,214.28,208.55,203.77,199.88,195.21,190.59,186.02,182.3,177.82,172.63,167.52,162.46,,,,,,,,,,149.23,145.64,102.74,87.93,71.55,63.58,57.79,65.06,51.7,47.04,41.48,39.2,35.94,37.83,36.54,40.7,38.2,35.2,33.42,36.74,35.43,33.75,35.02,35.46,32.64,32.86,33.54,29.54,30.14,28.6,28.15,25.9,24.8,23.8,22.8,21.8,20.9,20,19.2,18.4,17.7,17,16.3,15.6,15,14.4,13.8,13.3,12.7,12.2,11.8,11.4,11,10.6,10.2,9.8,9.5,9.1,8.8,8.4,8.1,7.8,7.5,7.2
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.96,360.93,360.88,360.78,360.64,360.45,360.19,359.88,359.51,359.09,358.61,358.07,357.48,356.83,356.13,355.37,354.58,353.76,352.93,352.08,351.23,350.38,349.54,348.69,347.84,347,346.15,335.31,323.6,313.21,303.03,293.05,282.27,272.7,263.31,253.17,244.17,235.35,226.7,217.33,209.03,200.89,192.09,184.26,176.58,169.06,160.95,153.75,146.7,139.1,132.38,125.81,119.38,112.45,106.33,100.37,93.95,,,,,,,,,,46.87,,,,,,,,,,30.64,,,,,,,,,,19.3,18,17,16.1,15.3,14.4,13.5,12.7,11.9,11.1,10.4,9.7,9.1,8.5,7.9,7.4,7,6.5,6.2,5.8,5.5,5.2,5,4.7,4.5,4.3,4.1,3.9,3.7,3.5,3.3,3.2,3,2.9
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.86,504.82,504.74,504.61,504.41,504.13,503.78,503.34,502.83,502.24,501.56,500.81,499.99,499.08,498.09,497.04,495.93,494.79,493.61,492.43,491.24,490.06,488.88,487.69,486.51,485.32,484.14,482.95,481.77,480.58,479.4,478.21,477.03,475.84,474.66,473.47,472.29,471.1,469.92,468.73,467.55,466.37,465.18,464,462.81,461.63,460.44,459.26,458.07,456.89,455.7,414.31,375.99,340.31,305.94,274.67,245.26,,,,,,,,,,196.4,185.8,176.2,167.4,158.8,150.4,142.1,133.5,124.7,115.6,106.8,98.7,91,84.2,78,72.3,67.1,62.3,58.2,54.7,51.8,49.4,47.4,45.7,44.2,43,41.9,41,40.2,39.4,38.7,37.8,37,36.1,35.4,34.8,34.4,34.2,34.2,34.3,34.4,34.6,34.8,35.1,35.3,35.3,35.1,34.7,34.1,33.4,32.6,31.9,31,30.1
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.95,451.92,451.85,451.73,451.55,451.3,450.99,450.6,450.14,449.61,449.01,448.33,447.59,446.78,445.9,444.95,443.96,442.94,441.89,440.83,439.77,438.71,437.65,436.59,435.53,434.46,433.4,432.34,431.28,430.22,429.16,428.1,427.04,425.98,424.92,423.86,422.8,421.74,420.68,419.62,418.56,417.5,416.43,415.37,414.31,413.25,412.19,411.13,410.07,409.01,407.95,406.89,396.1,386.7,376.36,367.34,357.36,354.21,348.86,343.13,337.04,330.55,323.78,316.64,309.2,301.88,294.64,287.53,280.48,273.49,266.57,259.66,252.82,245.99,239.55,233.5,227.79,223.25,218.26,,,,,,,,,,190.3,188.9,187.3,186.5,185.6,185.1,184.2,182.3,179.7,176.8,174.7,173.8,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173,171.2,167.8,163.6,159,154.7,150.1,145.6
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.44,398.41,398.35,398.24,398.09,397.87,397.59,397.24,396.84,396.37,395.84,395.25,394.59,393.88,393.1,392.27,391.4,390.49,389.57,388.63,387.7,386.76,385.83,384.89,383.96,383.02,382.09,381.15,380.22,379.28,378.35,377.41,376.48,375.54,374.61,373.67,372.74,365.98,359.37,352.8,346.36,339.95,333.68,327.43,321.32,315.24,309.28,303.35,297.54,291.76,286.09,280.45,274.93,269.43,264.04,258.68,253.42,249.1,241.28,234.16,226.85,220.25,214.31,208.2,201.92,196.56,191.25,186.05,180.91,175.83,170.8,,,,,,,,,,126.5,120.1,114,108.1,102.7,97.6,92.7,88.2,84,80.1,76.5,73.2,70.2,67.5,65.1,62.9,61,59.6,58.5,58.2,58.6,59.9,62,64.7,67.8,71,74.3,77.1,79.5,80.8,80.7,79.6,76.9,72.9,69.3,63.4,53.2,47.5,44.9,43.9
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
