Female above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
French Polynesia,0,3.125,2.564102564,4.347826087,3.846153846,4.838709677,4.166666667,3.658536585,5.376344086,5.825242718,6.140350877,8.870967742,9.090909091,11.88811189,12.24489796,16.02564103,18.01242236,20.83333333,22.09302326,24.13793103,26.70454545
Gabon,12.03319502,11.8852459,11.69354839,12.06225681,11.76470588,11.11111111,10.08645533,9.75,8.565310493,7.875457875,7.223113965,6.695778748,6.781914894,7.334963325,8.013544018,8.928571429,9.852216749,10.72761194,11.71251109,12.97709924,14.47260834
Gambia,5.185185185,4.929577465,6.097560976,5.291005291,4.587155963,4.597701149,4.823151125,5.09383378,4.856512141,4.909090909,5.030487805,4.954367666,5.215419501,5.294705295,5.446428571,6.009615385,6.589427951,7.218543046,7.96836983,8.793686584,9.741969458
Georgia,15.84210526,14.36196021,13.1294964,13.09274024,13.82211538,14.7906262,15.00742942,15.87244715,17.73743017,18.63960917,20.84,20.42462845,21.59141708,23.36103416,25.97156398,29.19708029,30.83083083,32.36814891,33.72717508,35.02793296,37.42690058
Germany,15.22381585,17.03925412,19.08136281,21.03181513,22.76519377,24.08289604,23.4109963,24.59202009,24.81396819,24.70773489,26.53717061,27.79110362,28.65891584,30.43898666,32.70703364,35.8809512,38.73387036,39.7707072,40.4015387,41.25908121,42.06994093
Ghana,4.423701299,4.537521815,4.669839381,4.706790123,4.759704251,4.806138934,4.871794872,4.939422181,5.026347791,5.199530516,5.446623094,5.698954575,6.016666667,6.250941407,6.702339302,7.331193757,8.109993605,8.988764045,9.984360022,11.09321713,12.2656285
Greece,10.77597319,11.82241844,13.23011963,14.24994309,17.38164036,18.652513,18.90020367,19.34205311,21.56025616,23.12106627,24.22214182,24.98210451,26.40170334,27.93729082,29.80295567,31.68840324,34.165339,36.35392558,38.41605447,39.65361717,39.81042654
Grenada,6.976744186,8.888888889,6.12244898,7.843137255,6.382978723,8.510638298,8.695652174,7.843137255,14.28571429,10,9.803921569,9.803921569,9.803921569,11.32075472,12.72727273,14.54545455,16.66666667,16.98113208,19.23076923,25,27.08333333
Guadeloupe,8.256880734,7.5,8.571428571,7.792207792,7.317073171,9.467455621,10.84337349,11.66666667,12.82051282,13.52657005,14.9321267,16.94915254,18.85245902,20.71713147,23.828125,26.5625,30.26819923,32.56704981,31.92307692,34.36293436,36.07843137
Guam,0,0,0,0,0,4.545454545,4.081632653,5.263157895,6.451612903,7.246376812,8,9.756097561,10.34482759,12.76595745,15.84158416,18.69158879,19.09090909,20.86956522,22.03389831,22.5,24.59016393
Guatemala,4.364569961,4.418344519,4.552129222,4.704875962,4.669406052,4.664057404,4.788001154,5.064902011,5.49898167,5.844930417,6.056362682,6.26824397,6.635006784,7.015643803,7.355800389,7.917198077,8.735238439,9.907042961,11.38613861,13.16808099,15.13513514
Guinea,7.692307692,6.76901605,6.054811982,5.719237435,5.616224649,5.710029791,5.772569444,5.733944954,5.608396195,5.425101215,5.416466057,5.6516977,5.772994129,5.973715651,6.231231231,6.602641056,7.014603783,7.570670421,8.271568337,9.225595346,10.40788808
Guinea-Bissau,6.41509434,5.944055944,5.940594059,5.940594059,6.229508197,6.25,6.161137441,6.25,6.019417476,6.101694915,5.623100304,5.795148248,5.769230769,6.531049251,6.35226179,6.314878893,6.108065779,6.995003569,7.455853499,7.76640578,8.263539922
Guyana,7.339449541,6.024096386,5.517241379,5.882352941,5.602240896,5.898123324,6.106870229,6.37755102,7.012987013,7.216494845,7.216494845,8.310991957,9.485094851,11.38211382,14.75409836,17.36694678,20.11494253,22.71386431,24.76780186,26.33333333,27.24014337
Haiti,6.117504543,5.629877369,5.685279188,6.034085675,6.268282491,6.475095785,6.539792388,6.325208269,6.166666667,6.309703369,6.604204753,6.821998321,6.908596934,7.342594263,7.781904119,8.563273073,9.333733493,10.3083952,11.83472431,14.22924901,16.74323635
Honduras,6.61268556,5.516431925,5.337361531,5.136986301,5.156950673,5.242718447,5.033185841,5.218216319,5.323505324,5.485837218,5.837075048,6.079907354,6.456692913,7.16161375,8.022797019,9.116809117,10.48510313,12.09487597,14.11499827,16.56942824,19.20529801
"Hong Kong, China",5.51508845,5.862923204,6.617647059,7.633168589,8.415074858,10.67101584,11.77446103,12.84090909,13.86992454,14.52335253,15.00290192,15.72939866,18.29170024,21.78141797,26.66666667,31.92543653,35.73552963,38.94101877,41.31197894,42.87570377,43.59690589
Hungary,12.33243968,13.68110236,15.36675053,17.14013346,19.03867818,20.43903339,19.56521739,20.88434131,21.8674587,22.76603634,23.69207773,24.90551776,26.22137405,28.42815815,29.74609375,29.96632997,30.8589821,32.5271572,34.91334308,35.88435374,36.66018579
Iceland,11.11111111,11.53846154,11.49425287,12.63157895,12.87128713,14.1509434,14.41441441,15,16.12903226,16.03053435,16.54676259,17.44966443,17.61006289,18.56287425,21.02272727,23.49726776,25.53191489,27.60416667,29.53367876,30.92783505,32.65306122
India,5.596021303,5.239073733,5.347083198,5.343367036,5.546255956,5.716798593,5.924382526,6.073479748,6.276697212,6.630259765,7.114234843,7.546834329,8.15882411,9.319986413,10.57808632,11.92324154,13.37543974,14.9820873,16.82678437,18.82801997,20.96336534
