Per capita government expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Luxembourg,2002.583699,2111.382431,2114.87104,2265.848342,2567.271763,3412.206521,3363.095265,4068.115238,3919.474341,4522.523972,4611.579621,5179.54937,5072.841929,5106.698747,5538.416297,5691.672711
"Macao, China",,,,,,,,,,,,,,,,
"Macedonia, FYR",247.5694465,261.0279601,289.0072482,353.1672017,296.7866835,299.2244982,291.6635184,332.2040859,349.6946607,364.6973946,393.8939437,447.3717284,418.7426632,506.608811,507.5851687,504.2564667
Madagascar,10.68384257,13.38683702,15.20616288,14.42464982,15.10748602,19.78176358,22.33850421,18.72495648,17.81916808,19.73808406,21.33394148,24.21028879,26.59805848,31.91821904,26.21848008,21.8903341
Malawi,9.48915215,6.88935424,9.01049773,10.84952553,13.32823192,16.43313902,12.3991649,16.41729312,27.0999069,35.74651708,39.11815903,43.16536034,36.7752431,36.16505435,42.16695706,39.33877066
Malaysia,129.2800332,143.7149506,137.1071471,139.1969366,151.4566421,165.9191911,197.8883381,206.6231385,260.9581909,240.5877864,213.9054597,270.6099329,276.8903822,294.050175,350.2778094,355.9151505
Maldives,76.12021738,81.41328407,88.36241674,96.00964003,108.7542865,127.1777255,125.4506562,131.3160232,168.2283372,204.9460417,273.5900806,324.4691725,333.8769922,431.1296607,277.4356058,280.6860156
Mali,16.53471932,18.54841641,16.46387274,14.99582064,13.66437445,15.26167005,24.66492153,18.60517828,21.80765872,26.31060803,25.58802989,27.61336441,27.06866078,26.11549645,26.8415593,25.88760896
Malta,591.914478,611.4952739,695.5058678,739.5944811,767.2956402,904.296681,915.4831651,1091.387286,1154.010745,1208.027341,1350.222979,1426.11351,1360.017276,1359.946162,1387.044042,1480.72964
Marshall Islands,269.1087268,336.1468391,345.1146789,237.9638729,228.5167961,292.5479912,260.6945794,256.2316728,235.5896351,259.8339451,257.0683518,284.3168299,309.8672005,279.1708824,328.7704656,313.8636608
Martinique,,,,,,,,,,,,,,,,
Mauritania,32.45352147,22.49007043,23.24255171,33.51474518,48.79370911,48.36299022,36.6675762,49.24958264,44.38048923,53.23640772,47.84883951,44.34199667,48.96609622,48.62835576,41.64484402,41.95678539
Mauritius,116.0855853,118.6727481,126.947282,138.3096089,137.431948,158.5818932,167.5634783,187.2246579,196.9142992,227.6391728,222.5595257,226.6401677,216.8869792,221.1899373,265.1768663,334.7395658
Mayotte,,,,,,,,,,,,,,,,
Mexico,162.5909172,153.1661302,181.8631741,199.7649428,224.7212178,236.7364394,247.3268139,255.9164674,277.7936138,310.8906784,328.951758,351.0103924,382.0749369,418.407179,444.8065941,
"Micronesia, Fed. Sts.",212.3107794,195.6599006,169.259073,158.4222327,179.9818188,199.8330318,226.5195003,212.2911536,265.3302254,286.9238555,345.3783111,345.6671813,349.2355067,363.4898975,384.2910437,410.8600694
Moldova,73.99819049,82.96074201,78.49800078,55.4957588,35.69530542,47.43924003,51.24749824,70.87783167,75.99141873,88.71015971,98.64369044,120.8918932,134.068345,162.0499684,173.0494897,165.0452202
Monaco,2012.455105,1993.360282,2171.067837,2181.094212,2438.092702,2459.014487,2601.858049,2702.74209,3264.814778,3535.32645,3689.262544,3810.799546,3941.781286,4775.035504,5219.044495,5238.149476
Mongolia,40.18114758,51.34796552,54.43244207,58.62590905,63.69001237,73.58050383,78.05954416,81.40417378,78.94588107,85.93709172,75.94839015,80.99371917,106.3010204,124.8983536,118.7590074,119.8375522
Montenegro,312.180785,296.9568044,305.2708672,325.9011878,302.2887429,327.5829263,389.6980288,399.4916134,474.7386985,477.1658117,496.6633685,579.2692699,664.7020392,771.9478409,866.1935342,776.0134598
Montserrat,,,,,,,,,,,,,,,,
Morocco,26.74145997,29.27795923,26.87299335,28.57394632,29.27148916,32.11798546,40.54216809,40.65442929,44.19775386,48.30624805,51.0279181,67.20696613,77.06782925,83.93238164,93.43061137,93.37522917
Mozambique,11.13465684,9.03809986,11.24529341,12.36901845,15.89603175,19.34369677,19.8337917,24.15746786,23.31352716,21.59789273,28.83058114,28.95837476,27.78554845,24.53171188,34.62640581,34.92579529
Myanmar,1.89489297,1.56088022,1.2996305,0.96825731,1.09899887,1.90042084,1.84825857,3.08843865,2.77280716,3.53517295,2.5470087,4.58961642,4.06162781,4.4520159,4.03326856,4.19054279
Namibia,155.7197844,170.8546984,182.5554489,186.8981714,197.0352896,167.6770507,140.0779164,150.6658451,164.0539112,160.3885026,186.3339616,176.7875506,226.9904714,232.0097924,246.3275393,254.2995844
Nauru,908.9769308,778.6803548,723.0788698,701.951425,668.3541424,407.0268421,406.4636008,402.4678381,393.8713616,269.57484,286.5879696,219.1140936,326.1038289,289.9781337,175.472927,180.5739689
Nepal,5.36139354,5.78861037,7.50299477,8.86349692,7.5515621,9.05883307,12.63397878,12.93800588,12.36433604,15.85425271,18.05214351,21.70046329,18.771297,24.3978473,25.50114418,21.77185579
Netherlands,1274.576561,1230.293072,1298.726634,1317.528517,1366.134814,1476.116917,1604.515241,1769.668712,1895.25203,1980.616059,2087.8405,2798.850894,2966.257297,3183.538346,3857.818635,3991.237658
Netherlands Antilles,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,
New Zealand,956.3744385,968.8293974,1042.274705,1115.40548,1177.096149,1250.424197,1299.761955,1426.563145,1442.525266,1566.4993,1686.907074,1904.961747,2007.944871,2229.804991,2413.501512,2513.3164
Ngorno-Karabakh,,,,,,,,,,,,,,,,
Nicaragua,80.61811558,77.68989685,54.85100131,60.9495479,57.1498461,70.83655154,72.34999612,77.1747881,92.21627097,96.53322376,104.5647309,111.755627,130.5104832,138.2185948,139.126146,
Niger,6.88569682,6.20188533,8.16102555,9.01246714,8.76077036,7.46485956,9.74394779,10.28528335,9.55429692,10.2444539,17.97129439,20.43112204,17.5651846,19.21147617,18.53688609,18.79452203
