Gross capital formation (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Syria,13.70637152,14.42436109,16.30502501,12.41836063,11.74402632,10.33459041,12.52938731,12.26430184,13.90588759,15.97201728,14.79376503,15.99768534,21.7328788,13.38070143,26.85219935,26.87552435,33.69127791,38.14264448,29.45815886,28.0813293,29.55945014,24.91067532,25.39355827,25.32177844,25.45739797,25.52161921,23.85877999,19.52247228,14.99909444,17.12091327,16.54504934,17.97126754,23.17358663,25.97334171,29.95884221,27.2,23.9,21.09999936,22.07487798,18.76541341,17.26788385,20.3448021,20.32119388,23.24423761,17.65630797,18.40693079,18.85441136,27.79912639,31.74671859,30.20624806,18.81774144,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,35.73150722,33.29569204,32.34724821,32.22684068,29.29146631,24.84499314,22.92153441,33.44451314,39.15735027,36.5437295,28.66936331,22.31523673,19.68307645,15.42541013,17.33558606,9.41368431,9.716000653,9.382923489,9.996216873,12.20326941,14.28417759,13.73808472,22.81519482,21.22580087,21.65823712,22.81197969,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.11193305,26.33527668,27.23176808,25.12535235,24.64953388,19.78980301,16.63759455,14.89973656,20.10574581,17.53939047,16.81556866,17.44719994,17.19001194,19.16681355,22.56984744,25.06116079,27.63339804,29.6430276,29.78513707,28.97006344,28.85248896,
Thailand,15.40555636,14.76363864,17.94815683,20.98252485,19.6527791,19.73668377,23.0680822,23.22510272,24.63525408,25.79952927,25.57666345,24.18513632,21.69312171,27.0148595,26.64756315,26.73920247,23.98268365,26.88971469,28.16468598,27.21417057,29.14192348,29.67531041,26.51654144,29.97527534,29.4731153,28.24457935,25.87231224,27.87471229,32.59089011,35.06611683,41.3537631,42.84137854,39.963946,40.0097678,40.2535075,42.094335,41.81621703,33.66354032,20.44707327,20.50008248,22.83618585,24.09832508,23.80148544,24.96844459,26.79091501,31.44227609,28.29730097,26.43387596,29.12410002,21.24089108,25.93507594,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9922251,25.58507274,,,,,,,,,,,
Togo,10.77441663,8.06452159,10.18519271,12.82052206,20.14743179,22.44009309,16.38417386,12.63157501,11.01836407,13.21841367,15.09973012,18.88467098,20.68557236,21.74393475,16.38250628,27.66440007,24.86486521,34.34554928,52.68816077,48.81381825,28.44646755,23.82408928,21.33332902,20.59629873,15.04142834,16.63357537,18.82961335,17.63985036,16.02726224,16.51984219,26.57097399,17.11375383,15.71139364,7.477953873,15.04350716,16.12978131,18.76866781,16.28748215,16.43731469,13.33985981,17.80619295,20.36979909,18.52571809,18.89999942,17.9999994,18.32918628,,,,,,
Tonga,,,,,,,,,,,,,,,,27.59271132,19.66897502,20.19755812,29.50918978,31.16686812,30.05580142,29.56077027,31.22252545,29.3462011,23.93765964,26.38433452,24.1313063,22.17392423,23.16757597,20.44532447,18.49329963,16.73803468,17.72781924,18.09359837,22.11255438,26.30245866,28.19430325,19.63418365,21.81933142,21.30962171,21.67600258,24.82611676,30.46492238,25.47995572,23.5535881,22.08395507,18.81698109,19.90991109,26.34894528,27.25616894,29.35958328,
Trinidad and Tobago,31.13364839,25.55846726,28.08705214,23.36805072,22.84500354,25.92856511,23.05956256,17.60797342,19.80498173,17.18429158,25.85630031,33.98080058,31.31876157,25.95351566,21.82841656,27.34476598,24.5546344,26.65011725,30.2189582,29.09160118,30.60449807,27.62258441,28.24958932,25.59056389,23.98682599,18.76411094,21.59886821,19.32676739,13.06770222,16.57386634,12.59697415,16.14513929,13.56272534,14.330552,20.20183053,20.78139639,24.27414089,30.11399378,33.38254744,21.0097864,20.00834819,26.71323027,22.62515545,25.344154,19.92957191,28.84030909,15.6497141,12.89936292,11.3597075,,,
Tunisia,,17.3334589,24.06275465,24.07730123,25.25603359,27.90697674,25.28819762,25.19298246,22.92614082,22.44536326,21.14875596,21.51611439,22.71662763,21.28029184,25.80436749,28.01768692,30.65700983,30.54427665,30.75808205,29.42847365,29.36025985,32.32820759,31.72716676,33.49623331,35.89919531,30.16257498,26.60046925,23.48387739,20.70988153,23.91161535,27.06805847,25.98846103,29.19420975,29.23958262,24.64429802,24.70061812,25.01376775,24.45888578,24.91712818,24.62025735,26.08261363,26.17934632,23.81068168,23.32324098,23.27844793,21.67944401,23.44955099,23.82770284,25.92827019,24.76628358,26.35618064,
Turkey,9.97387313,9.936042732,10.69450847,11.74562733,10.97629049,11.31918104,12.8432729,12.64672762,13.41676075,13.35358251,14.69058488,13.7637111,16.81494328,15.47527462,17.89128669,18.70586361,20.32142877,20.66685572,15.14337238,14.50379741,18.16411098,17.86934553,16.95263202,16.28547096,16.18036964,16.51314563,18.84757999,25.66650473,25.14260067,23.47258691,24.54926752,22.71203962,23.36227144,26.61560909,21.32053293,25.47355727,24.55131495,25.11078627,22.11351579,19.12371799,20.76679826,15.0840539,17.61405179,17.5967668,19.39007181,19.98958914,22.05485289,21.48465609,21.78183437,14.93774239,19.93067036,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.43307087,33.58208955,35.21126761,40.13157895,45.91836735,,36.9261477,,,49.43805875,38.68104566,45.49481958,39.668927,34.73865594,31.71266121,27.5596817,25.4187358,23.05361937,22.9183115,19.50020348,18.6,31.7,50.5,58.6,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,10.96406795,10.18036758,11.14814036,12.8054475,12.08762086,11.23773346,11.49773071,13.46070343,13.09041835,14.0170121,14.00466822,16.10194606,11.64319249,8.719973676,11.61526966,8.05236391,6.251787684,6.049679487,8.281536306,6.580100747,6.154538369,5.608315262,9.092996556,7.409611665,8.139835324,8.732018451,8.446924524,9.718215885,10.79234972,11.13622802,12.70408004,15.17126512,15.93892774,15.24578648,14.68182634,12.41202536,20.17268942,18.17855649,16.44714507,19.54912064,19.48382172,19.30205942,20.2174228,20.98414158,20.14568992,22.35514586,21.13037002,22.08305527,22.97711729,24.12748169,23.74472059,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.88138422,27.46381538,26.34936114,34.45230981,36.2925138,35.3314458,26.68320814,22.67078772,21.44593768,20.81720972,17.51295434,19.63015229,21.76404329,20.14879766,21.9701957,21.13423719,22.58478838,24.7614182,26.6536336,27.93959429,17.05981858,19.34950169,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7138625,21.78303992,21.43751834,19.30887757,19.24196009,18.20374066,23.76125461,22.50362589,23.8697428,25.27211252,
United Kingdom,,,,,,20.33004897,19.81536237,20.48856432,21.21063615,20.59537302,20.09336169,19.65245575,19.11469096,22.50326247,22.75260054,19.2590316,20.99569256,20.51607375,20.16555437,20.40667016,17.59983532,15.98960508,16.63452232,17.43580062,18.3605981,18.24479348,18.04964165,18.99898522,21.385342,22.11303053,20.18296179,17.17390723,16.39547968,15.94277556,16.65889836,17.14998377,16.88021122,17.28635576,18.39863869,18.09949928,17.6575006,17.47275174,17.08959166,16.75953384,17.07336344,17.04148635,17.50944794,18.26189575,16.99135905,14.20772907,15.42001484,
United States,,,,,,20.26778375,20.20758938,19.12578707,19.18863557,19.42912001,18.01327088,19.07285958,19.92653061,20.71861535,19.92731678,17.43870888,19.12553203,20.63965038,22.01669596,22.17416945,20.26738934,21.27714415,18.70372092,18.71168268,21.36447544,20.2972663,19.69265537,19.4087978,18.71826784,18.68485394,17.67580163,16.28981402,16.48727203,17.06086983,18.17739837,18.153821,18.58316884,19.43075153,19.87072417,20.32147081,20.57522124,18.98982792,18.36509226,18.34848321,19.33154424,19.88998148,20.11742475,19.12683101,17.44154327,13.92149851,15.05271606,
Uruguay,22.21683775,23.64046885,19.40837314,17.31410232,14.45285592,13.7218799,16.54527175,18.74869594,13.85850297,14.9524118,3.395995744,17.73215689,17.15886065,34.108299,15.85418815,18.89806877,20.95889619,21.48561494,22.71016892,24.0414998,17.34631903,21.39046357,19.79651816,14.25354136,12.1267005,11.37877294,11.18166198,14.29512013,14.66974755,12.06646355,12.20085101,15.12534471,15.3848956,15.64129551,15.87163413,15.40771142,15.24021227,16.84529339,17.33757809,15.07533096,14.4570209,14.32793978,13.07290595,15.20630884,17.4684628,17.69885815,19.46057341,19.5260553,23.2080946,19.58386487,19.0677162,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.55256885,27.21980117,31.66330054,32.16919927,26.81655193,19.80810004,14.61832581,18.28535581,27.23935871,29.18381116,21.6660985,20.17433083,17.51814757,16.34718054,19.58949315,20.31485526,20.18663328,24.37441644,26.52480009,19.09987331,20.89718269,25.3,26.1,26.46111821,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,23.80517313,19.86469407,25.82342177,28.58604139,33.1129975,26.71480144,33.01920554,33.22726782,26.07026028,21.07818893,21.24021516,23.20651961,22.63661671,19.71450476,18.83642496,17.1460177,18.99283071,19.91399802,18.35378869,18.7702443,17.3291893,19.19879992,20.17409114,22.6836269,24.84230776,,,,
Venezuela,21.87480209,21.51590932,21.46505654,20.13236827,25.79070825,24.81884116,23.9715706,24.00332251,28.72037925,29.62625353,32.88702886,32.18045061,33.14916844,30.98265868,26.16459587,32.78217128,36.13183775,43.07774286,43.91662654,33.19854203,26.39355125,24.42520145,27.68959527,12.2063033,18.12009247,19.14851445,20.81088001,25.18548391,27.88597614,12.70067222,10.21993532,18.67800804,23.72128846,18.75099355,14.1563418,18.11388921,16.55474775,27.67252513,30.66040253,26.51677827,24.17039199,27.52416769,21.15888805,15.21744227,21.79846444,23.00403357,26.92191284,29.1961874,25.88835435,24.77496636,20.82036209,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,14.42403678,13.56097533,17.84435793,14.63069151,12.56584498,15.07033239,17.64014084,24.25530009,25.47581835,27.14424388,28.10289783,28.29958111,29.04987803,27.62975703,29.60991488,31.17277364,33.22611623,35.44485763,35.46533246,35.57424772,36.81017299,43.13137451,39.71251914,38.12890816,38.88159708,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.63908889,35.38088812,36.55028862,35.40631269,36.03681176,43.33653267,32.67545105,22.38316116,26.0134128,26.77011283,24.97835101,25.72411548,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.44001676,13.81577453,19.94788866,18.48202897,19.13441937,21.74868597,23.03985481,24.6310756,23.65033803,18.70628151,18.9276616,19.56042383,18.48385017,20.72666583,20.27969682,18.52961866,16.3837696,17.194296,15.41578851,13.54485281,11.61637714,
Zambia,24.56421559,24.94870743,23.16570486,18.40588352,12.04901293,25.38258575,30.76836158,34.23141186,33.9649507,19.2005814,28.2382413,37.29359065,35.61869074,28.88357215,36.94410273,40.8604888,31.54418047,24.66774064,23.85924345,14.13321237,23.28306366,19.3177241,16.7691139,13.75203333,14.68262073,14.88991609,23.8104784,12.71378208,11.07354853,10.80748529,17.27827915,11.01642969,11.89172785,15.04254647,14.40308495,15.9227975,12.84510672,14.57274917,16.39203206,16.19749434,17.43466576,19.00590648,21.90191818,25.37815754,24.28332444,23.76916695,22.98810675,23.82568865,22.19316084,22.14581758,22.40541678,
Zimbabwe,20.43378094,20.04997808,15.5987042,11.51320784,11.74232662,13.65244323,14.94890056,17.42558003,21.12327995,16.89154153,18.3377813,20.17108908,23.70471544,22.87553577,24.74394977,23.63248194,16.11086714,17.1856996,10.69517643,11.40963011,16.93697909,20.81589824,19.05373569,14.30515792,17.03550417,17.81997676,18.05635972,14.93616524,18.70172311,15.03798082,17.37694301,19.10339936,20.23726538,22.7748869,23.72905585,19.66018629,18.54194015,18.13390309,20.75046094,14.39628047,13.56942445,10.2664732,5,8,4.509115038,1.525176449,1.571161319,7.109753289,5.127906932,2.169306879,2.969961515,
