"Total above 60, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Somalia,105000,120000,138000,157000,177000,200000,304000,300000,306000,291000,330000,363000,406000,490000,586000,700000,841000,1014000,1235000,1414000,1665000
South Africa,814000,934000,1054000,1196000,1247000,1332000,1469000,1644000,1885000,2269000,2651000,3140000,3694000,4374000,5063000,5629000,6051000,6364000,6710000,7308000,8061000
Spain,3063000,3367000,3754000,4098000,4801000,5325000,5799000,6536000,7367000,8198000,8697000,9301000,10153000,10950000,12018000,13388000,14971000,16691000,18332000,19178000,19236000
Sri Lanka,1002000,773000,672000,670000,743000,874000,1031000,1230000,1441000,1641000,1778000,1975000,2508000,3115000,3721000,4331000,4851000,5010000,5261000,5754000,6044000
Sudan,491000,532000,572000,627000,707000,822000,969000,1148000,1312000,1524000,1789000,2084000,2481000,2922000,3456000,4075000,4832000,5766000,6896000,8196000,9651000
Suriname,18000,17000,17000,20000,21000,20000,22000,25000,29000,33000,40000,44000,50000,55000,66000,83000,97000,112000,119000,131000,140000
Swaziland,12000,14000,16000,18000,19000,22000,26000,31000,37000,43000,52000,54000,63000,72000,83000,88000,90000,87000,91000,105000,136000
Sweden,1049000,1145000,1291000,1412000,1574000,1723000,1824000,1969000,1948000,1945000,1959000,2110000,2322000,2464000,2598000,2755000,2908000,3013000,3053000,3089000,3192000
Switzerland,652000,718000,806000,908000,1015000,1107000,1153000,1236000,1305000,1380000,1457000,1606000,1769000,1918000,2104000,2333000,2523000,2620000,2651000,2681000,2708000
Syria,238000,251000,261000,274000,295000,326000,374000,449000,538000,639000,756000,896000,1095000,1338000,1674000,2176000,2815000,3632000,4648000,5840000,6977000
Tajikistan,114000,133000,157000,191000,220000,231000,245000,271000,331000,340000,341000,333000,355000,424000,552000,723000,867000,1009000,1155000,1381000,1732000
Tanzania,289000,339000,401000,473000,560000,669000,790000,934000,1105000,1326000,1564000,1849000,2190000,2550000,2952000,3407000,3965000,4721000,5723000,6936000,8386000
Thailand,1041000,1190000,1421000,1691000,2003000,2344000,2723000,3301000,4188000,5136000,6005000,6761000,7867000,9599000,11712000,13893000,15837000,17321000,18247000,18898000,19332000
Timor-Leste,24000,21000,22000,26000,27000,30000,22000,23000,26000,32000,34000,45000,56000,67000,83000,99000,112000,131000,147000,187000,240000
Togo,90000,89000,90000,91000,110000,126000,140000,166000,192000,217000,264000,312000,372000,444000,529000,629000,754000,914000,1124000,1375000,1653000
Tonga,1000,1000,2000,2000,3000,3000,4000,5000,6000,7000,8000,9000,8000,9000,9000,10000,12000,15000,14000,15000,16000
