,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.190000057,,1.230000019,,0.939999998,,,0.709999979,,0.730000019,,0.75,,1.100000024,,1.31,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.449999988,,0.49000001,,,,,0,,,,0.50999999,,0.75999999,,0.98,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.720000029,,0.839999974,,0.850000024,,0.889999986,,0.92,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.660000026,,,0.610000014,,0.689999998,,0.74000001,,1.169999957,,1.35,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.589999974,,,0.660000026,,0.629999995,,0.75999999,,1.120000005,,1.23,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209999993,,,,,,,,,,,0.349999994,,,,0.74,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.519999981,,0.50999999,,,0.430000007,,0.5,,0.430000007,,0.810000002,,0.85,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.889999986,,,0.839999974,,0.730000019,,0.829999983,,1.210000038,,1.15,
