Total population male,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
South-Eastern Asia,(87579993),(89321253),(91177610),(93150069),(95238421),(97441242),(99755833),(102178275),(104703611),(107326129),(110040232),(112841374),(115726857),(118696195),(121750121),(124887680),(128103959),(131392463),(134748349),(138166352),(141639983),(145176302),(148769203),(152384337),(155976787),(159519354),(162986178),(166398211),(169831822),(173393205),(177154506),(181144834),(185329321),(189637340),(193965833),(198238414),(202429154),(206554418),(210630675),(214689795),(218753077),(222823533),(226884628),(230916003),(234889963),(238787940),(242600977),(246338347),(250022154),(253684345),(257348133),(261019460),(264691469),(268358902),(272011995),(275642624),(279250039),(282834219),(286388124),(289903118),(293372333),(296792131),(300161396),(303479000),(306744840),(309958641),(313118197),(316221823),(319270538),(322266237),(325209817),(328100546),(330936127),(333713911),(336430553),(339083013),(341669504),(344188402),(346636994),(349012352),(351311868),(353534091),(355677532),(357739608),(359717551),(361609356),(363413501),(365130003),(366760445),(368307418),(369772849),(371157442),(372460869),(373682242),(374820650),(375875649),(376847448),(377736987),(378545990),(379276919),(379932980)
Southern Africa,(7733239),(7913425),(8099070),(8290722),(8488753),(8693359),(8904554),(9122172),(9345914),(9575401),(9810371),(10050874),(10297448),(10551196),(10813570),(11085747),(11367628),(11659257),(11962045),(12277722),(12607217),(12951840),(13310541),(13679026),(14051393),(14423627),(14793116),(15161540),(15534338),(15919369),(16321859),(16744730),(17185090),(17635393),(18084928),(18526427),(18954822),(19373264),(19792459),(20227744),(20688978),(21180838),(21696432),(22219979),(22729389),(23208814),(23651944),(24063420),(24451703),(24830223),(25208576),(25587967),(25964230),(26335168),(26697068),(27046688),(27385146),(27712150),(28021380),(28304668),(28556832),(28775397),(28963912),(29130827),(29288078),(29444793),(29603610),(29763581),(29925865),(30090729),(30258201),(30429577),(30605108),(30782226),(30957208),(31127219),(31291448),(31450273),(31603468),(31751106),(31893245),(32029563),(32159827),(32284353),(32403657),(32518142),(32627972),(32733139),(32833700),(32929674),(33021142),(33108274),(33191318),(33270580),(33346380),(33419040),(33488862),(33556132),(33621105),(33684026),(33745107)
Southern Europe,(52511904),(53039070),(53548152),(54033131),(54491492),(54924225),(55336053),(55735197),(56132728),(56541470),(56972713),(57432694),(57919530),(58421919),(58922841),(59410538),(59880787),(60339196),(60795598),(61264352),(61755548),(62268958),(62799698),(63347100),(63909471),(64483334),(65070205),(65664106),(66244754),(66785775),(67268135),(67683942),(68037488),(68337366),(68598006),(68830689),(69038500),(69220159),(69377913),(69513514),(69629427),(69731612),(69825331),(69911937),(69991856),(70068219),(70137147),(70207096),(70307875),(70478337),(70744093),(71117109),(71583572),(72110899),(72652134),(73171590),(73657993),(74115916),(74544525),(74947573),(75327393),(75680689),(76002530),(76292495),(76550978),(76778592),(76975207),(77141232),(77278790),(77390730),(77479686),(77546910),(77593788),(77623349),(77639074),(77643874),(77639592),(77627294),(77608063),(77582670),(77551861),(77516238),(77476662),(77434300),(77390395),(77345674),(77300657),(77254758),(77206109),(77152104),(77090665),(77020708),(76941982),(76854693),(76759099),(76655124),(76542212),(76419260),(76284590),(76135979),(75970642)
Sub- Saharan Africa,(90485566),(92383618),(94359873),(96417805),(98560247),(100789402),(103106777),(105513247),(108009195),(110594772),(113270622),(116038720),(118903027),(121869829),(124946854),(128140799),(131458067),(134902012),(138472882),(142169278),(145992464),(149941577),(154024665),(158262389),(162681391),(167300240),(172128895),(177161570),(182381421),(187763004),(193287894),(198949639),(204753999),(210709235),(216828522),(223120516),(229586713),(236220749),(243013984),(249954371),(257032641),(264247982),(271601543),(279088711),(286704502),(294446671),(302314168),(310311755),(318450708),(326746253),(335210916),(343846936),(352655881),(361648520),(370837243),(380229975),(389827285),(399623914),(409613489),(419786529),(430132499),(440646138),(451317413),(462124350),(473040074),(484042081),(495118840),(506263386),(517463708),(528708577),(539988812),(551294797),(562621659),(573971521),(585350190),(596761067),(608200861),(619663560),(631146630),(642647339),(654162304),(665686785),(677215599),(688743889),(700266500),(711777368),(723270422),(734737648),(746168328),(757550266),(768872106),(780124144),(791298058),(802386230),(813380994),(824273948),(835055704),(845715743),(856242382),(866622799),(876843053)
Western Africa,(33511773),(34171073),(34865639),(35592973),(36351133),(37138751),(37955022),(38799711),(39673090),(40575858),(41508870),(42472888),(43468313),(44495104),(45553051),(46642649),(47766716),(48927998),(50127229),(51364882),(52643143),(53959111),(55318058),(56739890),(58250652),(59867553),(61600488),(63440677),(65363520),(67333672),(69325618),(71330567),(73356076),(75412840),(77518334),(79685194),(81916811),(84208449),(86555261),(88949607),(91386672),(93865247),(96389576),(98966859),(101606974),(104317283),(107101299),(109958077),(112885137),(115878011),(118933895),(122050169),(125229139),(128478516),(131808827),(135226359),(138732543),(142320935),(145979911),(149693524),(153448799),(157240698),(161067518),(164923581),(168803521),(172702816),(176617873),(180546182),(184486073),(188436704),(192397575),(196367042),(200344701),(204333089),(208335992),(212356266),(216393712),(220447530),(224519154),(228610231),(232721395),(236851877),(240999459),(245161243),(249333466),(253512285),(257695180),(261878900),(266057775),(270225221),(274375408),(278503849),(282607196),(286682756),(290727963),(294739873),(298714988),(302649165),(306537572),(310374717),(314154471)
Western Asia,(25665223),(26318288),(27028452),(27782661),(28570810),(29385769),(30223490),(31082892),(31965477),(32874696),(33814064),(34785122),(35785675),(36809030),(37846149),(38891974),(39942093),(41002317),(42090210),(43229820),(44438005),(45723565),(47080936),(48495170),(49943855),(51411596),(52890203),(54386770),(55919242),(57513411),(59186016),(60943732),(62775196),(64657032),(66556374),(68449057),(70327056),(72195767),(74060886),(75933275),(77821170),(79725067),(81642346),(83574883),(85524681),(87493572),(89481457),(91489295),(93521036),(95581561),(97673743),(99797315),(101949150),(104125290),(106320293),(108528639),(110750020),(112980802),(115208108),(117415777),(119592417),(121731451),(123835694),(125914897),(127984048),(130053938),(132126044),(134196123),(136262292),(138321045),(140369081),(142406440),(144431917),(146439224),(148420372),(150369427),(152283155),(154162067),(156008596),(157827073),(159620455),(161388977),(163130663),(164843702),(166525544),(168174282),(169788872),(171369524),(172917047),(174432849),(175917699),(177371354),(178792680),(180179994),(181531445),(182845389),(184120493),(185355806),(186550807),(187705345),(188819673)
Western Europe,(66539868),(66940273),(67420912),(67947205),(68495483),(69052959),(69618403),(70201484),(70820823),(71500791),(72261797),(73109976),(74028150),(74971940),(75880762),(76710090),(77441788),(78084404),(78652901),(79173837),(79666234),(80134955),(80571405),(80966045),(81304743),(81579233),(81791273),(81951289),(82070955),(82165849),(82250770),(82326300),(82399980),(82501642),(82668500),(82925815),(83284139),(83733056),(84249793),(84800148),(85356293),(85916021),(86478777),(87020406),(87512101),(87935013),(88274031),(88537275),(88758226),(88985154),(89252287),(89570931),(89928614),(90306855),(90676915),(91017512),(91324496),(91603852),(91856392),(92085388),(92293537),(92479629),(92642750),(92786674),(92916534),(93036181),(93147093),(93248794),(93340761),(93421716),(93490725),(93548021),(93594188),(93628997),(93652130),(93663363),(93662672),(93650160),(93625900),(93590007),(93542604),(93483836),(93413825),(93332656),(93240423),(93137278),(93023618),(92899810),(92765979),(92622209),(92468790),(92306305),(92135592),(91957685),(91773727),(91584899),(91392393),(91197399),(91001102),(90804682),(90609316)
World,(1265797701),(1289563738),(1313062974),(1336432600),(1359829027),(1383427823),(1407426280),(1432040852),(1457499801),(1484030807),(1511823868),(1540991761),(1571535397),(1603329005),(1636162157),(1669863407),(1704373071),(1739685290),(1775735897),(1812461710),(1849788713),(1887722876),(1926181921),(1964904611),(2003560966),(2041934390),(2079908094),(2117594477),(2155295270),(2193445586),(2232372937),(2272098198),(2312550164),(2353843404),(2396095023),(2439341729),(2483659652),(2528903412),(2574606400),(2620140946),(2665038478),(2709128568),(2752476848),(2795146031),(2837290631),(2879034793),(2920359734),(2961233285),(3001762793),(3042088414),(3082319482),(3122501027),(3162636457),(3202741181),(3242816769),(3282864580),(3322877036),(3362860781),(3402841429),(3442850573),(3482893891),(3522962733),(3562995210),(3602873708),(3642445435),(3681581547),(3720224872),(3758339100),(3795841809),(3832648105),(3868689132),(3903918728),(3938312244),(3971854158),(4004541896),(4036376399),(4067345803),(4097448830),(4126714363),(4155184388),(4182895204),(4209851738),(4236062451),(4261571525),(4286432504),(4310682852),(4334336808),(4357383440),(4379801463),(4401556510),(4422617857),(4442964321),(4462582154),(4481460315),(4499585066),(4516934918),(4533478918),(4549175623),(4563972805),(4577807732),(4590607218)
Afghanistan,4219844,4282564,4347934,4416185,4487512,4562068,4639970,4721295,4806090,4894382,4986215,5081686,5180978,5284376,5392223,5504807,5620685,5739592,5864212,5998221,6143320,6298601,6459968,6621684,6776254,6916754,7046553,7163370,7248503,7277842,7237125,7122497,6948319,6742062,6541645,6378409,6251419,6163313,6151992,6263890,6526559,6965233,7557550,8224506,8856065,9374309,9748238,10003945,10190554,10383965,10639417,10969852,11356976,11787761,12239160,12694245,13151219,13616726,14091735,14578682,15079016,15592086,16115704,16648032,17186797,17730126,18277469,18828450,19381668,19935604,20489315,21041727,21593308,22146602,22705231,23271734,23846889,24429673,25018607,25611421,26206355,26802944,27401372,28001272,28602372,29204412,29807011,30409854,31012855,31616022,32219303,32822540,33425484,34027841,34629314,35229648,35828649,36426187,37022204,37616709,38209776
Albania,611781,624040,638590,655193,673624,693665,715109,737760,761430,785943,811141,836882,863048,889544,916295,943233,970361,997635,1024903,1051982,1078787,1105113,1131093,1157378,1184857,1214114,1245496,1278671,1312709,1346293,1378500,1408225,1435663,1462675,1491935,1524923,1563157,1604848,1644216,1673387,1687047,1682931,1663643,1634769,1604436,1578712,1559287,1544922,1535209,1528840,1524792,1523462,1525333,1529444,1534481,1539472,1543990,1548199,1552434,1557290,1563169,1570080,1577731,1585876,1594169,1602337,1610268,1617946,1625310,1632321,1638935,1645103,1650755,1655807,1660169,1663780,1666610,1668672,1670001,1670656,1670695,1670133,1669000,1667392,1665425,1663195,1660743,1658086,1655263,1652307,1649241,1646075,1642809,1639429,1635917,1632244,1628376,1624272,1619886,1615165,1610048
Algeria,4465039,4549017,4638461,4732017,4828557,4927182,5027220,5128228,5229987,5332503,5435996,5540892,5647816,5757588,5871230,5990000,6114051,6244823,6386416,6544003,6721328,6919717,7138390,7376232,7631161,7901269,8186015,8484750,8795138,9114323,9439820,9770311,10104726,10441149,10777575,11112364,11443539,11770286,12093542,12415074,12735655,13056500,13375667,13687105,13982758,14257369,14508537,14739404,14957174,15172127,15392006,15619187,15852474,16091703,16335606,16583210,16834894,17091317,17351905,17615802,17882169,18150609,18420590,18690917,18960169,19227118,19490958,19751148,20007048,20258103,20503749,20743631,20977177,21203408,21421207,21629799,21828787,22018375,22199196,22372237,22538325,22697707,22850492,22997228,23138533,23274935,23406620,23533801,23657028,23776918,23893857,24007899,24118804,24226116,24329264,24427647,24520665,24607738,24688308,24761838,24827810
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,2034495,2065352,2099649,2137153,2177563,2220508,2265542,2312150,2359773,2407842,2455896,2503702,2551360,2599353,2648412,2699139,2751877,2806722,2863770,2923051,2984729,3049091,3116692,3188303,3264853,3347162,3434843,3528095,3628910,3739842,3862298,3998116,4145780,4299292,4450412,4593592,4725578,4848968,4971158,5102798,5251205,5419899,5605630,5800814,5994418,6178890,6350962,6514234,6676297,6848163,7037516,7247286,7474294,7712744,7953990,8191880,8424373,8653741,8883311,9118212,9362060,9615737,9877632,10145885,10417672,10690898,10964929,11240267,11517300,11796792,12079226,12364539,12652220,12941791,13232623,13524214,13816349,14108970,14401922,14695090,14988377,15281631,15574764,15867834,16160961,16454219,16747538,17040809,17334015,17627143,17920141,18212905,18505285,18797095,19088125,19378158,19666972,19954340,20240036,20523830,20805488
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,8826954,8995776,9166033,9336110,9504784,9671222,9834999,9996080,10154779,10311680,10467413,10622417,10776727,10929885,11081195,11230473,11377240,11522589,11669797,11823207,11985847,12158979,12341529,12531260,12724755,12919404,13114872,13311627,13508819,13705596,13901490,14095675,14288506,14482172,14679735,14883305,15093539,15309477,15529595,15751614,15973744,16195152,16415845,16635810,16855306,17074262,17293196,17511231,17725318,17931457,18127118,18310689,18483857,18651462,18820316,18995310,19178104,19367208,19560491,19754484,19946560,20136199,20324012,20509784,20693491,20875041,21054109,21230276,21403277,21572863,21738808,21900903,22058974,22212883,22362523,22507793,22648714,22785212,22917006,23043746,23165256,23281371,23392361,23499027,23602458,23703452,23802283,23898777,23992723,24083725,24171465,24255793,24336694,24414215,24488380,24559116,24626221,24689353,24748021,24801594,24849298
Armenia,642167,656765,675129,696650,720797,747121,775254,804908,835866,867967,901059,934951,969372,1003949,1038261,1071994,1104912,1136991,1168394,1199413,1230243,1260931,1291345,1321299,1350533,1378875,1406174,1432504,1458189,1483686,1509284,1534447,1558801,1582899,1607514,1632797,1659990,1687890,1711314,1723323,1719399,1697284,1659686,1613210,1567251,1528734,1499890,1479172,1465118,1454867,1446269,1439352,1434941,1432519,1431498,1431415,1431922,1432922,1434520,1436966,1440400,1444760,1449796,1455246,1460777,1466122,1471172,1475884,1480144,1483848,1486928,1489310,1490993,1492072,1492697,1492988,1492970,1492636,1492038,1491228,1490248,1489127,1487877,1486497,1484977,1483309,1481496,1479542,1477433,1475153,1472684,1470015,1467138,1464045,1460728,1457175,1453373,1449302,1444940,1440261,1435233
Aruba,18403,18942,19511,20098,20689,21276,21854,22420,22973,23515,24047,24569,25076,25558,26003,26403,26754,27061,27330,27575,27805,28026,28239,28440,28621,28782,28912,29018,29135,29309,29568,29956,30457,30967,31342,31495,31350,30981,30620,30591,31114,32290,34012,36031,37991,39632,40866,41771,42462,43122,43883,44767,45719,46698,47641,48498,49266,49959,50566,51074,51480,51775,51968,52091,52187,52291,52413,52550,52695,52840,52974,53100,53221,53336,53439,53528,53602,53660,53702,53727,53733,53721,53690,53641,53574,53489,53387,53269,53137,52995,52844,52687,52525,52360,52191,52022,51853,51688,51528,51377,51238
Australia,4144000,4250601,4353978,4455438,4556156,4657183,4759442,4863728,4970701,5080865,5194522,5311720,5432210,5555423,5680527,5806589,5934122,6062424,6187926,6305988,6413584,6509049,6594072,6673152,6752727,6837534,6929254,7026828,7128951,7233248,7338060,7442684,7547976,7655563,7767748,7885847,8010838,8141240,8272929,8400270,8519309,8628733,8729998,8825378,8918423,9011962,9106092,9200614,9297721,9400036,9509227,9626547,9751074,9879555,10007355,10131100,10249636,10363856,10474921,10584820,10695004,10805625,10916104,11026321,11136014,11244985,11353207,11460749,11567588,11673707,11779060,11883612,11987250,12089742,12190800,12290195,12387852,12483748,12577776,12669837,12759874,12847850,12933818,13017935,13100425,13181478,13261172,13339557,13416766,13492947,13568223,13642688,13716407,13789427,13861784,13933518,14004671,14075292,14145436,14215166,14284548
Australia/New Zealand,5103002,5230080,5356401,5481997,5607107,5732183,5857905,5985163,6115000,6248506,6386521,6529311,6676290,6825898,6975939,7124593,7271605,7416740,7558243,7694036,7822754,7943760,8057707,8166198,8271598,8375851,8479434,8582544,8686554,8793007,8903060,9017207,9135443,9257699,9383658,9512914,9645545,9781191,9918419,10055354,10190549,10323977,10455761,10584870,10710132,10831044,10946373,11057143,11167860,11284654,11411675,11550899,11700385,11855521,12009606,12157773,12298478,12433135,12563420,12692167,12821438,12951484,13081492,13211241,13340280,13468274,13595180,13721118,13846062,13970001,14092887,14214677,14335230,14454269,14571451,14686504,14799337,14909929,15018170,15123966,15227266,15328035,15426333,15522341,15616310,15708459,15798878,15887633,15974890,16060835,16145622,16229366,16312141,16393999,16474977,16555118,16634469,16713088,16791041,16868406,16945269
Austria,3219962,3217960,3217805,3219190,3221975,3226181,3232012,3239834,3250141,3263492,3280316,3300710,3324261,3349968,3376460,3402634,3428027,3452523,3475771,3497496,3517428,3535588,3551751,3565176,3574952,3580588,3581786,3579190,3574446,3569805,3566993,3566701,3568844,3573432,3580199,3588998,3599524,3612016,3627417,3646978,3671302,3701327,3736039,3771745,3803437,3827718,3842769,3850103,3853729,3859474,3871447,3890977,3916467,3945547,3974584,4000888,4023897,4044348,4062391,4078515,4093119,4106054,4117200,4127075,4136376,4145621,4155005,4164448,4173846,4182982,4191690,4199971,4207878,4215339,4222270,4228597,4234299,4239354,4243698,4247257,4249985,4251858,4252898,4253164,4252741,4251704,4250085,4247903,4245200,4242021,4238411,4234413,4230070,4225426,4220523,4215407,4210123,4204718,4199242,4193743,4188274
Azerbaijan,1363475,1396292,1435125,1478579,1525591,1575430,1627714,1682393,1739694,1800028,1863715,1930692,2000252,2070939,2140854,2208579,2273468,2335656,2395478,2453621,2510581,2566492,2621116,2674176,2725276,2774229,2820963,2865884,2909879,2954130,2999539,3046381,3094590,3144283,3195482,3248146,3302107,3357214,3413403,3470595,3528524,3587507,3646961,3704647,3757631,3803943,3842831,3875267,3903186,3929436,3956276,3984099,4012848,4043791,4078324,4117365,4161521,4210441,4262816,4316716,4370621,4424057,4477061,4529207,4580143,4629549,4677131,4722610,4765734,4806287,4844123,4879119,4911281,4940777,4967878,4992827,5015687,5036539,5055674,5073444,5090133,5105861,5120677,5134702,5148036,5160740,5172883,5184441,5195259,5205108,5213804,5221247,5227405,5232282,5235885,5238182,5239098,5238503,5236212,5231986,5225535
Bahamas,36713,37073,37725,38655,39853,41310,43023,44991,47215,49699,52436,55410,58583,61898,65282,68670,72061,75427,78649,81580,84124,86215,87907,89385,90905,92657,94703,96990,99442,101935,104378,106762,109116,111433,113711,115950,118135,120268,122391,124560,126814,129167,131599,134072,136528,138926,141255,143523,145726,147867,149946,151959,153908,155811,157696,159583,161479,163379,165281,167174,169054,170919,172772,174609,176428,178224,179996,181743,183464,185159,186829,188472,190085,191666,193212,194720,196190,197620,199005,200340,201621,202846,204015,205132,206204,207234,208224,209173,210078,210936,211746,212507,213219,213882,214499,215070,215594,216071,216499,216876,217198
Bahrain,62117,63958,65765,67643,69658,71843,74190,76658,79174,81648,84007,86227,88366,90580,93082,96030,99517,103527,107982,112749,117753,122893,128250,134143,141008,149109,158606,169282,180564,191660,201998,211380,219969,227996,235847,243819,251898,260010,268321,277030,286249,296117,306536,317094,327221,336525,344832,352313,359342,366468,374086,382304,390993,400023,409180,418297,427359,436401,445356,454152,462738,471074,479165,487064,494851,502585,510281,517918,525483,532947,540294,547517,554625,561631,568556,575411,582197,588904,595513,602001,608349,614548,620593,626473,632178,637696,643022,648149,653072,657784,662280,666558,670618,674461,678089,681506,684716,687723,690534,693154,695590
