Urban population (% of total),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Sao Tome and Principe,16.1,17.225,18.377,19.529,20.681,21.833,23.37,24.907,26.444,27.981,29.518,29.9422,30.3664,30.7906,31.2148,31.639,32.0076,32.3762,32.7448,33.1134,33.482,34.3954,35.3088,36.2222,37.1356,38.049,39.1688,40.2886,41.4084,42.5282,43.648,44.6446,45.6412,46.6378,47.6344,48.631,49.5896,50.5482,51.5068,52.4654,53.424,54.3438,55.2636,56.1834,57.1032,58.023,58.816,59.609,60.402,61.195,61.988,62.65
Saudi Arabia,31.3,32.7538,34.2576,35.7614,37.2652,38.769,40.749,42.729,44.709,46.689,48.669,50.605,52.541,54.477,56.413,58.349,59.8512,61.3534,62.8556,64.3578,65.86,67.2174,68.5748,69.9322,71.2896,72.647,73.4342,74.2214,75.0086,75.7958,76.583,77.0004,77.4178,77.8352,78.2526,78.67,78.9056,79.1412,79.3768,79.6124,79.848,80.0742,80.3004,80.5266,80.7528,80.979,81.2,81.421,81.642,81.863,82.084,82.29
Senegal,23,23.6702,24.3404,25.0106,25.6808,26.351,27.0808,27.8106,28.5404,29.2702,30,30.7386,31.4772,32.2158,32.9544,33.693,34.1082,34.5234,34.9386,35.3538,35.769,36.125,36.481,36.837,37.193,37.549,37.8192,38.0894,38.3596,38.6298,38.9,39.044,39.188,39.332,39.476,39.62,39.765,39.91,40.055,40.2,40.345,40.5002,40.6554,40.8106,40.9658,41.121,41.3472,41.5734,41.7996,42.0258,42.252,42.5598
Serbia,,30.0916,31.1192,32.1468,33.1744,34.202,35.3104,36.4188,37.5272,38.6356,39.744,40.4208,41.0976,41.7744,42.4512,43.128,43.7316,44.3352,44.9388,45.5424,46.146,46.585,47.024,47.463,47.902,48.341,48.7514,49.1618,49.5722,49.9826,50.393,50.6642,50.9354,51.2066,51.4778,51.749,51.9954,52.2418,52.4882,52.7346,52.981,53.2714,53.5618,53.8522,54.1426,54.433,54.753,55.073,55.393,55.713,56.033,56.379
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,27.7,28.763,29.853,30.943,32.033,33.123,34.312,35.501,36.69,37.879,39.068,40.5076,41.9472,43.3868,44.8264,46.266,46.886,47.506,48.126,48.746,49.366,49.3512,49.3364,49.3216,49.3068,49.292,49.2872,49.2824,49.2776,49.2728,49.268,49.3386,49.4092,49.4798,49.5504,49.621,49.7768,49.9326,50.0884,50.2442,50.4,50.641,50.882,51.123,51.364,51.605,51.931,52.257,52.583,52.909,53.235,53.6236
Sierra Leone,17.4,17.9458,18.5146,19.0834,19.6522,20.221,20.8568,21.4926,22.1284,22.7642,23.4,24.0712,24.7424,25.4136,26.0848,26.756,27.2258,27.6956,28.1654,28.6352,29.105,29.5978,30.0906,30.5834,31.0762,31.569,31.8616,32.1542,32.4468,32.7394,33.032,33.3088,33.5856,33.8624,34.1392,34.416,34.6982,34.9804,35.2626,35.5448,35.827,36.1142,36.4014,36.6886,36.9758,37.263,37.5856,37.9082,38.2308,38.5534,38.876,39.2558
Singapore,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Slovak Republic,33.5,34.1798,34.8956,35.6114,36.3272,37.043,37.8458,38.6486,39.4514,40.2542,41.057,42.097,43.137,44.177,45.217,46.257,47.3332,48.4094,49.4856,50.5618,51.638,52.1456,52.6532,53.1608,53.6684,54.176,54.639,55.102,55.565,56.028,56.491,56.5002,56.5094,56.5186,56.5278,56.537,56.4762,56.4154,56.3546,56.2938,56.233,56.099,55.965,55.831,55.697,55.563,55.4172,55.2714,55.1256,54.9798,54.834,54.7814
Slovenia,28.2,29.0626,29.9212,30.7798,31.6384,32.497,33.3984,34.2998,35.2012,36.1026,37.004,38.078,39.152,40.226,41.3,42.374,43.5082,44.6424,45.7766,46.9108,48.045,48.352,48.659,48.966,49.273,49.58,49.74,49.9,50.06,50.22,50.38,50.4272,50.4744,50.5216,50.5688,50.616,50.6432,50.6704,50.6976,50.7248,50.752,50.6954,50.6388,50.5822,50.5256,50.469,50.367,50.265,50.163,50.061,49.959,49.9294
Solomon Islands,5.8,6.0634,6.3588,6.6542,6.9496,7.245,7.5794,7.9138,8.2482,8.5826,8.917,8.9586,9.0002,9.0418,9.0834,9.125,9.4152,9.7054,9.9956,10.2858,10.576,10.9474,11.3188,11.6902,12.0616,12.433,12.6818,12.9306,13.1794,13.4282,13.677,13.8744,14.0718,14.2692,14.4666,14.664,14.8934,15.1228,15.3522,15.5816,15.811,16.211,16.611,17.011,17.411,17.811,18.2498,18.6886,19.1274,19.5662,20.005,20.4602
Somalia,17.3,17.8424,18.3728,18.9032,19.4336,19.964,20.5068,21.0496,21.5924,22.1352,22.678,23.242,23.806,24.37,24.934,25.498,25.751,26.004,26.257,26.51,26.763,27.0238,27.2846,27.5454,27.8062,28.067,28.3852,28.7034,29.0216,29.3398,29.658,30.0114,30.3648,30.7182,31.0716,31.425,31.7894,32.1538,32.5182,32.8826,33.247,33.6296,34.0122,34.3948,34.7774,35.16,35.5858,36.0116,36.4374,36.8632,37.289,37.7604
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,46.6,46.7448,46.8706,46.9964,47.1222,47.248,47.3602,47.4724,47.5846,47.6968,47.809,47.869,47.929,47.989,48.049,48.109,48.1722,48.2354,48.2986,48.3618,48.425,48.6144,48.8038,48.9932,49.1826,49.372,49.905,50.438,50.971,51.504,52.037,52.5268,53.0166,53.5064,53.9962,54.486,54.967,55.448,55.929,56.41,56.891,57.364,57.837,58.31,58.783,59.256,59.714,60.172,60.63,61.088,61.546,61.9868
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,56.6,57.5092,58.4514,59.3936,60.3358,61.278,62.23,63.182,64.134,65.086,66.038,66.7444,67.4508,68.1572,68.8636,69.57,70.2138,70.8576,71.5014,72.1452,72.789,73.0738,73.3586,73.6434,73.9282,74.213,74.4406,74.6682,74.8958,75.1234,75.351,75.452,75.553,75.654,75.755,75.856,75.9372,76.0184,76.0996,76.1808,76.262,76.3498,76.4376,76.5254,76.6132,76.701,76.8176,76.9342,77.0508,77.1674,77.284,77.4286
Sri Lanka,16.4,16.67,16.909,17.148,17.387,17.626,18.0036,18.3812,18.7588,19.1364,19.514,19.5078,19.5016,19.4954,19.4892,19.483,19.3422,19.2014,19.0606,18.9198,18.779,18.62,18.461,18.302,18.143,17.984,17.827,17.67,17.513,17.356,17.199,17.0472,16.8954,16.7436,16.5918,16.44,16.2938,16.1476,16.0014,15.8552,15.709,15.5926,15.4762,15.3598,15.2434,15.127,15.1098,15.0926,15.0754,15.0582,15.041,15.1264
Sudan,10.7,11.2714,11.7968,12.3222,12.8476,13.373,14.003,14.633,15.263,15.893,16.523,17.007,17.491,17.975,18.459,18.943,19.1462,19.3494,19.5526,19.7558,19.959,20.5546,21.1502,21.7458,22.3414,22.937,24.0716,25.2062,26.3408,27.4754,28.61,29.3344,30.0588,30.7832,31.5076,32.232,32.2846,32.3372,32.3898,32.4424,32.495,32.548,32.601,32.654,32.707,32.76,32.8248,32.8896,32.9544,33.0192,33.084,33.2352
Suriname,47.3,47.2298,47.1996,47.1694,47.1392,47.109,46.8768,46.6446,46.4124,46.1802,45.948,46.6522,47.3564,48.0606,48.7648,49.469,50.5752,51.6814,52.7876,53.8938,55,55.5064,56.0128,56.5192,57.0256,57.532,58.0308,58.5296,59.0284,59.5272,60.026,60.5144,61.0028,61.4912,61.9796,62.468,62.9444,63.4208,63.8972,64.3736,64.85,65.3118,65.7736,66.2354,66.6972,67.159,67.5924,68.0258,68.4592,68.8926,69.326,69.723
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,3.9,4.4292,4.9454,5.4616,5.9778,6.494,7.1362,7.7784,8.4206,9.0628,9.705,10.5648,11.4246,12.2844,13.1442,14.004,14.7724,15.5408,16.3092,17.0776,17.846,18.6376,19.4292,20.2208,21.0124,21.804,22.0248,22.2456,22.4664,22.6872,22.908,22.936,22.964,22.992,23.02,23.048,22.966,22.884,22.802,22.72,22.638,22.4936,22.3492,22.2048,22.0604,21.916,21.796,21.676,21.556,21.436,21.316,21.2808
Sweden,72.5,73.4032,74.3164,75.2296,76.1428,77.056,77.8516,78.6472,79.4428,80.2384,81.034,81.3732,81.7124,82.0516,82.3908,82.73,82.8014,82.8728,82.9442,83.0156,83.087,83.0896,83.0922,83.0948,83.0974,83.1,83.1,83.1,83.1,83.1,83.1,83.2448,83.3896,83.5344,83.6792,83.824,83.8644,83.9048,83.9452,83.9856,84.026,84.0846,84.1432,84.2018,84.2604,84.319,84.4664,84.6138,84.7612,84.9086,85.056,85.2058
Switzerland,51,51.6586,52.2982,52.9378,53.5774,54.217,54.8472,55.4774,56.1076,56.7378,57.368,57.3682,57.3684,57.3686,57.3688,57.369,57.312,57.255,57.198,57.141,57.084,58.7092,60.3344,61.9596,63.5848,65.21,66.8048,68.3996,69.9944,71.5892,73.184,73.2628,73.3416,73.4204,73.4992,73.578,73.5268,73.4756,73.4244,73.3732,73.322,73.349,73.376,73.403,73.43,73.457,73.4932,73.5294,73.5656,73.6018,73.638,73.7098
Syria,36.8,37.4076,38.0572,38.7068,39.3564,40.006,40.6738,41.3416,42.0094,42.6772,43.345,43.6882,44.0314,44.3746,44.7178,45.061,45.3904,45.7198,46.0492,46.3786,46.708,46.9446,47.1812,47.4178,47.6544,47.891,48.099,48.307,48.515,48.723,48.931,49.1656,49.4002,49.6348,49.8694,50.104,50.4726,50.8412,51.2098,51.5784,51.947,52.3142,52.6814,53.0486,53.4158,53.783,54.161,54.539,54.917,55.295,55.673,56.0686
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,33.2,33.5648,33.9616,34.3584,34.7552,35.152,35.4968,35.8416,36.1864,36.5312,36.876,36.608,36.34,36.072,35.804,35.536,35.2866,35.0372,34.7878,34.5384,34.289,34.0782,33.8674,33.6566,33.4458,33.235,32.9196,32.6042,32.2888,31.9734,31.658,31.1018,30.5456,29.9894,29.4332,28.877,28.399,27.921,27.443,26.965,26.487,26.4754,26.4638,26.4522,26.4406,26.429,26.4432,26.4574,26.4716,26.4858,26.5,26.554
Tanzania,5.2,5.4028,5.5596,5.7164,5.8732,6.03,6.3944,6.7588,7.1232,7.4876,7.852,8.5108,9.1696,9.8284,10.4872,11.146,11.8278,12.5096,13.1914,13.8732,14.555,14.9974,15.4398,15.8822,16.3246,16.767,17.1904,17.6138,18.0372,18.4606,18.884,19.2158,19.5476,19.8794,20.2112,20.543,20.8962,21.2494,21.6026,21.9558,22.309,22.6856,23.0622,23.4388,23.8154,24.192,24.6094,25.0268,25.4442,25.8616,26.279,26.7424
Thailand,19.7,19.7818,19.8916,20.0014,20.1112,20.221,20.3546,20.4882,20.6218,20.7554,20.889,21.4628,22.0366,22.6104,23.1842,23.758,24.3646,24.9712,25.5778,26.1844,26.791,27.0518,27.3126,27.5734,27.8342,28.095,28.3608,28.6266,28.8924,29.1582,29.424,29.5944,29.7648,29.9352,30.1056,30.276,30.4494,30.6228,30.7962,30.9696,31.143,31.3626,31.5822,31.8018,32.0214,32.241,32.5388,32.8366,33.1344,33.4322,33.73,34.1104
Timor-Leste,10.1,10.3434,10.5958,10.8482,11.1006,11.353,11.6596,11.9662,12.2728,12.5794,12.886,13.2274,13.5688,13.9102,14.2516,14.593,14.971,15.349,15.727,16.105,16.483,16.899,17.315,17.731,18.147,18.563,19.0188,19.4746,19.9304,20.3862,20.842,21.1804,21.5188,21.8572,22.1956,22.534,22.8798,23.2256,23.5714,23.9172,24.263,24.6264,24.9898,25.3532,25.7166,26.08,26.456,26.832,27.208,27.584,27.96,28.3446
Togo,10.1,11.0684,12.0388,13.0092,13.9796,14.95,16.216,17.482,18.748,20.014,21.28,21.6094,21.9388,22.2682,22.5976,22.927,23.2742,23.6214,23.9686,24.3158,24.663,25.0428,25.4226,25.8024,26.1822,26.562,26.9674,27.3728,27.7782,28.1836,28.589,29.0122,29.4354,29.8586,30.2818,30.705,31.1454,31.5858,32.0262,32.4666,32.907,33.3626,33.8182,34.2738,34.7294,35.185,35.6546,36.1242,36.5938,37.0634,37.533,38.02
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,17.6,17.9414,18.3308,18.7202,19.1096,19.499,19.6366,19.7742,19.9118,20.0494,20.187,20.217,20.247,20.277,20.307,20.337,20.5004,20.6638,20.8272,20.9906,21.154,21.3768,21.5996,21.8224,22.0452,22.268,22.3552,22.4424,22.5296,22.6168,22.704,22.736,22.768,22.8,22.832,22.864,22.8936,22.9232,22.9528,22.9824,23.012,23.0406,23.0692,23.0978,23.1264,23.155,23.1976,23.2402,23.2828,23.3254,23.368,23.4662
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,17.3,16.7486,16.1482,15.5478,14.9474,14.347,13.8528,13.3586,12.8644,12.3702,11.876,11.7752,11.6744,11.5736,11.4728,11.372,11.2702,11.1684,11.0666,10.9648,10.863,10.6098,10.3566,10.1034,9.8502,9.597,9.3844,9.1718,8.9592,8.7466,8.534,8.7516,8.9692,9.1868,9.4044,9.622,9.8642,10.1064,10.3486,10.5908,10.833,11.0908,11.3486,11.6064,11.8642,12.122,12.3864,12.6508,12.9152,13.1796,13.444,13.7116
Tunisia,37.5,37.9536,38.3962,38.8388,39.2814,39.724,40.4756,41.2272,41.9788,42.7304,43.482,44.3032,45.1244,45.9456,46.7668,47.588,48.1842,48.7804,49.3766,49.9728,50.569,51.223,51.877,52.531,53.185,53.839,54.6604,55.4818,56.3032,57.1246,57.946,58.6516,59.3572,60.0628,60.7684,61.474,61.8656,62.2572,62.6488,63.0404,63.432,63.7712,64.1104,64.4496,64.7888,65.128,65.322,65.516,65.71,65.904,66.098,66.3142
Turkey,31.5,32.0574,32.5998,33.1422,33.6846,34.227,35.0284,35.8298,36.6312,37.4326,38.234,38.9044,39.5748,40.2452,40.9156,41.586,42.0248,42.4636,42.9024,43.3412,43.78,45.5136,47.2472,48.9808,50.7144,52.448,53.799,55.15,56.501,57.852,59.203,59.787,60.371,60.955,61.539,62.123,62.6466,63.1702,63.6938,64.2174,64.741,65.161,65.581,66.001,66.421,66.841,67.5702,68.2994,69.0286,69.7578,70.487,71.4094
Turkmenistan,46.4,46.5574,46.7028,46.8482,46.9936,47.139,47.2672,47.3954,47.5236,47.6518,47.78,47.7354,47.6908,47.6462,47.6016,47.557,47.4612,47.3654,47.2696,47.1738,47.078,46.8576,46.6372,46.4168,46.1964,45.976,45.7958,45.6156,45.4354,45.2552,45.075,45.0188,44.9626,44.9064,44.8502,44.794,45.0178,45.2416,45.4654,45.6892,45.913,46.14,46.367,46.594,46.821,47.048,47.3204,47.5928,47.8652,48.1376,48.41,48.7416
Turks and Caicos Islands,,48.0216,48.3642,48.7068,49.0494,49.392,49.7348,50.0776,50.4204,50.7632,51.106,51.4974,51.8888,52.2802,52.6716,53.063,53.5022,53.9414,54.3806,54.8198,55.259,57.295,59.331,61.367,63.403,65.439,67.2198,69.0006,70.7814,72.5622,74.343,75.46,76.577,77.694,78.811,79.928,80.8524,81.7768,82.7012,83.6256,84.55,85.5712,86.5924,87.6136,88.6348,89.656,90.3764,91.0968,91.8172,92.5376,93.258,93.6658
Tuvalu,,16.4746,17.0542,17.6338,18.2134,18.793,19.4506,20.1082,20.7658,21.4234,22.081,22.817,23.553,24.289,25.025,25.761,26.5732,27.3854,28.1976,29.0098,29.822,30.7078,31.5936,32.4794,33.3652,34.251,35.533,36.815,38.097,39.379,40.661,41.3228,41.9846,42.6464,43.3082,43.97,44.3796,44.7892,45.1988,45.6084,46.018,46.4304,46.8428,47.2552,47.6676,48.08,48.4936,48.9072,49.3208,49.7344,50.148,50.5616
Uganda,4.4,4.6354,4.8538,5.0722,5.2906,5.509,5.74,5.971,6.202,6.433,6.664,6.7392,6.8144,6.8896,6.9648,7.04,7.1388,7.2376,7.3364,7.4352,7.534,7.8576,8.1812,8.5048,8.8284,9.152,9.5368,9.9216,10.3064,10.6912,11.076,11.1934,11.3108,11.4282,11.5456,11.663,11.7468,11.8306,11.9144,11.9982,12.082,12.3152,12.5484,12.7816,13.0148,13.248,13.63,14.012,14.394,14.776,15.158,15.579
Ukraine,46.8,47.5634,48.3348,49.1062,49.8776,50.649,51.4854,52.3218,53.1582,53.9946,54.831,55.5426,56.2542,56.9658,57.6774,58.389,59.0498,59.7106,60.3714,61.0322,61.693,62.2906,62.8882,63.4858,64.0834,64.681,65.0962,65.5114,65.9266,66.3418,66.757,66.7958,66.8346,66.8734,66.9122,66.951,66.9898,67.0286,67.0674,67.1062,67.145,67.274,67.403,67.532,67.661,67.79,67.969,68.148,68.327,68.506,68.685,68.884
United Arab Emirates,73.5,73.9322,74.3644,74.7966,75.2288,75.661,76.069,76.477,76.885,77.293,77.701,78.0838,78.4666,78.8494,79.2322,79.615,79.834,80.053,80.272,80.491,80.71,80.5288,80.3476,80.1664,79.9852,79.804,79.6534,79.5028,79.3522,79.2016,79.051,78.9046,78.7582,78.6118,78.4654,78.319,78.7024,79.0858,79.4692,79.8526,80.236,80.6412,81.0464,81.4516,81.8568,82.262,82.618,82.974,83.33,83.686,84.042,84.3316
United Kingdom,78.4,78.3194,78.1948,78.0702,77.9456,77.821,77.6802,77.5394,77.3986,77.2578,77.117,77.2302,77.3434,77.4566,77.5698,77.683,77.8426,78.0022,78.1618,78.3214,78.481,78.4628,78.4446,78.4264,78.4082,78.39,78.34,78.29,78.24,78.19,78.14,78.1826,78.2252,78.2678,78.3104,78.353,78.4126,78.4722,78.5318,78.5914,78.651,78.7222,78.7934,78.8646,78.9358,79.007,79.1072,79.2074,79.3076,79.4078,79.508,79.6356
United States,70,70.3726,70.7492,71.1258,71.5024,71.879,72.2236,72.5682,72.9128,73.2574,73.602,73.6122,73.6224,73.6326,73.6428,73.653,73.67,73.687,73.704,73.721,73.738,73.8892,74.0404,74.1916,74.3428,74.494,74.6552,74.8164,74.9776,75.1388,75.3,75.69,76.08,76.47,76.86,77.25,77.6178,77.9856,78.3534,78.7212,79.089,79.4174,79.7458,80.0742,80.4026,80.731,81.0134,81.2958,81.5782,81.8606,82.143,82.384
Uruguay,80.2,80.4584,80.6758,80.8932,81.1106,81.328,81.536,81.744,81.952,82.16,82.368,82.5718,82.7756,82.9794,83.1832,83.387,83.7884,84.1898,84.5912,84.9926,85.394,85.754,86.114,86.474,86.834,87.194,87.5498,87.9056,88.2614,88.6172,88.973,89.2868,89.6006,89.9144,90.2282,90.542,90.6986,90.8552,91.0118,91.1684,91.325,91.445,91.565,91.685,91.805,91.925,92.0306,92.1362,92.2418,92.3474,92.453,92.544
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,34,34.2402,34.5024,34.7646,35.0268,35.289,35.574,35.859,36.144,36.429,36.714,37.1886,37.6632,38.1378,38.6124,39.087,39.426,39.765,40.104,40.443,40.782,40.77,40.758,40.746,40.734,40.722,40.612,40.502,40.392,40.282,40.172,39.8256,39.4792,39.1328,38.7864,38.44,38.2378,38.0356,37.8334,37.6312,37.429,37.2784,37.1278,36.9772,36.8266,36.676,36.5816,36.4872,36.3928,36.2984,36.204,36.248
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,10.4,10.589,10.774,10.959,11.144,11.329,11.5282,11.7274,11.9266,12.1258,12.325,12.539,12.753,12.967,13.181,13.395,13.664,13.933,14.202,14.471,14.74,15.1364,15.5328,15.9292,16.3256,16.722,17.1206,17.5192,17.9178,18.3164,18.715,19.0048,19.2946,19.5844,19.8742,20.164,20.4658,20.7676,21.0694,21.3712,21.673,21.9582,22.2434,22.5286,22.8138,23.099,23.397,23.695,23.993,24.291,24.589,24.9022
Venezuela,61.6,62.6948,63.7766,64.8584,65.9402,67.022,67.988,68.954,69.92,70.886,71.852,72.6388,73.4256,74.2124,74.9992,75.786,76.4658,77.1456,77.8254,78.5052,79.185,79.733,80.281,80.829,81.377,81.925,82.3968,82.8686,83.3404,83.8122,84.284,84.8912,85.4984,86.1056,86.7128,87.32,87.8338,88.3476,88.8614,89.3752,89.889,90.2934,90.6978,91.1022,91.5066,91.911,92.1916,92.4722,92.7528,93.0334,93.314,93.5048
West Bank and Gaza,44,45.0148,45.9856,46.9564,47.9272,48.898,49.978,51.058,52.138,53.218,54.298,55.3584,56.4188,57.4792,58.5396,59.6,60.1688,60.7376,61.3064,61.8752,62.444,62.9956,63.5472,64.0988,64.6504,65.202,65.7344,66.2668,66.7992,67.3316,67.864,68.374,68.884,69.394,69.904,70.414,70.725,71.036,71.347,71.658,71.969,72.1874,72.4058,72.6242,72.8426,73.061,73.2754,73.4898,73.7042,73.9186,74.133,74.3516
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,14.7,15.0442,15.3884,15.7326,16.0768,16.421,16.7968,17.1726,17.5484,17.9242,18.3,18.3964,18.4928,18.5892,18.6856,18.782,18.875,18.968,19.061,19.154,19.247,19.3098,19.3726,19.4354,19.4982,19.561,19.6998,19.8386,19.9774,20.1162,20.255,20.6414,21.0278,21.4142,21.8006,22.187,22.6244,23.0618,23.4992,23.9366,24.374,24.9554,25.5368,26.1182,26.6996,27.281,27.9034,28.5258,29.1482,29.7706,30.393,31.0356
Virgin Islands (U.S.),56.5,57.8374,59.1978,60.5582,61.9186,63.279,64.5416,65.8042,67.0668,68.3294,69.592,70.7226,71.8532,72.9838,74.1144,75.245,76.2254,77.2058,78.1862,79.1666,80.147,80.9736,81.8002,82.6268,83.4534,84.28,84.961,85.642,86.323,87.004,87.685,88.2354,88.7858,89.3362,89.8866,90.437,90.8746,91.3122,91.7498,92.1874,92.625,92.9414,93.2578,93.5742,93.8906,94.207,94.4218,94.6366,94.8514,95.0662,95.281,95.426
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,9.1,9.4852,9.8704,10.2556,10.6408,11.026,11.4808,11.9356,12.3904,12.8452,13.3,13.6088,13.9176,14.2264,14.5352,14.844,15.182,15.52,15.858,16.196,16.534,16.9018,17.2696,17.6374,18.0052,18.373,18.8846,19.3962,19.9078,20.4194,20.931,21.4968,22.0626,22.6284,23.1942,23.76,24.2614,24.7628,25.2642,25.7656,26.267,26.8008,27.3346,27.8684,28.4022,28.936,29.4972,30.0584,30.6196,31.1808,31.742,32.3248
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,18.1,19.1904,20.2358,21.2812,22.3266,23.372,24.7678,26.1636,27.5594,28.9552,30.351,31.2676,32.1842,33.1008,34.0174,34.934,35.9102,36.8864,37.8626,38.8388,39.815,39.783,39.751,39.719,39.687,39.655,39.6054,39.5558,39.5062,39.4566,39.407,38.9464,38.4858,38.0252,37.5646,37.104,36.6436,36.1832,35.7228,35.2624,34.802,35.164,35.526,35.888,36.25,36.612,37.0346,37.4572,37.8798,38.3024,38.725,39.1654
Zimbabwe,12.6,13.0104,13.4128,13.8152,14.2176,14.62,15.1684,15.7168,16.2652,16.8136,17.362,17.8642,18.3664,18.8686,19.3708,19.873,20.3726,20.8722,21.3718,21.8714,22.371,22.9796,23.5882,24.1968,24.8054,25.414,26.1288,26.8436,27.5584,28.2732,28.988,29.5368,30.0856,30.6344,31.1832,31.732,32.1372,32.5424,32.9476,33.3528,33.758,34.1784,34.5988,35.0192,35.4396,35.86,36.314,36.768,37.222,37.676,38.13,38.6206
Åland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,8.7364,8.7248,8.7132,8.7016,8.69,8.6786,8.6672,8.6558,8.6444,8.633,8.6216,8.6102,8.5988,8.5874,8.576,8.5646,8.5532,8.5418,8.5304,8.519,8.784,9.049,9.314,9.579,9.844,10.5304,11.2168,11.9032,12.5896,13.276,13.7954,14.3148,14.8342,15.3536,15.873,15.9992,16.1254,16.2516,16.3778,16.504,16.634,16.764,16.894,17.024,17.154,17.2948,17.4356,17.5764,17.7172,17.858,18.0542
Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bonaire, Saint Eustatius and Saba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
