"Total GNI, PPP (current international $)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,407689706.6,404735586.6,437468024.2,460788724.4,468319145.5,504591860.3,514783151.5,599636279.7,668058645.9,668780698.2,793036383.5,878185906.6,1627805536,2139934370,1651516566,2824932863,3296988483,4358289857,4418956133,5865738603,7658025589,8573308378,10460153759,13873843139,17684526361,15394007473,17362565138
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092860641,1267085879,1567841870,1671100242,1813832751,2008082896,2094047671,2131532828,1876745405,2317335370,2412098050,2392494577,2488801162,2651395441,2714436282,2837883632,2608442349,2736250562,2828526578,3159088141
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9102024087,9871011544,10901871816,11590635584,11905252691,13092971620,14018964748,15619176109,17191574481,18974547810,21427645204,24400219476,27050916651,28119123941,25767996168,25966333012,27909816530
Ethiopia,,,,,,,,,,,,,,,,,,,,,11351832796,12151686203,13666487575,13765020649,12590412306,14120000526,16524740463,17162579397,17720965693,18927441781,18174788765,16937466419,19487675764,20507333238,22351760934,25646404178,26803456905,26311346138,28119067352,30451489935,33763758511,34872863946,34746070466,40628662861,47099600259,53906969525,62026341437,70238855394,77076290044,85511455042,94252922933
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,1026268530,1200818908,1171768948,1176055531,1324402106,1321633179,1459846588,1399004078,1455178926,1617973145,1742181153,1765209704,1904432972,1986629168,2099540491,2265107717,2432634194,2413243456,2439396195,2693498503,2853686796,2894613602,3086042900,3158542147,3418334124,3607411989,3592879670,3729568984,3843268991,3914424930,3842349187,3983889100
Finland,,,,,,,,,,,,,,,,,,,,42286905199,46600891672,50800850281,54404770657,58295420081,62222185719,65495589687,69730858545,76062881333,82128902749,85320481063,82286341009,80359117257,80910660553,86694261035,92937405529,96189047631,105818041517,113657019617,120390792543,131879596648,137450002222,143417724402,142870812581,157306696733,161838723338,176181146440,191360298296,203381816707,193617824181,198965603004,207402908916
France,,,,,,,,,,,,,,,,,,,,526260515352,580536214147,628159449950,656847412318,690575914785,726518178002,762245763854,805768310413,870735968471,939653203815,1001869973432,1047070686891,1090439089387,1108885525012,1154970738732,1202539183757,1246409245586,1309465474998,1378583887998,1447215211484,1555029363974,1649692760587,1716400491637,1709399125704,1784355070466,1889806062801,2027824215591,2150850789820,2229835833623,2211381668776,2263012393317,2333007233725
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,4994307735,5830459394,5983265699,6565700212,7516869954,7484980404,7594584682,6465875380,7563603777,8669623958,8989639717,9874310432,9469186751,9892012166,10783381553,11381256169,12005179728,12931326829,13876537015,12719244855,12290104625,13142449282,13880026557,14190291760,13978329681,15867759747,15978698263,17632712793,18460711966,19000410298,19681524854,20948901493
Gambia,,,,,,,,,,,,,,,,,,,,487394727.5,550806017,572334507.4,636095700.6,734783731.7,720686051.4,672365668.6,860527568.4,923764033.3,936408818.2,983900762.7,1107432126,1172741557,1235779052,1264068533,1311045778,1364710945,1443452718,1514099400,1625629283,1746388051,1876189770,1822358436,1979629844,2180362101,2240105246,2380186916,2640315319,2904925035,3132315397,3384477230,3657785330
Georgia,,,,,,,,,,,,,,,,,,,,14630339366,16844414611,18228393955,19764618677,21619806912,23381074987,21949649858,22882425541,24994784768,24069573005,21287969893,17366994193,9705295896,6940172198,6339269253,6475071917,7491973287,8951794726,9510556026,9915858788,10184191649,10618267539,11306376219,12820665373,14120138049,15899402632,18155610446,20628513337,21294517657,20732755041,22036768496,24164749258
Germany,,,,,,,,,,,,,,,,,,,,777390564338,853284184909,900897180846,954235259214,1022007861969,1077817257878,1124372342457,1171867258243,1263568308535,1364214689982,1491298530644,1611545580687,1678880521104,1695197146712,1760924776548,1822675802058,1876748513989,1917374272506,1962003263127,2027041082539,2095454256599,2174208700748,2233346956786,2319970016227,2469966533226,2595055739077,2819799020393,2975552218891,3086919063239,3014317896264,3116944312098,3266461750353
Ghana,,,,,,,,,,,,,,,,,,,,5155282713,5447439884,5381649621,5305432299,5969144278,6420248637,6873902900,7375496685,8078236025,8833887036,9506653813,10355694064,11005137783,11764686654,12380542640,13186867411,14036193724,14927004364,15833946888,16757008049,17603185906,18899010545,20056739027,21530432999,23358639882,25822133933,24533913606,27314172917,30991057879,36498060729,39362831324,45527662536
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,81841322167,87727804609,92189303335,94424870739,98900600193,104186951865,106451448916,107734167207,115969207844,125145404884,131673496019,141148857895,145963408623,146304583153,152406145708,158875531770,164893171481,175411206855,181304186709,185276249776,200012698025,217834913562,236064172970,246838595653,262395442698,266429561887,292301815380,301397708025,321428287172,323458923711,312860356900,294926069667
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,290507716.3,331233904.7,352704817.2,388745279,419346227.4,454888922.3,464979484.1,457466619.3,481989498.4,497570027.5,525404603.3,557664599.1,594432194.5,663134113.2,766521395.8,741255417.5,762469308.7,846490941.2,792541225.6,988782369.2,1000311825,1076709430,1115734285,1034048220,1054852760,1104272987
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
