Trade balance (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Rwanda,2.352940721,1.639344056,-3.519999784,-6.718752,-0.6153846396,-4.838710343,-8.718797883,-4.90097794,-6.399535501,-6.677264187,-3.728968768,-6.657669931,-7.973567988,-1.844261848,-9.170160513,-8.527565063,-4.816553878,-3.392433705,-9.019121824,-1.705315098,-11.94555127,-11.92922437,-12.59793205,-9.177222364,-7.032825715,-9.104881997,-7.57019894,-11.69117614,-10.9837279,-11.14919513,-8.454940564,-10.7387649,-12.69463065,-15.32851507,-58.49045639,-20.67058932,-20.16732577,-17.87278178,-17.62433644,-17.27399505,-16.96345549,-16.09888976,-18.15092932,-17.57202651,-13.63890005,-13.78740245,-14.22610866,-14.57249273,-15.75532409,-17.37515387,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,-16.48079306,-11.35135135,-24.04828227,-30.24691358,-29.07662083,-30.77873918,-44.44444444,-28.02749868,-22.50712251,-15.59402046,-20.54091065,-25.02923977,-28.05843226,-31.39533421,-21.50777522,-7.321216623,-12.78194226,-9.888090335,-23.40128668,-28.97435897,-17.69541779,-16.19354839,-19.93436169,-26.44492312,-22.17474638,-24.09356349,-21.46982863,-10.96897624,-11.51280001,-15.30069725,-17.99732171,-25.94142323,-25.43122723,-17.5116949,
Saint Lucia,,,,,,,,,,,,,,,,,,,,-38.7755102,-27.26112265,-33.66418138,-26.05432695,-7.385659219,-10.65321457,-9.574155354,-7.795275591,-11.46017481,-7.737844854,-21.95747563,-11.60645603,-13.46557887,-8.807601192,-5.934601951,-5.680425287,-1.765299259,-6.160083704,-9.202713565,-6.105344015,-9.119303444,-10.91244408,-12.42304765,-12.80463947,-15.76032893,-6.325558431,-10.7310888,-29.53272604,-29.67650689,-28.2209229,-11.11892587,-13.13509338,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,-43.87227572,-23.87537752,-43.34148662,-50.19345329,-31.09526639,-29.8123185,-24.31080655,-13.84505357,-5.722160247,-7.003733719,-15.69647987,-6.84370044,-17.35115939,-11.00045145,-27.01444727,-9.056400224,-17.84578431,-24.03507912,-14.33495419,-13.28772586,-27.50319099,-28.8138022,-18.91879827,-5.428163587,-7.86725004,-8.164901704,-14.51259122,-17.16655613,-16.79552721,-19.01225741,-28.21899757,-32.06839159,-28.32888838,-29.61585515,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.75110734,-25.22580333,-21.21255472,-20.65984189,-19.97857169,-26.48958047,-23.37541312,-44.57086939,-42.65950874,-22.67592608,-18.50450565,-23.54352951,-26.51920618,-26.62896813,-21.33134911,-23.66557741,-26.83143486,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,23.01843091,23.24760854,31.35163195,38.12499442,45.34619439,81.54644732,50.19997999,51.8721125,35.57102258,24.91310878,7.736184421,20.63818655,36.20683195,32.7882033,11.63856377,-9.230248247,-10.73030045,-6.571304564,-9.083287212,-6.270818152,-3.8790498,-4.331705418,9.026967997,1.930455514,3.139526121,0.9042092149,7.980637076,9.693838004,13.46987369,13.20629954,3.198220061,11.5411317,18.7502562,15.80338503,17.40160289,22.00328591,26.74858938,33.08386398,31.40835337,27.02721251,30.68791245,11.08896821,21.35904461,
Senegal,2.496442278,2.428630092,2.188055646,-0.3874048344,-0.7554529549,0.5637378261,0.4328879341,-1.286484771,-5.335902905,-6.094480095,-2.94727498,-5.314873214,-2.787564492,-7.7275848,-4.123221096,-3.600586999,-5.762748371,-6.198948566,-10.62819915,-7.695217394,-14.45785493,-19.7879177,-14.25313219,-16.59816523,-15.20873791,-11.39834886,-8.09112017,-7.708011629,-7.302574032,-6.444806294,-6.775072063,-7.825017248,-8.392739167,-9.108250782,-7.313211216,-6.46111353,-5.780576536,-6.2372086,-6.565710508,-6.997698685,-9.291674268,-9.038000353,-10.41636873,-12.11538686,-12.93060473,-15.58214062,-17.45272173,-22.33843193,-26.30129659,-18.63729934,-18.22933383,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.403006784,-7.342649608,-10.35918061,-16.63858309,-18.05338195,-20.5250728,-19.5386648,-26.62031309,-20.98693008,-21.55637125,-24.20770046,-26.55163936,-17.65684892,-16.50240234,
Seychelles,,,,,,,,,,,,,,,,,-16.00109409,-4.036511156,-1.243906539,-5.991069214,-11.17953074,-15.5896275,-23.50753976,-8.308993856,3.304933995,5.153954685,7.118934496,11.26871552,6.341623037,2.624928202,-4.260078288,-3.590727741,-3.597154691,-10.17266656,-2.931609336,-7.152301463,-9.40724742,-10.96621431,-15.85605848,-17.61860409,-3.273278666,-21.47237749,-1.208558867,11.15203024,1.9769611,-21.59432551,-18.01768662,-31.4544658,-19.53941604,-8.037548036,,
Sierra Leone,,,,,-0.4392295057,-2.415270744,-3.840417599,-4.23594616,-3.164979052,2.437054982,1.740290658,-1.118757329,-1.261173423,1.235134165,-2.036608542,-9.362768147,-7.386442797,-7.010260188,-4.18521935,-7.180772521,-15.35266076,-16.72341701,-10.17762523,-10.9642345,-1.780545908,-1.786941502,-3.093306288,8.775366238,14.33318838,6.246864418,-1.321326986,-0.8681812378,-0.9128145179,-0.3437979831,3.863012995,-7.864913837,-17.66386701,-1.212611234,-2.840967127,-15.54249162,-21.19791658,-18.23581238,-18.30442923,-17.58649993,-10.91656329,-12.92391821,-7.589043709,-7.020279048,-13.04979603,-13.07643417,-12.43537189,
Singapore,,,,,,-11.07236269,-7.225467986,-7.352164731,-5.483345941,-9.451237521,-19.01633764,-20.38087813,-15.5840243,-9.061769038,-15.03545325,-9.331526056,-6.945093068,-1.467913505,-3.732603315,-5.66728125,-6.945015237,-3.423342443,-1.83989976,0.5865915154,-0.1967141979,0.3015599883,2.642231076,2.978767469,9.587357232,11.02958464,10.06739536,13.28623221,12.16764415,9.906265255,16.27037552,16.76210172,16.64771593,14.73349363,21.71282861,17.23734064,12.85088763,15.57000587,17.45717023,27.87993348,25.66076346,29.40199853,29.80277391,32.26591981,20.93528727,23.62536151,28.05920721,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.714170831,-1.868429659,-3.29218189,-8.99280601,-2.971535812,-3.942220885,-4.566455471,5.31477181,2.212945576,-10.81029004,-9.677260006,-10.85369337,-4.491593853,-2.57663684,-8.084640964,-7.279502429,-1.911538306,-2.779720441,-4.664972524,-4.034257568,-1.104311079,-2.379516246,-0.8320992903,-1.302411102,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.22949571,9.285703413,6.956972626,1.087592716,2.5859706,-1.937943097,-0.9644884232,-0.8631321722,-1.492543581,-4.187814463,-3.470141621,-0.8246765554,1.168492203,-0.2292212977,-1.290852391,-0.4081637839,-0.5173383261,-1.7222349,-3.220503317,1.436075245,0.5646508126,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,-42.39263804,-26.55737705,-33.67149758,-17.95031056,-29.18604651,-38.17438692,-23.11715481,-27.48068006,-38.2808399,-34.64052288,-42.86535587,-28.36534127,-30.19314451,-32.0193502,-22.30891,-21.38817226,-26.9221659,-16.48303217,-6.416630947,-14.54249842,-19.3788355,-10.41284441,-5.269269269,-11.43681436,-20.53453974,-21.09745921,-19.71167756,-20.45990871,-14.62689888,-30.42915505,
Somalia,-4.429800246,-7.085473523,-14.72004668,-10.10428654,-14.45563619,-3.48669683,-7.615317668,-8.602483014,-6.625976563,-7.661456004,-5.225404865,-6.651707748,-4.810501894,-12.96744087,-22.52496618,-14.41851878,-13.81006714,-38.95347492,-30.26523214,-51.22249835,-55.30738155,-43.55101312,-42.08209398,-49.05724936,-46.49080894,-12.97675949,-22.43131479,-24.52415619,-17.36227253,-37.21378954,-27.95465764,,,,,,,,,,,,,,,,,,,,,
South Africa,5.32543231,8.737208133,9.194113614,5.679891338,2.083331999,-1.107011912,2.2058831,0.3556843998,3.104450676,0.5491676858,-3.533734639,-4.19496261,2.532438969,2.598783837,-0.5643198703,-2.46678568,-1.222119502,5.011529676,6.715547061,9.44373709,8.031245435,-2.009525763,-0.4147385071,3.725491073,1.816718514,8.846533895,8.803509013,9.916575724,6.488623127,5.308015697,5.474852852,4.273449975,4.04110369,4.662394238,2.24321839,0.6792559315,1.533447058,1.158035589,1.142341023,2.594007708,2.95549235,4.049186164,3.836096254,2.337849509,-0.2988116074,-0.4703764667,-2.447406448,-2.934282197,-3.029322306,-0.8609042938,-0.1979154507,
Spain,1.465408334,-0.6291455841,-1.815473504,-3.067768192,-2.571870627,-4.952811901,-4.663403657,-3.33249169,-2.031795777,-1.795661576,-0.9127252259,0.782638501,0.1795785605,-0.7590916622,-4.53275173,-3.605970124,-4.190748968,-1.928866018,0.7299376642,0.2709679932,-2.187938624,-1.926239194,-1.658230193,-0.6201624388,2.108063382,1.889203874,1.935170371,0.04118946103,-1.187090588,-3.242654165,-3.268878366,-3.068074988,-2.701031591,-0.6051216293,0.02286642159,0.002459722051,0.5343406738,0.8658103155,-0.221318905,-1.851047174,-3.127900575,-2.525570093,-2.121759832,-2.375311171,-3.994925343,-5.28129649,-6.381897908,-6.719080583,-5.75476692,-2.150270326,-2.16395584,
Sri Lanka,-2.939056405,-0.947888803,-1.408623488,-1.735769359,-2.106223881,0.4082137556,-3.478469473,-2.843864114,-2.967248297,-6.224882428,-3.146955504,-2,-1.574080147,-1.21169311,-7.467081738,-7.468864055,-2.334205211,3.658637075,-4.77440525,-12.04306412,-22.58030574,-16.07670137,-18.90102582,-15.10267185,-5.939666723,-11.95319477,-11.61115259,-10.50410984,-10.76033192,-9.49656796,-7.882306143,-10.1137386,-9.263008397,-9.545504589,-11.80502311,-10.43979083,-8.92728816,-7.061317147,-6.007351771,-7.784068921,-10.60504245,-6.236226514,-6.508471385,-6.029241666,-8.821139436,-8.930226983,-11.0041243,-10.37659612,-13.68606631,-6.492410386,-9.135427977,
Sudan,1.546616245,-1.033525056,-0.4163385664,-1.327321903,-2.397215599,-0.8237395792,0.3676114927,-0.4288394532,-1.72900796,0.2875796673,-0.06153425407,-1.543771572,-0.6419153366,-2.169855343,-8.012332245,-10.61093248,-7.918616869,-7.25350899,-7.295808617,-9.398397387,-12.56521108,-14.03351137,-14.48293319,-10.64233972,-8.009924974,-6.134728616,-3.48189691,-5.611914812,-3.896758869,-4.002448875,-3.044650827,-8.401276963,-9.178133404,-3.005290499,-5.229097387,-4.833534651,-8.296449989,-7.171353314,-8.47094887,-9.1555489,-2.401719521,-7.830970746,-6.192790176,-4.239298521,-3.818307123,-9.893878886,-10.93373455,-3.77024747,0.7530585292,-5.780833777,0.861729111,
Suriname,-8.63079382,-10.6199187,-11.98067633,-11.54545455,-27.18245759,-24.5943022,-0.8182349503,1.335348954,6.119673617,8.138787749,5.887113089,8.756697852,5.858831711,4.094333443,1.220835594,-5.698924731,-0.1978239367,-6.864274571,-2.311352625,-0.319284802,-5.409485895,-13.94747202,-15.40731711,-14.68990493,-5.421516085,-3.160606928,-0.106618266,5.444710925,4.927211646,9.876131295,-2.397630698,-9.950925719,-5.107925523,-1.830029494,-3.461595346,-4.357147261,-7.410906165,-9.601441262,-21.3761037,-6.402130717,-13.47024927,-30.85555673,-20.7977977,-25.81000079,-22.00955339,-14.73437042,,,,,,
Swaziland,13.96930441,7.158463989,2.133772801,5.690059952,7.756159446,13.34661355,-0.5464480874,-10.6741573,3.50877193,10.75697211,9.488139825,12.90983607,8.421985816,14.22077922,22.27171492,16.0412758,8.101265823,-3.252647504,-23.73396354,-36.32170654,-39.44469302,-30.64483929,-35.25783438,-38.30612377,-37.24468651,-36.17071995,-11.00068484,-0.260654846,-3.400489741,-2.779290416,-9.859277875,-11.37731647,-18.7437056,-19.09128409,-9.18642553,-13.73164274,-21.27755791,-14.80103051,-17.60294232,-16.26673505,-13.68812726,-13.03737755,-5.318423459,-0.951858084,-2.540226651,-4.124018743,-2.393046789,-1.290709402,-9.318956187,-13.02060412,-13.39515067,
Sweden,-0.4253534864,0.651749848,0.5123744203,0.4238040404,0.4301857549,-0.6873015706,-0.5187954876,0.1138239162,-0.01935186389,-0.1968495861,-0.0700498558,1.611380151,1.963670934,3.250114046,-0.09178421165,0.3770293464,-1.081314162,-1.069904674,1.574259209,-0.367546106,-1.248702066,0.4047156749,0.05331975377,2.614335455,4.143939737,2.105344858,3.575515188,2.284556165,2.05329176,0.9128153198,0.6871099148,1.770683582,1.816504086,3.718821958,4.443198688,6.78358178,6.613841519,7.490631085,6.686982475,6.500918201,6.354198531,6.708555841,6.749548827,6.828058205,8.181905983,7.82403972,8.096336195,7.460961517,6.751541669,6.590929145,6.045678365,
Switzerland,1.025163218,-1.456284619,-1.990145266,-1.664899373,-1.726036142,0.4943632995,1.3727955,1.758164154,2.812420853,2.592100589,-0.2068163983,,,,,,,,,,-1.757832224,0.5218896451,2.380844531,1.707758666,1.546105398,2.131078743,2.623508656,2.360727817,2.069561374,1.396617849,1.718053606,2.466279699,4.31104609,5.915558473,5.416943993,5.08809421,4.838270938,5.302298652,4.822272597,5.539440811,5.815991407,4.940311446,6.554688899,6.570698701,6.889404531,6.728902671,8.261683823,10.27418227,11.31623892,11.01112251,11.34318432,
Syria,-6.442582659,-4.783675123,-0.6296428246,-1.743129514,-2.499659041,0.00007016879039,-5.332040718,-3.401519783,-3.153788406,-4.579947483,-3.586341117,-5.047847506,-5.62432695,-3.731111186,-9.793562298,-12.75451752,-15.00861144,-22.88969597,-16.66723073,-17.15456121,-17.50206385,-17.62843252,-11.19724695,-13.65010028,-11.77470797,-12.83264223,-11.17134721,-13.4958758,-9.36205861,-4.878670118,0.3883306997,-7.668729378,-11.37502354,-13.03863397,-12.33054272,-6.897149613,-6.262222139,-1.381495159,-0.3665028772,0.3251161042,6.807532079,6.143067447,7.530136657,4.901956221,0.2424835621,-1.236807157,0.781266998,0.8104143034,0.1218075032,-2.070282125,-0.4289434843,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,-13.10651977,-14.40875076,-14.18801213,-11.08624248,-12.84253519,-7.379972565,0.9760137233,-2.870242054,-13.08622102,-11.58182586,-6.349860564,-3.458208632,-6.658399781,-9.094430344,-1.432054241,-2.150628376,-10.3701711,-10.63104803,-10.11274311,-11.59394544,-26.79659683,-33.96898772,-48.06809735,-55.226837,-42.93153868,-45.84967318,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.83348241,-23.37708845,-26.91173959,-29.724503,-23.01098759,-17.43297467,-12.00634243,-9.471412422,-12.62216886,-10.32467712,-6.761035179,-4.277123964,-2.259580084,-4.248421293,-6.414530284,-8.908204259,-13.13511955,-16.85790535,-13.64461112,-11.92424339,-11.68938289,
Thailand,-1.329398453,0.3100539162,-1.971340195,-3.168960088,-1.441641171,-1.170118381,-0.3502477601,-1.990279544,-3.695457719,-3.846318779,-4.409769177,-2.868317445,-0.9994119675,-1.440792457,-2.363896613,-4.615860004,-2.481963179,-5.427509511,-4.219582981,-6.709608734,-6.256169826,-6.273902976,-1.712514224,-7.16208335,-4.266499177,-2.727969282,2.032740216,0.5600375657,-1.389533594,-2.563876699,-7.518506673,-6.542514297,-4.009695733,-4.239067996,-4.843166445,-6.741656763,-6.27459177,1.415627818,15.88791656,12.57171102,8.63307278,6.490307007,6.691742424,6.781697744,4.856460522,-1.119306889,3.48997054,8.388014611,2.563176383,10.54608385,7.362273513,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,-0.4177539336,9.018457362,4.623121356,-4.398007898,-0.5072496658,0.8701548056,7.662351211,10.32228082,12.91903232,13.55003719,10.84728999,6.940687613,0.7998696059,0.1244917523,37.12231859,-10.28726985,0.7775702594,-10.99377537,-12.90322368,-26.23320694,-5.289462836,-6.730400115,-8.518521081,-1.267994186,-2.103250318,-8.700731162,-11.70386646,-9.376662568,-8.936239645,-9.17279969,-11.86137049,-8.090796141,-9.217105213,-7.710716157,-3.705933499,-4.97264104,-10.85835139,-15.8305311,-13.61513783,-10.14014938,-19.97252724,-19.41448649,-17.95225422,-13.56744573,-13.47354935,-16.83482556,-19.67678937,-20.30926808,,,,
Tonga,,,,,,,,,,,,,,,,-29.48821517,-29.69468416,-23.31122111,-39.08308667,-43.72495877,-37.6563402,-41.86991119,-37.03691599,-50.51288503,-36.34699704,-42.10214191,-44.16345654,-33.67884976,-44.01262608,-37.70239474,-31.22536628,-37.65547336,-25.34688749,-27.65534512,-28.91647741,-38.3626567,-38.02517514,-27.94134105,-39.86274559,-29.648309,-31.46182928,-35.97256556,-37.45626475,-34.41077729,-34.9615899,-39.93399471,-35.92312807,-41.70704081,-43.79472884,-49.2097899,-46.53000471,
Trinidad and Tobago,-1.143505218,4.86628339,1.75181864,3.466015896,1.835381608,-4.783400528,5.593616363,8.517064331,9.408356702,4.247942505,1.101176148,-5.14963279,-6.663462208,5.783479124,24.52119445,17.78834329,15.69821566,12.65532031,4.387338504,5.736116928,11.46791944,9.673925326,-7.170085411,-9.884930876,-1.619678416,4.128670119,-4.250364992,1.423120408,4.665424765,7.715711365,16.77399128,7.589285955,8.947750061,4.870604322,13.40932107,14.54233997,10.25312784,-3.489114182,-5.35297335,5.820912157,13.65705761,10.72695938,5.53490851,14.22266075,15.36332811,26.78472815,30.03053014,29.01852832,27.70843144,,,
Tunisia,,6.869308181,5.66298495,5.903967785,5.396269707,4.651162791,7.557182068,6.684210526,10.08311118,9.465445954,-2.752779248,-0.3290966863,0.6088992974,-0.3561191696,3.15932291,-1.872056966,-4.930160372,-8.431041562,-7.774064978,-2.987679671,-5.363649202,-8.467083133,-10.5299309,-8.3555336,-11.36547938,-6.029950273,-7.119713982,-0.9893843416,0.3602521765,-3.315988696,-7.047162921,-4.954775206,-6.929912884,-7.520289381,-2.939837357,-3.905746021,-1.501602304,-2.272548968,-2.939885208,-1.947030769,-3.36250654,-3.918554545,-3.772506778,-3.423203377,-2.506018513,-0.3866638007,-1.883901819,-1.902583094,-3.036725718,-2.907714769,-5.311280179,
Turkey,-1.543569856,-1.786009673,-2.44186942,-2.865106543,-1.063204964,-0.8922910498,-1.605551731,-0.8738697913,-1.410793407,-1.167808,-1.911450512,-2.907628787,-2.527153367,-2.058516818,-5.543767468,-6.799876289,-5.804908222,-6.888857387,-3.141538786,-2.662862958,-6.764864203,-4.667459653,-3.152446374,-4.084906414,-4.066699311,-3.105528927,-2.789454641,-2.176604182,1.101106988,-1.577836734,-4.212789797,-2.793751445,-2.952894177,-5.669482076,0.9784100735,-4.459419745,-6.283998612,-5.806888204,1.15731564,0.15389511,-2.996401235,4.125533509,1.634536895,-1.043451806,-2.634060126,-3.49612734,-4.911143007,-5.160631121,-4.432759367,-1.10538405,-5.522607419,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.91971432,28.95761907,23.32328623,-0.3475044057,-0.2336610083,-0.827980959,-25.85828686,-38.14731369,-27.35559837,14.56279291,4.52645889,15.64310769,5.696417978,2.120394202,17.2499832,38.17039684,36.69408889,23.68261168,-9.68873462,-2.869899302,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,5.513028271,2.774453786,2.65981209,4.410416701,6.801639548,1.218740108,0.2420574887,0.9118541033,1.322537112,1.18605487,3.23441147,-4.139089203,2.610328638,3.397499177,-0.3260426572,-2.265021661,1.781555183,1.354166667,-5.209643229,1.870010869,-6.588409221,-5.982202946,-9.138920781,-4.984377325,-1.632734172,-1.269806655,-2.428167906,-9.796193133,-10.20469567,-10.13882712,-12.12810204,-14.47334124,-15.52996644,-14.11478858,-10.3582962,-9.039161197,-11.46326033,-7.439539608,-10.76582676,-11.52156236,-11.44621475,-12.29381151,-13.85123582,-13.8122768,-10.06632475,-10.63488552,-13.08245902,-13.3272796,-7.697763558,-11.41448837,-10.26667704,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06519499824,-1.077012368,2.170733173,1.990957635,-0.3129362763,-3.166304668,-3.083197461,-2.552780862,-3.05896371,-2.274033901,5.455874395,5.031457635,1.626426368,4.380231168,2.569348854,7.513481092,0.8374636427,-2.847177173,-5.518563791,-7.987819285,-1.674723133,-2.787027673,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.453870726,5.935035953,9.54622894,10.51290789,15.61774479,17.78580921,7.962820762,9.239820906,5.481741127,9.176901952,
United Kingdom,-1.38473423,-0.3446293568,-0.1981734463,-0.398410305,-1.69716801,-0.8815281385,-0.1465128951,-1.038629917,-0.7967667025,0.4111137982,1.045150525,1.577364855,0.08309789162,-2.162537146,-4.633288289,-1.45394892,-0.8522411286,0.9758893065,1.582903784,0.6300046506,2.462861946,3.127060742,2.184866773,1.23304482,0.209752268,1.405082956,-0.3687533567,-0.7217757456,-3.169212765,-3.590126296,-2.11544093,-0.6532879879,-1.07654964,-0.7477881247,-0.427857954,-0.1170107437,0.07547401519,0.5285459384,-0.7816623292,-1.442073227,-1.845470878,-2.346457849,-2.606921538,-2.309465782,-2.714888096,-3.404629863,-3.065715187,-3.033797222,-2.728559772,-1.839288763,-2.50988226,
United States,0.8043456201,0.9074579,0.7005853407,0.8067978722,1.04926409,0.7825821252,0.4881275045,0.4286388154,0.142126127,0.1460662417,0.3805620609,0.0628874315,-0.2775510204,0.2994230629,-0.05383942392,0.9855858076,-0.08844176662,-1.147199046,-1.111599297,-0.8885394142,-0.4697380307,-0.4059539919,-0.6196362735,-1.471384984,-2.633063276,-2.752819729,-2.996610169,-3.083700441,-2.175072601,-1.615897936,-1.349377478,-0.453572091,-0.5238110447,-0.978292242,-1.325554459,-1.235964243,-1.242404304,-1.228123297,-1.851046791,-2.817976562,-3.860063846,-3.625206422,-4.033918151,-4.545864445,-5.237760639,-5.744970071,-5.76850977,-5.095391211,-4.964013178,-2.787574176,-3.543630247,
Uruguay,-4.610519239,-0.3742985262,-2.925548014,0.161016345,0.7541865539,6.953002516,5.637169413,1.439685237,3.001845708,1.279278663,-1.315948351,-1.14862953,0.5482492934,0.9123013537,-2.509033496,-3.49739983,-0.5192885689,-2.762050661,-2.307641071,-4.333978936,-5.598455598,-3.827234,-2.964924287,2.085008029,5.205167173,5.656482936,5.946438097,2.442746045,4.321963071,5.794176408,5.43577463,2.832431856,0.8221060036,-0.4329350651,-0.6152129417,-0.1040492181,-0.1884768601,-2.790701645,-2.800194257,-3.191142806,-3.317540274,-2.700194112,1.214277661,3.105640683,2.747903117,1.930343304,-1.376565706,-1.029473332,-4.80204707,0.5400513042,0.7501763017,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.96338004,-3.862757172,-16.15007215,3.186015904,-3.776650184,-0.1048652885,-6.487970414,-2.963796157,-0.3002207381,-0.2634897071,3.063143379,0.4297736136,1.465738206,6.69991731,7.556094935,9.19307423,5.651493547,3.141892444,2.738595091,-0.05902728292,0.5476149212,
Vanuatu,,,,,,,,,,,,,,,,,,,,,-8.623921694,-2.363792383,-2.531160951,-12.72046993,-4.564716378,-20.34919183,-30.04957117,-28.47202895,-24.60030944,-25.50399618,-25.86020925,-15.13298251,-9.666831527,-9.236016968,-8.357168045,-8.732791824,-7.159285897,1.733558179,-10.15905286,-16.47779833,-8.797841938,-11.85965848,-13.80455668,-4.813518596,-4.979834743,-7.112600661,-6.570714684,-5.362452415,-12.01474897,-7.926173741,-6.332844639,
Venezuela,10.93812854,13.3579547,14.07949585,15.19166569,10.83217065,8.831520205,9.261252821,8.720929262,5.118483301,4.010938038,4.016736804,5.563909817,2.900553547,8.323699348,21.97204971,6.90151048,0.7462707062,-6.815761613,-11.14881372,1.293976487,6.950975018,4.926843553,-2.61610512,8.309454738,8.032699616,6.05242001,-0.4273243764,-1.93453717,-6.661671432,13.03555905,19.26593751,5.126367411,-2.55574088,-0.2228495813,8.564060747,5.291148723,15.18690228,7.272984807,-1.758419971,3.753187316,11.63121777,3.329995113,12.29143045,17.12977144,17.02925153,19.18997573,14.37165166,5.920935544,9.602930045,-2.218662268,11.51571025,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.973615333,-8.795749952,-11.0598906,-10.20574679,-9.238471112,-5.116873703,-4.08569355,-8.766701573,-9.446940344,-9.095555487,-10.96877205,-8.139070349,-7.304641772,-2.854914759,-2.463061298,-2.281760627,-5.168087817,-8.360679011,-7.549206145,-4.181070077,-4.561177338,-15.85202607,-15.20688359,-10.35118398,-10.27540822,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-57.63682624,-52.05738952,-57.1386108,-55.42467797,-54.55721176,-64.01295505,-55.19050942,-54.21334549,-55.57376657,-56.20325544,-54.11975999,-54.14493134,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.956458049,-19.2242182,-19.50095507,-25.63673346,-16.67894946,-19.58371603,-8.926917336,-8.813274719,-20.61887819,-2.325220369,7.378971241,0.901453297,-0.7281091818,-1.504602858,0.918316493,5.020353403,0.4411654383,-7.316680468,-5.570940613,-11.57368351,-4.07601972,
Zambia,15.06712082,12.35125154,9.934047815,14.86781952,24.04697073,14.59102902,13.59322034,6.150793651,6.59193756,31.74418837,16.81928507,-2.12549756,1.599995177,15.83023771,9.524317813,-19.65376782,4.852552684,-2.587592429,-3.358954944,8.976093389,-4.021412549,-12.51219257,-8.800378037,1.423037258,1.839384213,-0.7607564414,-1.707908171,3.791038946,7.139473962,-7.019599134,-0.7055137856,-2.638585497,-11.57109132,-6.83020561,-0.8193097424,-3.749049051,-7.549793059,-3.885062789,-7.666019095,-10.537998,-14.38657675,-16.25172713,-14.04414474,-12.35028566,-4.414770634,-2.075392204,8.39858847,6.359537593,2.439849435,3.447867425,9.077811781,
Zimbabwe,,,,,,,,,,,,,,,,-1.668651435,2.363151687,1.177425738,2.036243387,-0.8611310205,-3.155630649,-6.480190622,-5.294128589,-3.031005743,-0.2438580087,0.1978732436,2.528468078,2.740824888,3.380343045,1.622023037,0.07443937976,-3.284610686,-9.257967383,-1.727831549,-1.919549216,-2.68410563,0.1905253856,-7.014519424,-1.727870707,3.894500019,2.252097993,2.019953203,-3.137753849,-5.657869268,-7.100009742,-8.946411045,-10.9083117,-8.602157105,-26.58793963,-31.93354736,-29.72872566,
