General government expenditure on health as percentage of total expenditure on health,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Kiribati,95.01315952,94.9898654,95.48376283,94.36855109,94.8636219,94.59824883,94.94259147,94.98180988,94.75332863,95.03412414,94.07115813,85.6554557,83.46969153,84.32108442,84.66645872,82.33299333
North Korea,,,,,,,,,,,,,,,,
South Korea,38.47805477,41.72003709,44.36678963,49.01404859,50.17388851,48.63398466,54.92480095,53.70842061,52.43023198,52.58646732,52.91292664,55.31352007,55.81685911,55.94642715,58.17874049,58.96901266
"United Korea (former)
",,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,
Kuwait,81.86547418,79.4474787,79.88443543,78.99564353,79.3783631,75.97356982,81.37635892,79.79884515,80.227525,79.7151385,79.8021354,81.05239147,78.68111403,78.25385218,85.43779912,80.36818649
Kyrgyz Republic,57.62052612,49.7083725,51.76799254,51.37419544,48.48063686,44.27688181,41.14086937,39.54976072,37.89368613,40.82575425,40.8875448,46.16051051,49.15221539,48.40013038,53.03989054,56.18517389
Lao,59.71530878,58.02479414,57.86576186,43.38517585,30.97450641,35.07387251,27.98079903,26.91928411,26.01824396,17.30231127,12.81642552,13.41388019,11.96667862,24.66292934,28.29773463,33.28655124
Latvia,66.27430234,57.76643455,55.77187407,59.23957203,58.3515682,54.38544448,51.20520722,52.13778874,52.81609283,56.58160326,57.06089477,64.09423581,60.73556967,62.46961523,61.64542294,61.14194507
Lebanon,28.32296469,29.63483634,30.24157619,27.53320871,29.06594803,32.59567122,37.33185118,43.53544031,40.55820178,42.99521593,45.63081723,42.59505832,41.61675357,43.36710427,41.90718345,39.16108053
Lesotho,46.55642357,49.00425796,44.804243,47.9368522,48.54984964,51.21049115,58.06874599,55.46190111,58.4085468,57.38683485,53.35118265,60.04805157,66.4032628,70.09880789,74.29623372,76.24468793
Liberia,,,,27.82849158,29.08355709,26.44103065,29.38084582,21.53507007,22.75875546,25.87455463,30.65454451,27.81170981,23.69205994,33,34.5243206,32.53835295
Libya,49.59162538,48.77380125,45.09189491,52.02453133,50.20276066,57.21123664,64.58893481,64.76114226,63.54084361,63.05223779,61.7835652,61.05105066,65.88056358,70.32331493,66.12097418,68.77730999
Liechtenstein,,,,,,,,,,,,,,,,
Lithuania,74.15342087,70.40382572,72.51612903,75.9502924,74.90815577,69.7071693,72.64705882,74.92375472,76.00902037,67.55077728,67.76556681,69.50928508,72.98020023,72.395023,73.42176821,73.48647589
Luxembourg,92.43665505,92.80529605,92.48339684,92.4193908,89.79028221,85.0723376,84.25469279,85.5346188,84.22301447,84.81017976,84.9227518,85.13320542,84.12221108,84.05130391,84.0228897,84.40830867
"Macao, China",,,,,,,,,,,,,,,,
"Macedonia, FYR",58.52457953,58.64057308,60.17196012,63.98586605,59.63974359,57.50226298,58.80188268,58.79297969,58.52464691,59.51620008,61.79680889,65.08261551,64.26284496,68.18869818,66.48717865,63.7515316
Madagascar,53.59962043,59.14484519,61.36271345,60.34318231,61.09312034,66.48592399,69.24170112,67.128256,64.09514596,65.3812917,66.43538604,66.97122262,66.23217749,68.69660177,64.53045544,60.28283328
Malawi,37.92081714,27.09087246,31.01016612,33.73538533,34.94100077,45.83803117,43.77570582,60.3945588,72.13277017,73.14276417,73.91599772,68.88707891,64.33044744,62.44073397,65.15169348,60.18060697
Malaysia,60.18630574,61.57492768,59.25533751,59.22679097,58.94913356,58.96003801,61.01081471,59.81468452,61.66112335,56.9971459,52.03140842,55.8530101,54.69945088,55.20038696,55.71077973,55.51354236
Maldives,61.34269347,57.00448072,55.94888115,55.60606837,57.37480391,58.48520815,58.07471078,58.07423211,52.21617595,56.30118289,64.28571429,65.15837104,65.37236463,69.37932574,60.67092455,60.49286461
Mali,52.26098995,39.58027615,36.11852319,34.45499031,30.08370801,32.89274614,44.93317304,40.19072308,44.11469983,49.23467844,46.51006375,48.20295982,48.02071884,46.49668714,47.23612514,46.57693547
