Ratio of young literate females to males (% ages 15-24),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.712276,,,,,,,100.6543128,,,,,,,,100.6112906,,,,,,100.6112906,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.66541856,,,,,71.05166516,,
Singapore,,,,,,,,,,,,,,,,,,,,,99.74146701,,,,,,,,,,100.2318977,,,,,,,,,,100.1956725,,,,,,,,,100.1154561,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0421538,,,,,,,,,,,,,100.1002004,,,,,100.0891975,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.88888889,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,99.56302058,,,,,,,,,,,,,,,,100.8450772,,,,,,,,,,,101.0788111,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,100.001264,,,,,,,,,,100.0297664,,,,,,,,,,,,,,,,99.97800794,100.0751421,99.91827147,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,98.16336133,,,,,,,,,,,,,,,,,,,,101.1106291,,,,,100.9400804,,101.2879478,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.45543778,,,,100.0844469,,,
Swaziland,,,,,,,,,,,,,,,,,98.54972108,,,,,,,,,,101.4576458,,,,,,,,,,,,,,103.1968609,,,,,,,,,103.2275584,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
