Breast Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Japan,4.08,3.9,3.95,3.88,3.95,4,3.82,3.5,3.99,3.76,3.76,3.82,3.75,3.85,3.78,3.92,4.08,3.98,4.13,3.94,4.34,4.57,4.58,4.79,4.79,4.98,4.97,5.16,5.3,5.32,5.53,5.72,5.48,5.48,5.84,5.81,5.94,5.93,6.21,6.27,6.25,6.6,6.6,6.77,7.05,7.49,7.45,7.84,7.9,7.96,8.1,8.45,8.18
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.69,8.95,,,11.25,10.71,11.94,11.26,11.91,11.69,11.71,,13.19,13.31,13.13,14.3,14.83,14.81,15.18,15.76,14.95,14.99
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,2.66,2.43,2.54,2.81,2.85,2.99,3.4,3.71,3.61,3.81,4.01,3.83,3.74,4.21,4.15,4.2,4.57
Kuwait,,,,,,,,,,,,,,,,,,,,,,,5.63,,,9.79,13.29,5.24,4.06,11.69,12.72,11.14,11.03,11.04,10.29,9.79,14.58,6.51,,,,,,10.69,9.49,14.33,12.66,11.31,13.59,14.32,12.24,13.88,14.31
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07,8.81,,,9.71,10.14,9.2,10.74,8.88,8.67,8.74,10.61,9.04,11.21,10.65,9.43,9.82,8.89,10.31,8.76,9.43,9.65
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.01,15.07,12.37,14.25,14.64,15.13,16.49,17.69,15.45,15.87,17.04,16.92,15.82,18.22,17.3,17.57,18.16,17,17.05,17.75,18.04,17.56,18.45
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.27,15.13,,,16,16.3,17.17,15.85,17.41,16.58,16.43,17.7,19.63,19.42,17.8,19.52,18.81,18.01,17.29,17.65,17.13,17.78
Luxembourg,,,,,,,,,,,,,,,,,,21.96,17.91,24.72,20.93,22.82,21.51,20.32,20.25,24.22,20.11,26.13,18.58,21.53,22.87,27.01,27.67,20.97,26.91,29.82,23.13,24.13,29.05,23.44,27.31,21.75,17.19,26.63,23.78,25.58,16.83,18.22,14.38,16.92,21.86,19.19,17.74
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.29,15.5,13.79,15.9,16.71,15.77,18.08,16.87,17.25,18.13,15.72,17.87
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1
Malta,,,,,,,,,,,,,,,,25.42,,24.62,20.82,26.44,25.84,26.13,25.46,20.45,27.91,23.26,25.21,25.14,28.81,30.26,33.83,26.83,28.72,26.48,28.09,30.67,24.77,23.91,29.46,27.37,24.81,28.53,26.85,32.8,34.33,30.02,27.08,21.43,27.32,22.91,31.22,20.58,18.86
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8
Mauritius,,,,,,,,,,,,2.19,4.09,4.12,4.97,6.76,4.48,6.42,5.99,6.57,8.78,4.99,8.28,5.61,7.24,8.77,4.55,8.96,5.97,6.39,5.43,7.32,6.77,5.5,6.28,6.88,8.07,7.98,7.03,6.71,8.14,4.53,7.39,7.33,10.07,8.91,7.48,8.6,8.23,10.2,10.05,12.85,12.54
Mexico,,,,,,2.58,2.61,3.21,3.68,3.37,3.49,3.68,3.86,4.05,4.16,3.81,3.72,4.02,3.91,3.97,4.54,4.88,4.68,4.74,5.27,5,4.97,5.59,5.34,5.54,5.8,6.07,5.7,6.14,6.13,6.71,6.95,7.54,7.55,7.79,7.7,7.91,8.42,8.67,8.66,8.99,8.9,8.92,9.01,8.92,8.71,8.65,8.97
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.52,11.57,,,13.15,13.51,13.5,13.15,15.74,14.84,15.96,15.76,17.45,18.3,17.82,17.53,13.39,12.21,15.38,14.1,14.58,15.29
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
Netherlands,23.17,24.24,24.4,23.39,23.22,23.03,23.66,22.83,23.95,24.26,24.48,24.84,23.76,24.48,25.49,26.54,25.89,28,26.88,26.99,26.52,27.08,27.34,27.7,27.05,26.64,25.71,25.74,25.49,26.61,25.6,26.6,26.53,26.46,25.54,26.48,26.23,27.13,26.96,26.9,26.69,27.16,26.77,26.6,26.69,25.34,25.6,25.36,24.52,25.28,23.05,22.61,22.99
New Zealand,22.99,23.1,24.13,21.76,21.64,23.65,19.54,23.43,22.78,21.16,20.06,25.68,21.83,22.81,23.91,24.41,22.45,24.92,24.61,23.23,25.56,25.55,22.3,25.28,25.59,23.48,24.72,25.27,23.58,25.62,26.23,24.4,26.41,26.98,24.01,26.44,24.85,28.36,26.69,26.55,27.58,25.14,23.47,23.38,22.19,24.75,24.91,23.09,22.32,22.55,20.88,20.44,19.82
Nicaragua,,,,,,,,,,,,0.43,0.38,0.25,,,,,0.55,0.52,,,,0.13,0.36,0.71,0.06,0.42,,,,,,,,,,,2.37,2.34,3.01,3.8,4.88,3.7,3.85,,4.59,5.09,4.9,4.43,5.22,5.4,5.66
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9
Norway,,19.07,17.24,15.93,18.03,18.57,18.13,16.31,17.79,16.63,17,18.36,15.85,17.54,16.13,18.3,17.82,16.39,19.9,18.93,16.96,17.35,17.7,17.99,17.9,17.37,17.78,18.96,19.36,19.06,17.49,17.86,17.92,16.69,17.8,18.16,19.55,18.41,19.64,18.86,19.11,17.91,18.81,19.35,19.9,18.96,19.72,17.56,17.92,16.23,16.84,16.91,15.99
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
