Annual population growth rate (%),1953,1958,1963,1968,1973,1978,1983,1988,1993,1998,2003,2008,2013,2018,2023,2028,2033,2038,2043,2048
Gabon,0.28,0.419,0.652,1.071,2.345,2.709,2.999,3.139,3.15,2.574,2.089,1.841,1.752,1.645,1.475,1.304,1.137,1.003,0.886,0.769
Gambia,1.5,2.638,2.997,3.081,3.666,3.493,3.529,3.95,3.836,3.646,3.18,2.746,2.517,2.299,2.135,1.979,1.827,1.67,1.513,1.361
Georgia,1.698,1.601,1.473,1.002,0.834,0.661,0.826,0.644,-1.486,-1.322,-1.217,-1.13,-0.653,-0.502,-0.482,-0.567,-0.629,-0.684,-0.761,-0.837
Germany,0.562,0.696,0.847,0.572,0.129,-0.098,-0.155,0.445,0.544,0.111,0.081,-0.086,-0.174,-0.228,-0.292,-0.357,-0.421,-0.478,-0.526,-0.559
Ghana,3.016,3.177,2.913,2.139,2.696,1.952,3.302,2.81,2.833,2.487,2.305,2.093,2.025,1.872,1.726,1.581,1.462,1.357,1.245,1.124
Gibraltar,0.921,0.613,1.532,1.218,0.718,0.954,0.139,0.266,0.394,0.118,1.214,0.232,0.199,0.126,0.023,-0.114,-0.21,-0.246,-0.255,-0.267
Greece,1.03,0.902,0.515,0.558,0.569,1.276,0.596,0.45,0.983,0.5,0.221,0.215,0.138,0.04,-0.018,-0.07,-0.088,-0.109,-0.141,-0.195
Greenland,2.746,4.262,3.665,3.378,1.315,0.249,1.148,0.875,0.023,0.207,0.35,0.036,0.02,-0.077,-0.273,-0.501,-0.328,-0.449,-0.535,-0.626
Grenada,1.099,2.07,1.024,-0.036,-0.426,-0.767,2.309,-0.741,0.812,0.207,0.254,0.356,0.42,0.341,0.122,-0.135,-0.336,-0.469,-0.606,-0.812
Guadeloupe,2.335,3.066,1.753,1.271,0.524,-0.097,1.647,1.693,0.92,1.182,1.192,0.506,0.387,0.313,0.219,0.11,0.008,-0.101,-0.214,-0.321
Guam,1.109,1.345,2.368,2.369,2.196,2.22,2.284,2.284,1.668,1.277,1.659,1.3,1.177,1.085,0.971,0.82,0.654,0.503,0.38,0.304
Guatemala,2.801,2.692,2.693,2.694,2.707,2.452,2.468,2.313,2.321,2.308,2.474,2.465,2.421,2.176,1.933,1.698,1.476,1.27,1.081,0.903
Guinea,1.689,1.83,2.009,2.143,0.982,2.736,2.585,3.09,3.921,2.285,1.904,2.26,2.747,2.569,2.365,2.173,1.998,1.832,1.666,1.502
Guinea-Bissau,1.792,0.941,0.147,0.171,2.827,3.69,1.892,2.132,2.628,2.234,2.436,2.243,2.302,2.217,2.12,1.991,1.862,1.74,1.631,1.52
Guyana,2.781,3.136,2.525,1.903,0.679,1.118,-0.136,-0.569,0.256,-0.068,0.199,-0.063,-0.186,-0.249,-0.34,-0.517,-0.807,-1.116,-1.376,-1.61
Haiti,1.753,1.914,1.995,1.95,1.75,2.022,2.3,2.146,2.013,1.909,1.689,1.589,1.456,1.35,1.246,1.121,0.989,0.854,0.733,0.624
Holy See,0.022,0,-1.159,-5.544,2.356,-0.082,0.57,0.607,0.284,0.153,-0.102,0.051,0,0,-0.231,-0.286,-0.29,-0.027,0.132,0.21
Honduras,2.885,3.069,3.221,2.684,2.875,3.137,3.062,2.918,2.623,2.175,2.022,1.995,1.928,1.714,1.491,1.275,1.072,0.881,0.755,0.637
Hungary,1.017,0.321,0.336,0.359,0.373,0.331,-0.241,-0.409,-0.063,-0.229,-0.271,-0.208,-0.2,-0.22,-0.246,-0.288,-0.33,-0.329,-0.304,-0.284
Iceland,1.996,2.157,1.74,1.222,1.32,0.908,1.128,1.08,0.972,0.992,1.016,2.149,1.39,0.968,0.691,0.437,0.315,0.224,0.147,0.064
India,1.789,1.95,2.059,2.137,2.206,2.299,2.241,2.137,2.007,1.794,1.621,1.431,1.272,1.098,0.916,0.732,0.575,0.477,0.368,0.249
Indonesia,1.667,2.082,2.219,2.346,2.324,2.198,2.043,1.772,1.531,1.39,1.313,1.179,0.98,0.805,0.701,0.613,0.502,0.365,0.225,0.097
Iran,2.421,2.567,2.736,2.925,2.926,3.302,4.158,3.17,1.841,1.456,1.122,1.183,1.133,1.051,0.795,0.633,0.549,0.466,0.333,0.159
Iraq,2.968,2.445,2.832,3.345,3.258,3.09,2.753,2.327,2.968,3.234,2.716,2.165,2.627,2.285,2.105,1.804,1.613,1.423,1.249,1.092
Ireland,-0.326,-0.605,0.294,0.533,1.459,1.361,0.795,-0.137,0.529,1.052,1.92,1.833,1.253,1.035,0.854,0.744,0.699,0.665,0.591,0.48
Isle of Man,-1.06,-1.589,0.905,2.224,1.429,1.319,-0.213,1.744,0.526,1.248,0.916,0.068,0.031,0.001,-0.034,-0.108,-0.215,-0.293,-0.331,-0.349
Israel,6.58,3.802,3.849,2.458,2.949,2.281,1.723,1.91,3.489,2.483,1.903,1.699,1.426,1.199,1.084,1,0.907,0.786,0.655,0.536
Italy,0.749,0.563,0.78,0.717,0.665,0.41,0.203,0.04,0.073,-0.032,0.528,0.489,0.168,-0.065,-0.13,-0.157,-0.166,-0.182,-0.222,-0.282
Jamaica,1.887,1.102,1.552,1.197,1.482,1.162,1.467,0.588,0.845,0.807,0.765,0.461,0.407,0.344,0.22,0.054,-0.122,-0.284,-0.418,-0.549
Japan,1.449,0.909,1.017,1.264,1.328,0.906,0.692,0.374,0.362,0.2,0.117,-0.071,-0.191,-0.341,-0.47,-0.566,-0.639,-0.703,-0.754,-0.787
Jordan,6.85,5.95,4.216,7.661,3.537,2.778,3.915,3.685,5.593,2.402,2.74,3.018,1.444,1.553,1.461,1.265,1.088,0.923,0.796,0.647
Kazakhstan,3.518,4.475,3.502,1.922,1.507,1.078,1.122,0.929,-0.745,-1.256,0.315,0.723,0.669,0.529,0.355,0.255,0.235,0.23,0.172,0.053
Kenya,2.769,2.989,3.183,3.374,3.621,3.75,3.783,3.524,3.195,2.684,2.606,2.636,2.556,2.278,2.023,1.865,1.738,1.592,1.426,1.267
Kiribati,2.066,2.61,2.781,2.939,1.995,2.426,2.688,2.747,1.453,1.679,1.815,1.576,1.489,1.429,1.328,1.169,0.972,0.789,0.658,0.564
Kuwait,5.371,6.669,10.528,9.169,6.038,6.237,4.48,4.396,-4.34,5.121,3.84,2.443,2.038,1.767,1.55,1.381,1.246,1.109,0.946,0.781
Kyrgyzstan,1.786,2.654,3.388,2.829,2.138,1.898,2.022,1.814,0.88,1.52,1.047,1.222,1.145,0.938,0.699,0.511,0.424,0.332,0.201,0.052
Laos,2.504,2.351,2.343,2.4,2.491,1.196,2.428,2.809,2.675,2.332,1.691,1.808,1.759,1.699,1.564,1.357,1.161,1.02,0.906,0.783
LATIN AMERICA AND THE CARIBBEAN,2.711,2.733,2.764,2.548,2.42,2.296,2.065,1.906,1.73,1.554,1.31,1.123,0.989,0.856,0.73,0.598,0.467,0.334,0.214,0.095
