Male contributing family workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Peru,,,,,,,,,,,2.799999952,2.099999905,2.099999905,3.200000048,3.700000048,2.799999952,5.099999905,4.800000191,4.5,4,4.900000095,4.699999809,5.199999809,5.800000191,6.699999809,5.599999905,5.400000095,4.699999809
Philippines,,,,,,,,,,,,,,,,,,,9.899999619,9.699999809,9.600000381,10.19999981,9.800000191,8.399999619,8.199999809,8.899999619,9.300000191,9
Poland,,,,,,,,,,,,,5.5,5.5,4.800000191,4.599999905,4.699999809,4,3.599999905,3.099999905,3.599999905,4,4.300000191,4,4.099999905,3.799999952,3.200000048,2.799999952
Portugal,,,,,,,,,,,,,1.299999952,1.399999976,1.600000024,1.5,1.399999976,1.200000048,1.600000024,1.5,1.5,1.100000024,1,1,0.8999999762,0.8999999762,0.6999999881,0.6999999881
Puerto Rico,,,,,,,,,,,,0.3000000119,0.200000003,0.200000003,0.5,0.3000000119,0.200000003,0.1000000015,0.1000000015,0,0.1000000015,0.200000003,0.200000003,0.1000000015,0.1000000015,0.1000000015,0,0
Qatar,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,
Moldova,,,,,,,,,,,,,,,,,,,,5.300000191,5.5,4.699999809,4.699999809,1.299999952,0.5,0.8000000119,1.600000024,1.299999952
Romania,,,,,,,,,,,0,3.5,6.400000095,7.199999809,7.5,6.800000191,8.100000381,8.899999619,9.5,10,10.60000038,10.39999962,8.100000381,7.800000191,7.699999809,7.800000191,7.400000095,6.5
Russia,,,,,,,,,,,,,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.200000003,0.1000000015,0.1000000015,0.200000003,0.200000003,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015
Rwanda,,,,,,,,,,,,,,,,,32.70000076,,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,0.6999999881,,,,,,,,,,0.5,,,,,,
Saint Lucia,,,,,,,,,,,,,,1.700000048,1.200000048,0.8999999762,1.799999952,1.5,1,0.6000000238,0.5,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,2.099999905,,,,,,,,,,,,,,,,
