Imports of goods and services (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Sri Lanka,32.686461,28.48543696,29.2012937,27.49257553,26.72174145,25.49480455,25.8486266,23.30419387,23.58869086,24.61735785,28.60070258,26.61209964,23.89978356,25.55966094,33.89844769,34.95879896,31.38098864,30.15628863,39.54529474,45.75371753,54.79880349,46.53608611,46.25748201,41.4314027,34.74366813,37.965204,35.32935133,35.69638527,36.83677055,36.75677178,38.06311066,38.8548255,41.03338248,43.34651146,45.6179069,46.03741996,43.90062594,43.59943523,42.25117045,43.26777363,49.6207526,43.56742549,41.42180159,40.6827445,44.15204217,41.26709997,41.13265139,39.49151197,38.52754777,27.82078104,30.82299283,
Sudan,13.01617291,14.34293746,15.04123845,18.03451121,17.93903158,15.04565304,13.94988875,15.53649602,16.84498844,15.40494326,16.40229728,17.18230311,16.66088365,17.01819879,20.72179906,22.70453733,19.13984144,16.62677364,15.21413206,19.35452621,23.14644146,23.65263981,24.4180041,21.23981645,16.46824082,11.88140098,8.222191395,11.13424847,7.692295501,9.343842026,7.066039824,11.7363027,14.42420335,7.235667304,9.919652771,9.80300071,15.75127979,12.5149832,15.17304257,16.93495822,17.7015624,20.65508339,19.5234986,18.93539338,21.44535416,28.12034089,27.45671473,23.72933291,21.60303348,20.83249818,18.90354075,
Suriname,63.39904102,60.87398374,60,60.95454545,74.10012412,74.25171295,59.87726476,57.67195767,51.56391659,53.86592418,54.37993122,54.81249478,55.07649513,56.01048149,73.65708085,68.92473118,61.32542038,62.0124805,57.6478537,58.8761175,74.22317856,72.66183004,67.2567407,58.57288719,48.78204377,39.90265889,32.7104342,25.62126856,24.38625205,27.82201808,44.44501674,44.95204104,33.7716263,22.24295219,26.39925557,27.20735939,30.76036036,34.79364496,52.48560423,33.63413835,33.19901374,54.42704798,39.58868103,45.55461756,48.11526929,45.15660335,,,,,,
Swaziland,34.32457655,34.81616576,45.72370288,53.53829136,46.10605893,52.58964143,73.7704918,84.26966292,72.10526316,54.18326693,60.42446941,54.91803279,58.59929078,56.16883117,59.24276169,56.89493433,67.59493671,68.64599092,86.66441594,99.22167772,114.0460974,105.8295069,101.6446806,100.4363937,92.74845378,92.8436194,79.77199712,82.10712135,80.27076805,86.89133824,68.88053097,70.63650865,76.09287063,76.37686144,72.86510394,73.74735849,80.63239016,76.15179635,84.77671722,81.26663988,88.01479059,98.47804005,101.0298972,101.9008642,87.46962216,91.19089637,79.00911732,76.96011675,68.6800016,72.53210642,68.20627899,
Sweden,23.43322251,21.69138736,21.39248095,21.51853381,21.89269333,22.54387786,21.93691691,20.99226571,21.58395047,23.03915437,24.11028474,22.60981977,22.11818022,24.0335089,32.15751639,27.64600508,28.60175465,28.33671755,26.52438677,30.63060498,30.91911633,29.99172545,32.8427217,33.55633464,32.76296774,33.61785023,29.62636709,30.46798274,30.34726311,31.25456882,29.77861097,26.47191842,26.31304135,29.0271605,31.6302154,32.91723195,31.94698786,34.57998705,36.36258138,36.5976578,40.16858483,39.59472309,37.62169396,36.69401977,37.77543192,40.60724893,43.0106844,44.40924524,46.77731937,41.74481381,43.95982841,
Switzerland,26.74533092,28.64328651,28.85280936,28.28332618,28.29878621,27.01668257,26.76577952,26.13048391,26.71442059,28.72805516,31.64199605,,,,,,,,,,37.72003864,36.3235002,33.23575595,33.85068013,35.72791125,36.54496115,34.11517108,33.57873208,34.61975966,36.83268695,34.66593757,32.92000854,31.78409355,30.63741814,30.76949448,30.82424667,31.68928057,34.85423342,35.76168824,36.50717834,40.66233276,40.99420224,37.80620961,37.47509306,39.43944723,42.27562152,44.23420626,45.96577908,45.06262431,40.68072172,42.21121609,
Syria,27.79958831,22.38276989,21.56340398,21.17077216,19.20809209,17.0400014,22.98975813,19.15312447,20.51822476,21.69024169,21.47136769,22.77630977,24.16388099,26.27297062,34.40673465,34.63150887,34.96502321,41.45846681,31.83836935,36.71141159,36.13011543,33.61638546,25.41863955,27.1957929,24.47138327,25.41347956,22.68270444,29.50305859,26.50757317,29.63318519,27.9508661,32.07398801,37.63151522,40.90391657,45.39252047,37.93686238,38.0882006,33.80223577,30.89567385,31.99164441,28.581951,29.23513222,30.54187099,28.5685692,39.81190159,41.62466248,38.72330052,37.83303084,36.72222497,31.14609982,35.75539709,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28624248,48.74253519,35.17997257,32.22398628,12.54945248,41.64101236,54.61807808,71.93531296,80.04651338,93.89667127,58.00947139,67.50543354,100.9128309,78.362133,76.09221042,73.48960717,69.9080582,52.80186078,57.15659657,68.68683956,71.98404778,56.34229569,61.05344732,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.45463125,33.63914964,39.35357747,47.70761085,43.6249683,41.5076974,31.94350737,25.68951914,25.01989802,22.8543342,20.12594462,21.28368882,19.8403333,22.81101724,26.06580553,29.73102782,35.69757165,41.09960019,38.78709255,35.15211869,37.76289366,
Thailand,17.0073661,16.63445022,17.2175178,17.98143768,18.32128129,17.6233066,17.49280473,19.70387156,20.19709861,19.53419019,19.40298549,18.83963471,19.16519739,20.03602046,23.9613178,22.9805166,22.71284329,25.37794253,24.10897152,29.28967663,30.36761848,30.12128525,24.63042168,27.27329023,26.16788251,25.94159846,23.56905751,28.33397395,34.4015013,37.48540433,41.65043532,42.50682437,40.98217163,42.19864914,43.71485197,48.58554921,45.5262464,46.59414027,42.98994577,45.72594111,58.14456467,59.36628485,57.50258144,58.89893583,65.84057141,74.68700176,70.15691237,65.03645405,73.88140939,57.80558767,63.88838565,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,31.54895704,30.22593594,30.42222034,29.81552547,35.57969248,31.11177112,31.22353317,27.60105155,29.09316118,32.341574,38.78835818,39.87973537,38.48025816,32.99328464,28.88681407,53.69498837,46.527151,52.46282826,76.88171783,76.23510703,56.3515193,52.96367144,58.66666885,46.74434805,53.34607958,57.10948845,55.6886239,50.74586915,52.59476845,48.84127438,45.33526035,41.53357366,36.15164342,32.09457853,34.25449235,37.40955384,44.1403893,44.80554337,43.30148016,39.01483873,50.71330566,51.08372041,51.71843765,47.3735693,46.9966931,57.0237033,62.25932617,61.84473692,,,,
Tonga,,,,,,,,,,,,,,,,70.81808414,56.63048781,57.17725954,67.87251325,69.80312369,67.71855558,67.24516737,64.62503881,69.17065084,62.95502042,72.23074955,69.87580988,64.60557113,66.74918483,62.80569358,65.09554486,60.55877068,48.98885411,47.54943392,46.29802637,55.85140065,58.37526109,51.67165315,59.58027998,45.60354132,46.86277111,49.45168108,55.77683121,53.78181704,54.59188338,57.92431049,50.34935648,53.66460868,57.27846092,63.25249955,59.95907535,
Trinidad and Tobago,61.22186503,64.70885267,64.10478939,60.70357133,64.9050026,69.33555158,36.06028762,33.08668076,33.33113858,39.18763039,41.66818649,47.89949189,46.25990647,38.36674302,32.18928211,35.19744907,40.13792013,36.89597621,39.65916453,39.33803032,38.97942585,36.208178,42.08442998,40.6327117,33.75109937,28.42478627,37.50992277,32.47355649,34.25071975,34.92480557,28.58867339,32.93041562,33.02532904,39.0869863,32.66067553,39.22314581,41.27699522,57.34384661,53.8181045,44.18189561,45.48634389,44.59016274,44.73867472,37.90701727,40.68786902,38.99118015,38.46185026,35.81570252,37.63012797,,,
Tunisia,,13.25245156,13.3569784,11.88237291,13.14922785,14.39554103,13.48581885,14.52631579,10.85149757,12.66981689,24.7485442,24.43259192,24.74004684,26.41361939,32.20700349,32.91604456,34.01448526,38.01268306,38.7374693,41.96783025,45.60090383,49.8390197,47.43984681,42.71978264,44.32817666,38.13316615,37.30238534,35.81571317,41.65762187,47.66160231,50.60421424,45.32039771,46.46500022,47.96562864,47.8721117,48.81009629,43.61097853,41.38662971,41.45967173,39.92607236,42.90907608,46.73537787,44.55734137,42.90665558,44.72726805,45.31895584,47.91251877,52.97076851,58.66620612,47.9570445,54.02428519,
Turkey,3.634346418,6.86001131,8.016554733,7.013214673,5.513313989,5.432907071,5.687317016,4.985740594,5.09142845,4.750570667,6.353689665,8.246185435,8.531995628,9.090934154,11.28055666,11.22758334,10.66593822,10.70500826,7.289335747,5.882581399,11.92696813,12.90497404,15.01655484,16.55819084,19.67341556,18.96630346,16.10198272,17.7574446,17.55286343,17.78075249,17.57789265,16.63488156,17.34512991,19.34328493,20.38372113,24.35102725,27.82665675,30.38860589,20.18032468,19.28599105,23.09427339,23.31534896,23.58277279,24.03808492,26.18561846,25.35150355,27.58104966,27.48387248,28.34067736,24.42181285,26.63940565,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.79199199,38.18418261,61.37343063,85.30257025,84.20659302,75.40931151,68.54660228,70.80663356,83.49496627,80.93883249,76.86493002,53.40619718,56.61285885,59.53189515,47.77677752,34.92061031,38.69974815,40.37563574,60.72214697,54.6030841,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,21.81645212,21.64378691,21.44760057,23.88047938,23.09620368,24.35897436,25.32526475,24.3884788,22.61808367,20.34263807,20.11781705,23.9553492,16.77934272,13.15399803,15.04551012,10.91542663,9.606505128,7.798477564,18.86250135,17.5313519,26.03225107,22.05937336,17.52009185,13.64380301,14.32515675,15.00833152,15.23828002,18.04329188,17.77736699,18.09322782,19.3688229,21.93777155,24.29105525,21.17731156,19.09882803,20.83115353,23.42437361,20.79905329,20.40487434,23.77313626,22.09762404,23.81189414,25.06451499,25.19900163,22.7632055,24.8145855,28.35787241,30.05234812,31.97721213,35.16038964,34.29078796,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.14113413,28.72032981,23.9448567,21.98994825,26.19087792,38.55515311,50.15644637,48.20471207,43.65018893,44.16187969,48.24791536,57.413418,53.83417405,50.70678889,55.18171345,53.69777435,50.64083977,49.47138029,50.36261795,54.9111023,48.04975119,52.97536011,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7053546,43.56831143,46.37697028,53.05488271,51.96768961,50.84530284,64.35569207,69.7850064,69.22517514,68.75998295,
United Kingdom,21.59269242,20.23989077,19.62127351,19.72245438,20.42682017,19.39357059,18.89965343,19.51468154,21.4962822,21.0722491,21.28844157,20.88540827,21.06530585,25.25692427,31.98099901,26.85922683,28.90870164,28.78207759,26.72320094,27.19661861,24.67793674,23.5547977,24.11786894,25.26146865,28.11953454,27.34839312,25.99030192,26.06860835,26.11627761,27.22598111,26.06547977,23.81519517,24.46260931,26.09707183,26.86630485,28.36692278,29.22468998,28.06895796,27.30608586,27.5613083,29.47211974,29.43810106,28.68673794,27.77870903,27.96601712,29.79936091,31.59889718,29.64021807,32.21965729,30.22016653,32.63010902,
United States,4.383788482,4.205006492,4.30221761,4.268963959,4.274414716,4.423647744,4.751777087,4.836034431,5.169415866,5.188080043,5.444964871,5.596981403,6.057142857,6.660337399,8.580658187,7.558211162,8.352219336,9.058402861,9.323374341,9.93512876,10.61607949,10.2390618,9.393685906,9.370098948,10.38611424,9.969413114,10.23502825,10.82593799,10.944507,10.86456974,10.9497809,10.51309289,10.66466511,10.93742879,11.63113266,12.29968385,12.43694443,12.78750076,12.76398581,13.45446726,14.90382673,13.66732135,13.50493853,13.93337662,15.22904091,16.11962129,16.79863829,16.96891747,17.88149879,14.05603669,16.15645851,
Uruguay,18.49485175,14.67179995,14.36166979,11.95782176,11.28885664,11.42305028,11.52875521,13.16224031,12.19276548,12.12468088,15.19859028,11.42798048,14.88928754,9.505591524,16.89137345,20.27804253,20.07844238,22.65871108,21.15448661,21.1670385,20.63142597,19.03134644,17.29079105,23.60386448,21.37545371,21.10004345,20.26865044,19.20594884,17.73592505,17.69969274,18.09634874,17.86123644,19.62546881,19.55895091,20.38202333,19.10086203,19.85845666,20.24854935,19.22010482,18.28879588,20.0156392,19.50485337,19.40739483,24.32677944,29.36439248,28.4736765,31.67407011,30.11996059,35.00507104,27.13743452,26.11962842,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.79897874,39.14293095,43.18400988,30.53364752,20.55223991,28.05142087,34.17525128,30.00419725,22.79676138,18.40914754,21.52485023,27.64584551,29.34573042,30.54925477,32.65164016,28.66117197,31.4927643,36.52842143,40.78537761,36.43805571,30.92624912,
Vanuatu,,,,,,,,,,,,,,,,,,,,,41.77696198,40.73795583,45.29616703,66.94689851,62.2407256,69.08356206,64.81233771,64.24993042,60.11474987,62.90110939,72.9425089,57.78694354,55.27629153,55.23680413,53.67315754,53.38062007,53.11963784,50.40472175,52.4485769,53.85638298,47.97681686,49.81590181,53.4010431,48.46165901,49.05813496,52.14355537,48.45230966,46.0640347,56.40023115,49.48777707,53.64375991,
Venezuela,16.15899697,15.31485002,15.0907289,13.68098318,15.99064008,16.98369663,15.07645898,15.5730904,17.25118543,17.31996421,16.90376472,16.84210501,17.5414354,16.76300534,16.69254585,21.92667066,25.06218647,30.0319486,31.55598724,24.66639543,21.8267277,21.91699075,24.7795391,11.20343931,18.7783731,18.06572879,20.24456853,23.37281198,27.23035154,21.08787237,20.18408598,26.22690035,28.90874778,27.18119483,22.29926969,21.81599812,21.32724649,21.9860258,22.67890645,19.15852158,18.11300189,19.40563645,18.1421401,16.72361797,19.16910204,20.46867701,22.14696995,25.29664651,21.11451563,20.46979221,17.17497161,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,16.59615438,14.79717841,15.00518882,34.05510509,45.2770865,36.03191295,38.83128988,37.48948344,43.46006787,41.90841167,51.83725984,51.24177597,52.15294524,52.82116249,57.49559948,56.89400374,61.96814328,67.65469672,73.28545645,73.54014664,78.16622976,92.74714417,93.12933406,78.65164406,87.80608345,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.25993428,67.55690765,73.80775351,71.26377472,72.23842265,80.41017336,71.17643683,70.29611538,71.16989098,70.23135371,68.73067133,68.1944259,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.16244772,30.24776872,29.93852345,38.2135839,29.18689861,41.95835231,47.43301239,45.09747544,47.1624106,37.16457405,34.0299337,34.99547234,37.72928252,37.94360973,35.46417876,35.87646614,40.81750763,43.22019179,43.4103033,39.79443516,34.33593836,
Zambia,40.11220196,40.00820681,42.62159934,39.79328165,36.4023145,34.65699208,37.89830508,43.4732665,41.84681197,30.95203488,36.82398151,44.5168951,42.22056213,33.31024562,40.86808066,56.25,38.43553272,41.93012324,36.91740153,36.44188789,45.41062612,41.14592132,36.47817976,31.49574305,33.23261196,37.20074962,43.86185337,35.684011,26.16747229,33.8251049,36.58529622,37.25116341,47.96242764,40.39974906,36.82425012,39.76584211,38.87560649,34.00646134,34.56925174,37.75759801,41.49172421,44.31132891,41.76353119,41.05675078,42.63256612,36.65504781,30.09611478,35.24382704,33.53243802,32.16143183,35.02676763,
Zimbabwe,,,,,,,,,,,,,,,,24.4336296,19.59709706,20.21760187,19.98545084,22.66113422,26.52302293,25.90541699,22.21970878,19.47393013,20.80499647,22.00790187,21.52094234,21.27488589,20.36000303,21.72025955,22.7924067,27.16807974,36.48523001,32.44744796,36.51952531,40.92044938,35.9395478,44.60979173,45.12095668,33.51408023,35.90765652,32.93895932,34.97255295,38.05492927,41.56980928,42.49505927,46.86448091,46.38753112,68.05478845,62.74000678,77.99167722,
