High-technology exports (% of manufactured exports),1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Italy,7.207833055,7.243861565,7.79216176,8.197955649,8.553828263,8.579600669,8.377354972,8.130175681,7.895128437,7.614187477,8.094086137,8.283270321,9.476507205,9.564153967,9.190759209,8.025630617,8.037390502,7.980529645,7.334807392,6.264342095,6.404881289,7.468910189,7.228477131,
Jamaica,,,,0.1255145471,0.1261906886,0.07404305483,0.04985742363,0.03440130607,0.0465068667,0.05394550789,0.07917776479,0.03922116531,0.05895290794,0.03137135386,0.1463683708,0.04804378012,0.1243398616,0.08819899945,0.1138188055,0.2045700298,0.4317929419,0.5147835127,0.570252503,
Japan,23.92880376,24.55742254,24.24049873,24.24646944,24.06979251,24.59316053,25.54593896,26.54654339,26.14833413,26.40512611,26.15222665,26.64937047,28.6886683,26.5954976,24.77556106,24.42804961,24.10432464,22.98115444,22.05695574,18.40781336,17.3143381,18.75847112,17.96281036,
Jordan,,0.2134746882,1.591485564,2.813581398,1.05929498,1.553562854,7.876465435,4.33264605,,5.696243594,1.964212438,5.712856656,8.042914801,7.046562232,4.159464089,1.782067813,1.904315152,1.385657772,1.230697848,1.12756016,0.9167813942,1.41337474,2.861993897,
Kazakhstan,,,,,,,,4.46463235,5.172735182,5.454911153,7.740263192,8.840901866,3.578615077,3.238614797,11.24069052,8.728163452,8.796182942,11.29115237,20.85955781,21.44792623,21.92647685,29.94278846,,
Kenya,,,4.03288515,3.031446301,1.577908589,2.353851867,3.399168474,3.585291915,4.038602355,4.430175279,4.498277546,3.278857645,3.879526519,4.93879824,10.56918344,3.598178387,3.204365705,2.899397841,3.241746809,5.509385141,4.150339903,5.310636166,5.699216154,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",15.94320097,17.77896373,18.03506412,19.34141797,19.7675874,20.24822702,22.65468425,26.02948933,24.06843678,26.63634319,27.07512644,32.14623669,35.0654227,29.78401659,31.52977881,32.3161911,32.91734928,32.47640858,32.14585123,30.54460905,27.59875522,28.73409455,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,1.208249521,1.952853063,3.379132273,2.597646289,5.019173401,2.345057733,19.82451144,1.330422584,1.10341032,0.3103030546,0.3697848086,1.365667269,0.1703730328,0.1785724027,0.1532496874,0.1096880777,0.1167529701,,0.3432108928,0.4762855558,0.2992385022,0.5204712888,,
Kyrgyzstan,,,,,,,,7.876929414,15.44400524,,10.76245207,3.482555645,14.78045345,16.03973812,5.714538737,1.961071559,9.293892997,1.842941094,2.876167446,2.153273847,3.045207635,4.941690911,0.977565979,
Laos,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,5.533043829,5.165501237,5.203743587,6.25751733,3.978832389,4.060777075,3.959122402,3.772830006,3.867904265,4.58911383,4.885990508,5.314174985,6.821101055,6.947695298,6.953299326,7.758518211,7.644312054,
Lebanon,,,,,,,,,,3.289137944,3.052723618,2.600095043,2.344914515,2.489227808,2.381632334,2.135764242,2.419247981,2.833775119,2.763760385,2.236435658,2.440315858,4.532909209,12.79651796,
Lesotho,,,,,,,,,,,,,0.2826696256,0.517349169,0.6185864026,0.07537826658,0.04685242808,,,,0.216686282,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,
