Urban population,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,3418044,3567340.683,3726585.465,3891733.615,4064196.493,4244974.26,4437836.051,4639515.952,4848379.919,5061952.298,5278426.976,5516717.645,5759042.307,6006727.185,6261899.076,6526405.814,6809363.915,7102095.692,7406888.861,7726707.526,8063527.732,8421740.565,8797417.714,9186508.471,9582925.142,9981714.653,10382782.92,10784364.3,11186124.11,11588515.52,11991824.52,12379517.82,12765789.09,13150902.48,13535470.5,13919931.91,14213933.95,14505255.04,14793340.11,15077359.86,15356872.42,15631313.45,15901882.81,16170044.84,16437790.32,16706742.41,16981691.09,17258476.51,17538009.11,17821245.83,18108782.27,18408827.1
Mozambique,282906,300724.2592,321849.9901,343832.9877,366698.1654,390474.5011,419214.3158,449145.0544,480300.5795,512705.9704,546405.653,615019.901,686433.3794,761138.6835,839911.8562,923432.3026,1044874.153,1173228.644,1308034.876,1448185.064,1592396.636,1721674.558,1854303.795,1986883.749,2114389.299,2233074.411,2357797.489,2470691.057,2581358.163,2705854.506,2857891.153,3067612.421,3314082.934,3590502.949,3882547.637,4177910.449,4398064.46,4615538.297,4833613.845,5058766.054,5296026.883,5472523.335,5656018.986,5845030.973,6037199.828,6230796.2,6427908.736,6626847.933,6828150.178,7032724.747,7241313.029,7469801.93
Myanmar,4046365,4190430.625,4356590.806,4528401.905,4706794.563,4892572.887,5091249.813,5297724.859,5512884.486,5737829.797,5973271.107,6178715.964,6392780.849,6613580.746,6838424.126,7065213.905,7230131.813,7393460.047,7555524.789,7717096.332,7878702.717,8043895.373,8208598.519,8372790.381,8536467.881,8699560.033,8893297.893,9087456.71,9281251.475,9473642.385,9663929.614,9890795.845,10115488.92,10340430.58,10569168.13,10803794.89,11092797.26,11389140.8,11685130.66,11969786.79,12235227.17,12531605.94,12808457.47,13073240.8,13337797.5,13611473.45,13946443.02,14292531.06,14649393.16,15015091.81,15387973.14,15783113.2
Namibia,107834,113173.8998,118683.0324,124444.553,130463.6072,136749.6939,143469.7419,150463.8465,157810.1593,165618.3618,173963.6471,181482.8998,189492.0924,197792.4118,206096.0645,214195.7545,222160.8928,229991.0285,237781.565,245688.0053,253874.4638,262031.9134,270473.4439,279721.9534,290475.9797,303219.0191,318244.9254,335372.5739,353906.957,372807.3258,391285.3848,411536.8657,431353.6945,451060.0386,471241.1988,492317.5718,515820.6688,540224.7686,565090.4907,589757.9427,613739.9595,637210.8189,659927.3693,682334.1945,705135.8555,728877.2289,754198.0949,780537.4855,807730.9078,835465.5251,863494.234,892203.7276
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,339201,350233.1987,361936.4982,374121.9922,386839.544,400132.2868,413201.7416,426862.5351,441125.4893,455993.7086,471471.0163,503543.1981,536994.432,571857.9598,608157.3763,645919.2327,695780.8272,747698.6832,801733.9157,857949.1848,916410.9894,978246.456,1042538.82,1109360.431,1178783.136,1250893.403,1331750.769,1415762.055,1503173.572,1594304.904,1689437.407,1811146.334,1938219.511,2070793.603,2208955.282,2352761.304,2524194.407,2702455.8,2887486.042,3079143.427,3277245.392,3439171.812,3605396.421,3775334.88,3948207.26,4123393.167,4292619.151,4463431.708,4636188.18,4811547.095,4990031.668,5181305.256
Netherlands,6869005,6977663.896,7101405.27,7221771.596,7343310.719,7469418.532,7590216.547,7699642.505,7803191.676,7917513.343,8039946.287,8176233.956,8299848.147,8409655.742,8516995.762,8634800.443,8745879.889,8841326.812,8939445.923,9045222.356,9161288.01,9280602.797,9379764.141,9472123.049,9566742.552,9668671.954,9779747.211,9899633.227,10021808.62,10140467.08,10269295.13,10474926.17,10679752.79,10880656.45,11073428.23,11255856.86,11431782.15,11615291.46,11812418.04,12017408.25,12230634.73,12431553.31,12620097.33,12789237.34,12943590.98,13083964.57,13189178.51,13302264.79,13438845.23,13593268.66,13748740.07,13879718.72
Netherlands Antilles,93807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,29546,32084.74483,34423.33517,36633.66774,38818.09344,41074.32,43359.84435,45877.11773,48687.01958,51831.52832,55330.56,59098.33146,62911.05918,66630.68494,70144.8733,73369.45,75752.29492,77623.59875,79134.76173,80568.92953,82119.18,83098.944,83794.394,84725.7432,88189.28278,90016.02,90820.884,92663.66715,94637.43818,97528.8888,100022.16,102693.4835,105607.0814,108779.2148,112228.0551,115973.7,119043.16,122529.7777,125263.2,128545.2659,131733.494,134869.5358,138073.3222,141349.8394,144705.4098,148080.1217,150039.8336,151900.4448,152270.5505,152638.7755,152890.53,153770.448
New Zealand,1802719,1852923.99,1914992.064,1968064.348,2024688.79,2073571.044,2122898.506,2173205.257,2204525.82,2236623.664,2279646.342,2323471.788,2374611.955,2431428.668,2492750.375,2552005.194,2578753.804,2590876.791,2595789.677,2589709.948,2597030.212,2608572.773,2636164.086,2673814.975,2698630.104,2716945.983,2723217.188,2753790.046,2768379.01,2788754.374,2821739.116,2965948.85,3001182.153,3039820.745,3084775.76,3134622.422,3187195.176,3231899.798,3263328.11,3283160.078,3305161.629,3327606.36,3388879.095,3459445.344,3514309.875,3557303.628,3602120.418,3640938.39,3677110.931,3718734.965,3764781.532,3799044.48
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,702732,735270.8825,769710.2715,805227.2953,842101.0039,880566.2375,925789.3139,973010.1398,1022348.454,1073927.696,1127854.648,1171246.496,1216287.541,1263026.319,1311512.533,1361752.232,1410823.02,1461354.674,1513109.771,1565776.899,1619084.842,1673078.531,1727714.949,1782513.684,1836863.521,1890401.57,1942630.582,1993845.423,2045413.502,2099261.363,2156701.526,2218290.85,2283365.94,2350441.92,2417337.533,2482392.994,2545240.008,2606124.829,2664983.044,2721948.04,2777193.358,2830523.875,2882091.485,2932589.53,2982966.611,3033993.855,3087186.381,3141272.43,3196747.24,3254157.293,3313839.081,3378479.525
Niger,188013,200549.205,213498.0369,227127.1769,241429.1747,256401.8829,279586.3146,303953.4943,329543.92,356397.9855,384557.8386,419822.6274,456816.7264,495624.6166,536348.3328,579080.7848,617657.931,658038.2083,700165.5155,743923.7066,789242.5629,824918.6931,861700.5827,899722.2534,939168.0361,980235.3054,1019395.168,1060230.192,1103121.197,1148544.119,1196890.269,1241534.321,1288969.5,1339196.192,1392136.337,1447736.635,1506264.876,1567672.586,1631848.569,1698621.898,1767903.063,1842683.052,1920328.92,2001171.222,2085653.573,2174136.671,2275947.814,2382700.027,2494418.008,2611041.843,2732585.64,2871272.124
Nigeria,7313977,7951911.658,8503728.885,9077980.939,9674744.448,10294432.56,10796894.47,11318837.69,11862235.86,12429598.47,13023542.86,13670879.58,14347729.38,15061112.02,15820409.14,16632466.34,17533322.13,18493311.8,19501078.23,20538551.21,21591811.16,22686025.85,23794730.67,24927415.19,26100055.2,27325285.45,28641577.9,30014376.36,31439621.31,32909530.27,34418316.75,35989209.76,37603788.16,39263920.34,40972546.3,42733005.26,44534458.63,46391277.58,48311593.56,50305981.23,52383331.88,54522055.51,56750541.58,59069016.63,61475499.51,63969178.05,66509554.37,69141257.73,71868457.2,74696218.72,77628943.41,80610181.1
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,5119,5451.9718,5716.91135,5969.51787,6240.93151,6555.74163,7010.541844,7518.953364,8073.315744,8655.526724,9250.28586,9855.667432,10501.6795,11151.96906,11751.07977,12269.98528,12528.488,12700.22478,12972.5388,13605.67428,14794.93632,16467.7688,18701.48538,21328.37398,24095.41499,26815.67921,29409.08274,31927.97426,34401.86061,36897.29484,39457.41263,41912.34337,44342.94198,46750.13083,49142.89414,51510.49969,53961.94294,56363.24034,58572.0896,60395.00075,61699.65984,62461.66746,62734.60286,62558.13051,62006.5843,61161.05989,59989.28908,58557.7187,57135.98471,56082.67852,55645.85199,55948.14988
Norway,1786918,1857227.661,1927869.645,1998585.32,2070248.466,2143353.354,2219291.104,2297184.897,2376327.375,2456006.769,2534593.971,2574218.148,2615935.352,2656406.232,2695182.162,2732466.515,2764299.597,2795075.703,2824908.072,2853751.127,2882200.629,2898407.32,2915367.737,2931351.857,2945970.245,2961159.16,2977124.359,2996500.918,3018101.868,3036047.727,3051994.312,3081982.301,3115321.956,3149512.722,3183178.021,3215508.486,3252151.798,3290247.005,3330431.317,3373991.525,3416772.603,3446826.649,3478253.813,3511578.617,3545331.057,3582588.196,3626584.63,3679487.278,3741005.625,3804051.028,3867496.117,3930600.48
Oman,92705,100351.504,109727.3381,119583.9594,129945.9426,140852.9291,154169.3851,168295.5144,183367.7391,199558.1353,217059.695,237838.2928,260373.3157,285091.6988,312553.0618,343262.0292,379054.6222,418728.9006,462421.4146,510148.3869,561867.5039,618247.2591,678915.7452,743164.2371,809892.8376,878203.2243,945354.9999,1012724.627,1081855.356,1155309.829,1234821.716,1308712.068,1388015.528,1467590.066,1539959.931,1599664.98,1618357.458,1623449.08,1620489.471,1617480.434,1620438.817,1632720.613,1651257.379,1676565.563,1708582.312,1746987.756,1797311.092,1854796.258,1916428.682,1978013.25,2036408.528,2090220.273
Pakistan,10133071,10528626.81,10925022.92,11339617.35,11772524.11,12224088.1,12684650.99,13165616.45,13667561.32,14191006.04,14736992.5,15332777.61,15955515.69,16610108.63,17302861.03,18038982.17,18848891.01,19706766.47,20615075.21,21576065.69,22591071.08,23586267.28,24629899.38,25718857.89,26848673.77,28014828.31,29208965.24,30437084.19,31687375.81,32944449.18,34197629.05,35442983.04,36677602.17,37921092.97,39202634.68,40542099.55,41961968.68,43440929.88,44949183.39,46443249.22,47891763.98,49294079.76,50649939.56,51981499.68,53323469.22,54702542.1,56143969.58,57624039.08,59143284.6,60699063.55,62288777.69,64009394.04
Palau,,5654.817536,5826.5263,5989.297188,6142.393422,6283.31832,6409.80791,6521.345796,6627.161164,6736.07312,6855.87915,6993.553376,7145.486226,7295.51196,7421.07213,7507.7464,7544.685392,7542.7761,7531.238404,7550.415724,7628.24774,7864.393768,8167.326924,8517.64072,8880.002004,9229.7124,9482.955932,9718.916524,9952.32483,10207.98205,10500.88777,10823.60443,11177.96411,11555.22851,11941.49374,12324.70474,12587.05156,12838.31344,13067.30804,13261.63582,13413.30636,13874.44781,14299.60319,14695.7323,15080.49938,15466.962,15775.3917,16087.8013,16405.06982,16731.41102,17067.09696,17335.34279
Panama,464159,486586.0426,508567.5315,531440.1484,555274.799,580120.9048,606079.0676,633056.2379,660982.4642,689751.223,719279.2008,743899.5576,768928.5855,794385.2517,820310.3464,846725.4154,873675.9998,901091.6081,928888.5696,956958.6684,985225.0093,1014641.002,1044314.821,1074299.684,1104676.076,1135518.715,1167362.838,1199735.825,1232761.901,1266597.921,1301362.699,1358505.939,1417503.025,1478352.859,1541018.462,1605459.599,1670078.895,1736420.746,1804394.129,1873872.367,1944746.612,2011771.375,2079901.689,2149119.741,2219429.741,2290820.659,2356121.032,2422168.005,2488881.597,2556163.841,2623934.57,2685431.127
Papua New Guinea,76978,81522.73626,90103.67526,99048.825,108402.4546,118211.4589,139906.4301,162646.0194,186555.5536,211790.9748,238503.0161,255877.6041,274335.8259,293802.0638,314125.9346,335184.6835,351039.1702,367282.2826,384009.2393,401377.5259,419505.2793,437361.4563,455945.2254,475148.976,494805.4126,514798.5668,535431.0712,556453.9717,577998.4582,600258.7681,623398.6408,631193.2912,639105.2087,647183.8371,655478.4605,664006.0298,673127.4058,682456.5704,691857.7308,701155.4846,710219.921,721643.4169,732917.7274,744052.7723,755080.0494,766013.5678,783112.4664,800369.8949,817741.6025,835171.747,852619.6291,876882.9292
Paraguay,678907,698621.2531,720056.6077,742208.5848,765095.2055,788718.3539,813813.1559,839731.6827,866266.0461,893129.2072,920141.5902,952817.7705,986021.3421,1020056.586,1055359.189,1092299.465,1135501.475,1180705.827,1228249.235,1278531.432,1331834.884,1392232.579,1456022.318,1522871.893,1592239.971,1663680.511,1740215.606,1818874.368,1899538.684,1982112.108,2066505.188,2150229.608,2235461.769,2322157.565,2410297.28,2499871.728,2588496.707,2678374.712,2769600.266,2862316.38,2956633.564,3051894.205,3148768.329,3247178.324,3347001.779,3448158.124,3547884.253,3648849.938,3751253.629,3855375.668,3961414.29,4066086.788
Peru,4647955,4885741.542,5135213.465,5395962.219,5667011.966,5947670.364,6249056.341,6560955.22,6884270.798,7220336.795,7570233.699,7894057.535,8229658.968,8577137.956,8936488.2,9307584.389,9661331.252,10025181.94,10397827.75,10777487.07,11162798.9,11523681.46,11887970.09,12256533.4,12630830.26,13011808.62,13389587.11,13772945.09,14160556.3,14550574.9,14941551.85,15333024.47,15724368.86,16116231.44,16509784.57,16905610.42,17306082.5,17708053.52,18108540.62,18503510.8,18890039.5,19262149.34,19625800.73,19981938.64,20332254.78,20678446.73,21013875.24,21345605.88,21677735.15,22015589.33,22363036.14,22709594.64
Philippines,8198312,8218076.929,8568106.578,8928739.838,9297523.087,9672771.438,10058171.98,10450641.31,10851987.38,11264887.24,11691514.57,12220755.54,12769796.1,13339288.37,13929679.21,14541492.48,15119736.51,15717619.58,16336196.89,16976699.47,17640028.98,18679154.06,19761085.53,20886354.3,22055202.71,23267589.38,24522299.85,25821312.7,27161275.05,28537216.82,29945369.78,30645178.92,31340326.36,32034772.4,32734426.13,33443425.9,34161993.38,34888148.52,35621047.16,36359236.55,37101052.2,37901801.22,38708405.07,39514117.65,40310095.59,41090515.28,41951713.39,42800603.72,43645602.74,44498924.42,45369513.01,46368983.98
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,14159719,14484238.03,14786183.58,15120254.69,15469829.64,15762095.64,16007078.7,16289650.61,16575360.86,16835673.27,17026266.38,17295263.26,17647419.87,18018892.3,18405181.51,18803602.01,19184970.2,19565456.74,19917664.52,20275891.08,20663600.77,20985308.8,21313812.28,21650364.05,21984087.86,22299553.91,22551430.3,22779072.19,22974139.51,23158203,23350476.13,23450500.25,23539639.16,23616766.05,23683842.97,23733222.12,23768510.31,23801310.92,23827066.11,23842330.37,23732120.67,23585293.58,23554491.87,23518733.29,23485121.11,23454955.88,23401116.67,23349452.93,23313672.87,23290485.39,23271045.6,23271556.77
Portugal,3130085,3155370.254,3212597.478,3260102.641,3296444.496,3317422.033,3327115.291,3340475.822,3360471.955,3364394.984,3368354.445,3388265.914,3417132.454,3452290.359,3535362.762,3708226.131,3852741.27,3931802.044,4012801.865,4094811.235,4178516.589,4264418.177,4340384.344,4410617.229,4477852.109,4540496.217,4597139.177,4648397.807,4696010.854,4741529.58,4783458.905,4839783.548,4904479.099,4974464.852,5049079.689,5126424.87,5206652.904,5290269.66,5376931.011,5466507.112,5562752.526,5664669.656,5772027.74,5878805.514,5979800.714,6073830.868,6155981.483,6232120.996,6302660.04,6370961.949,6436232.571,6492994.992
Puerto Rico,1049310,1102412.905,1159845.027,1220447.256,1280220.274,1336428.8,1388128.962,1435076.857,1480203.418,1529020.907,1585300.68,1635614.472,1693249.739,1755805.883,1818826.588,1879273.92,1935800.083,1989919.162,2042103.543,2093599.274,2145230.78,2184208.968,2222394.859,2260063.325,2297599.261,2335263.04,2378361.39,2421671.611,2465195.849,2508895.261,2552688.27,2677388.739,2801994.303,2933867.351,3070431.519,3209124.475,3301318.162,3388652.457,3465023.643,3539539.846,3606623.314,3637198.934,3664765.044,3689947.236,3713594.757,3731101.43,3723972.681,3710815.455,3697645.843,3686024.439,3676309.33,3664663.549
Qatar,38340,43754.30804,48079.60965,52981.68797,58250.92303,63745.23155,69262.18372,75004.50714,81169.81901,88040.6462,95806.97182,104600.9555,114485.8177,124927.8668,135167.9596,144774.9702,153214.0457,160947.5143,169615.8883,181476.9918,198023.0462,219962.857,246307.9082,275290.6562,304368.115,331573.406,358147.4576,382985.3612,405302.9081,424297.4331,439547.6949,450224.183,457304.5924,462491.0874,468169.3601,476292.4226,488136.2717,505114.2636,525699.2904,547351.0171,569156.5963,587009.715,603988.4935,633854.483,695274.9532,800042.6471,955738.3951,1153819.92,1370548.4,1572421.252,1735137.234,1847091.857
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,6293826,6477006.897,6649636.215,6823957.911,6999963.105,7174333.205,7344414.006,7568698.337,7775433.233,7962557.624,8164757.97,8352698.111,8536652.835,8714773.606,8901462.884,9120254.535,9370391.844,9600225.458,9828636.297,10033985.64,10247190.24,10486757.5,10694449.53,10890642.97,11084826.45,11296021.52,11511059.22,11720595.19,11940779.19,12160182.36,12347320.53,12265917.93,12180763.9,12189326.7,12196713,12197105.14,12127405.18,12058033.26,11998665.09,11945462.3,11895672.35,11720117.51,11535425.07,11492567.17,11451877.15,11414726.83,11391379.59,11371146.76,11354889.69,11338644.47,11317549.49,11298369.12
Russia,64504586,66218562.01,68047369.13,69908771.45,71803268.98,73731368.85,75247965.57,76779474.06,78326015.14,79887710.53,81464682.84,82971229.27,84492418.51,86028369.22,87579200.91,89145034,90672343.95,92216765.96,93778465.43,95357609.27,96960865.1,98218150.61,99448920.95,100661064.1,102046402.1,103466989.3,104638389.8,105799933.5,106920120,107983755.6,108837430.5,109074559.1,109115720,108985164.2,108843616.7,108694014.5,108392558.6,108066928.1,107763343.6,107324089.1,107313250.5,106931419.5,106333219.4,105699303.6,105030328.1,104399295,104131020,104043914.8,104139062.4,104314635.2,104526918.4,104778970.9
Rwanda,69298,70644.1087,74973.52421,79500.37743,84233.48988,89183.1213,94717.51874,100512.59,106586.5881,112961.0438,119657.6102,129651.5115,140185.7259,151304.0892,163058.6668,175496.9676,187910.6973,201026.6794,214842.4515,229337.0874,244497.1437,255839.7028,267169.8902,279063.3754,292365.8545,307511.467,325998.3242,346990.4807,366937.8977,380767.3025,385052.5781,411694.3399,423760.9263,427457.2232,435958.8503,461992.8856,544956.4217,660329.9005,804184.1857,961233.7918,1115303.936,1228408.43,1328702.202,1420109.671,1512324.65,1613890.899,1679928.252,1752498.372,1830908.901,1913339.566,1998375.341,2092204.496
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,14076,14293.43269,14483.65275,14669.17143,14850.05903,15026.385,15099.10347,15165.57475,15225.98131,15280.50137,15329.309,15305.9172,15315.9576,15290.6166,15264.2124,15271.772,15240.734,15469.33953,15567.5862,15600.70746,15931.608,16000.0045,16065.01255,15866.45426,15445.72094,15065.67764,14960.3481,14855.56126,14751.31464,14647.60579,14544.43225,14391.8236,14243.49288,14099.33654,13959.25449,13823.15,13702.73012,13582.79748,13304.21864,13931.17804,14516.06508,15049.70818,15179.8158,15114.4218,15639.58374,15773.71494,15964.62474,16157.10374,16350.1871,16543.87235,16737.1988,16989.26444
St. Lucia,18585,19052.6,19570.48,20095.08,20626.4,21164.44,21741.0206,22325.0832,22916.6278,23515.6544,24241.698,24842.2368,25425.5922,26065.0368,26687.298,27316.8,27963.864,28644.168,29306.508,29976.352,30653.7,31482.6884,32349.2808,33144.8278,33977.4256,34847.904,35739.7894,36614.019,37527.2944,38422.3436,39357.009,39982.912,40390.14659,41272.30037,42164.31412,43049.352,43047.10627,43317.53105,43479.84918,43475.81577,43611.80172,42604.71592,41387.62891,40209.28956,39080.6458,37935.5805,36826.76748,35656.34513,34457.27998,33229.14386,31887.24,31059.776
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,11251,21689.95891,22354.89186,23001.49443,23642.79055,24289.09196,24962.86267,25641.7808,26330.42504,27034.28914,27757.37595,28522.97573,29310.58607,30116.92157,30935.5083,31760.10975,32609.40186,33463.97913,34321.1508,35178.07799,36031.415,36895.63982,37751.95578,38602.59318,39451.85996,40301.26004,41169.74098,42036.38611,42890.70283,43713.46762,44493.55641,45045.03816,45552.0933,46020.64972,46462.92136,46888.1406,47261.92919,47621.3305,47979.33685,48352.06351,48751.62726,49191.75006,49663.3452,50155.11623,50652.1187,51139.86365,51629.31036,52109.9586,52580.1248,53038.07991,53483.51694,53925.47547
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,20774,21528.133,22262.07352,23003.22365,23749.8778,24498.95231,25427.25648,26360.3551,27278.41163,28155.93056,28973.30962,29600.49062,30156.56438,30655.65694,31119.99751,31566.30016,31862.76977,32142.79989,32401.44834,32629.08953,32821.53768,32929.87059,33010.92738,33081.00282,33160.85921,33266.828,33396.572,33557.48,33747.644,33961.976,34197.296,34556.80061,34937.06216,35339.54043,35766.9985,36219.00182,36740.83898,37284.21502,37826.47354,38338.88869,38800.17373,38771.37654,38684.41819,38554.00946,38401.3169,38242.68666,37942.7834,37636.73074,37332.66006,37038.34706,36759.00318,36562.6094
San Marino,,7893.063144,8276.285568,8673.22938,9078.328512,9487.16478,9896.807808,10309.40992,10714.2719,11095.21958,11443.328,11991.78103,12504.65472,13004.64436,13528.64968,14106.65256,14677.86799,15312.50816,15994.61893,16691.94806,17381.80938,17939.31601,18483.6945,19020.68085,19560.80685,20109.15816,20440.31625,20771.92718,21109.33904,21457.10135,21817.136,22157.35738,22516.40806,22878.93523,23223.92947,23537.48192,23830.21222,24088.47229,24360.99322,24714.94525,25197.9648,25768.07399,26463.16372,27210.53836,27909.9091,28488.69719,28887.87793,29161.15329,29345.15078,29500.97925,29670.02526,29867.33178
Sao Tome and Principe,10344,11121.149,11848.38698,12546.60134,13290.64465,14148.43899,15415.3194,16846.34759,18417.18824,20064.89529,21734.1034,22556.65695,23350.54694,24150.60711,25014.60428,25983.21236,27030.09812,28179.59696,29385.18352,30576.91356,31703.43616,33267.57483,34779.87418,36280.87996,37840.80504,39514.64748,41545.1711,43710.3108,45984.0282,48320.54084,50682.74816,52909.20835,55150.54402,57428.38779,59775.45587,62216.06985,64713.9321,67305.93926,69965.80698,72651.46265,75333.1824,77945.31234,80552.776,83172.78169,85832.39095,88555.86306,91147.1552,93801.31849,96553.80504,99451.05425,102526.2924,105581.539
Saudi Arabia,1275391,1366041.774,1477184.286,1596241.917,1722568.964,1855884.824,2020187.501,2195006.676,2382635.158,2586258.251,2809099.73,3050817.056,3315971.27,3607778.548,3929807.43,4285522.827,4642102.165,5031299.678,5458789.494,5931870.654,6455251.435,7018069.252,7630023.124,8277708.075,8941211.496,9604281.379,10179605.22,10739315.55,11285575.68,11824382.8,12359770.96,12835784.96,13307403.71,13761045.42,14177781.81,14547534.46,14823574.51,15053161.95,15285311.76,15587250.49,16005751.98,16560606.53,17234932.67,17985109.6,18745766.84,19468255.33,20137142.03,20765755.14,21362967.41,21946737.63,22530486.91,23109122.99
Senegal,708855,741053.1296,783041.1344,827223.8443,873958.9701,923545.1048,978225.1148,1035986.844,1096955.126,1161241.328,1228873.5,1300559.388,1375865.579,1453826.246,1533012.984,1612390.644,1675463,1737785.398,1800754.311,1866462.507,1936558.698,2008333.25,2084709.663,2165663.438,2250906.227,2340201.999,2428114.796,2519955.091,2615547.408,2714639.661,2816971.897,2913294.219,3012329.048,3113159.266,3214585.946,3315847.325,3416553.527,3517146.575,3619116.252,3724584.27,3835140.024,3952350.123,4074969.613,4202657.631,4334720.75,4470637.289,4618295.764,4770406.716,4926970.266,5088006.871,5253498.755,5433846.298
Serbia,,2002595.98,2083741.632,2164122.576,2244248.16,2323683.88,2415584.464,2505613.44,2595005.88,2683242.42,2770951.68,2834710.704,2898613.728,2962222.704,3025921.536,3089258.64,3154797.624,3217848.816,3279184.236,3339168.768,3397268.52,3449619.25,3498585.6,3544536.84,3587380.78,3627508.64,3673905.504,3715648.844,3753606.984,3789180.906,3822812.98,3848268.214,3894736.828,3942553.223,3981622.12,4004848.174,4008262.058,3996304.798,3972173.131,3976400.306,3982235.274,3997183.807,4017151.604,4028462.827,4040747.242,4050233.79,4058056.375,4065257.003,4071507.919,4078641.204,4085610.334,4093679.19
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,11551,12336.15156,13147.92991,13978.66115,14838.19813,15733.425,16709.50481,17718.80471,18761.03525,19835.3838,20940.448,22212.35866,23518.75475,24853.69451,26208.23889,27574.536,28461.67744,29331.34454,30178.46707,30999.33626,31791.704,32141.21581,32453.49971,32733.2355,32987.14224,33222.808,33454.77605,33685.67637,33926.40236,34189.18657,34487.6,34909.51957,35405.14502,35977.45942,36629.9409,37366.59784,38037.93726,38607.38699,39492.69986,40401.36122,40890.024,41121.50482,42588.234,42329.844,42375.3,42780.545,43933.626,44435.69481,45724.07348,46188.49882,46061.58375,46116.296
Sierra Leone,392123,398760.8803,418049.6701,437977.3884,458584.087,479906.6107,503612.4642,528169.4688,553568.4801,579778.6781,606790.782,635543.228,665206.1044,695925.5141,727902.8652,761313.0835,790419.1533,820864.3493,852660.1671,885784.6684,920227.6286,956301.9582,993227.2148,1031780.238,1073096.924,1117772.422,1159676.851,1204799.868,1249174.22,1287253.295,1315191.211,1330783.156,1336556.752,1336493.055,1336572.212,1341660.61,1352597.252,1369021.269,1394179.179,1431836.96,1484353.811,1554300.997,1640070.537,1735378.118,1831091.164,1920324.484,2002321.724,2076720.751,2145561.814,2212692.587,2281063.295,2354361.109
Singapore,1646000,1702000,1750000,1795000,1842000,1887000,1934000,1978000,2012000,2043000,2075000,2113000,2152000,2193000,2230000,2263000,2293000,2325000,2354000,2384000,2414000,2533000,2647000,2681000,2732000,2736000,2733000,2775000,2846000,2931000,3047000,3135100,3230700,3313500,3419000,3524500,3670700,3796000,3927200,3958700,4027900,4138000,4176000,4114800,4166700,4265800,4401400,4588600,4839400,4987600,5076700,5183700
Slovak Republic,1388542,1432703.397,1478941.132,1524886.202,1572001.82,1619143.233,1669630.291,1719618.054,1768967.242,1818929.099,1863258.217,1918549.306,1982844.832,2050451.158,2120506.832,2192167.8,2267026.927,2343257.491,2419907.697,2497233.65,2571476.87,2615678.049,2661671.387,2706932.519,2751630.926,2796439.432,2837861.145,2877889.297,2917493.667,2956004.784,2993563.728,2996371.717,2997832.712,3009787.832,3022163.295,3031513.375,3034670.105,3037005.151,3037803.73,3037624.707,3030238.918,3017490.598,3010388.69,3003488.384,2997856.493,2993179.366,2987767.908,2983173.221,2980435.022,2979129.945,2977540.486,2980108.16
