Urban population growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
St. Vincent and the Grenadines,1.948671596,3.231081958,3.019574186,2.851401658,2.749904028,2.69691298,2.736186804,2.683385671,2.650203233,2.638091217,2.63955766,2.720832359,2.723882176,2.713844211,2.681746762,2.630643203,2.638955543,2.586896308,2.529219504,2.466129869,2.39680926,2.37021853,2.294390098,2.228217195,2.176173851,2.130154141,2.132080937,2.083203489,2.011950597,1.900115286,1.768814086,1.231845834,1.119374149,1.023362389,0.9564401814,0.911017336,0.7940313857,0.7575688864,0.7489655448,0.773846365,0.8229676956,0.8987351111,0.9541212183,0.9853387836,0.9860532239,0.9583243701,0.9525237803,0.9266532996,0.8982118377,0.8671951606,0.8363367421,0.8229497631
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,4.688658271,3.426860378,3.352390015,3.274987325,3.19430204,3.105296857,3.719133466,3.60394922,3.423442601,3.166240277,2.861703885,2.141588806,1.861168719,1.641458757,1.50334082,1.42394816,0.93481354,0.8750235713,0.8014651703,0.7001083592,0.5880729179,0.3295230106,0.2458472731,0.212054549,0.2411056279,0.3190503248,0.3892515648,0.4806529403,0.5650818087,0.6330938377,0.6905030764,1.045778804,1.094385409,1.145424388,1.202317592,1.255825473,1.430502181,1.46811323,1.443916826,1.345553596,1.19599726,-0.07424678564,-0.224536808,-0.3376787019,-0.3968347913,-0.4139409768,-0.7873018539,-0.809887008,-0.8111906584,-0.7914765385,-0.7570602827,-0.5357062911
San Marino,,4.752918628,4.740997415,4.68469341,4.564889214,4.404971821,4.227245222,4.084480152,3.851961249,3.493767157,3.089250565,4.681464839,4.187945147,3.920559953,3.950308316,4.18368636,3.969428161,4.232924098,4.358232708,4.267410275,4.049777014,3.157050793,2.989423569,2.863788794,2.800106075,2.764742739,1.633389608,1.609318326,1.611313079,1.634010476,1.664006002,1.547388672,1.607468795,1.597233764,1.496656149,1.341093599,1.236007097,1.077920094,1.124981666,1.4424917,1.935509793,2.237305422,2.661743395,2.785062052,2.537745274,2.0525628,1.391463955,0.9415398434,0.6289855411,0.5296145529,0.5713827957,0.6628014817
Sao Tome and Principe,2.985302467,7.408066337,6.334312766,5.725808086,5.76105586,6.254392133,8.575748193,8.877209186,8.915049899,8.568741311,7.991082699,3.714761857,3.459017685,3.368911135,3.515030643,3.799082567,3.950033945,4.164721341,4.189238152,3.975467998,3.617980584,4.815812267,4.445569731,4.225198854,4.209713916,4.328340654,5.010986999,5.080272387,5.071010385,4.956262329,4.772883327,4.299181493,4.148921538,4.047213178,4.005639798,4.001818431,3.936318814,3.92719711,3.875816771,3.766687159,3.624718442,3.408674988,3.29051151,3.200757913,3.1476301,3.123712172,2.884171665,2.870362177,2.892150583,2.95651879,3.045367047,2.93642594
Saudi Arabia,6.232585632,7.847154163,7.822042435,7.751429798,7.616469583,7.454481607,8.482875317,8.299475862,8.202199621,8.200505598,8.265191089,8.254539093,8.334113107,8.434164925,8.549820228,8.665213315,7.992475859,8.051101967,8.154872469,8.311255847,8.455435627,8.35941694,8.360273109,8.147525158,7.710496649,7.153788197,5.817725425,5.352512731,4.96140643,4.663831651,4.428318262,3.779004912,3.608357977,3.352125509,2.983427294,2.574544848,1.879725902,1.536928016,1.53042862,1.956095228,2.649485231,3.407861804,3.991151882,4.260587769,4.142378732,3.781724874,3.378076513,3.073927031,2.835368578,2.695957272,2.625086497,2.535810821
Senegal,5.384166788,5.557168235,5.511290636,5.489009967,5.495810097,5.518621004,5.752018263,5.736990166,5.718382931,5.695126893,5.660835292,5.669657398,5.628857504,5.511582639,5.303619776,5.048288077,3.837159522,3.652199754,3.559409593,3.583929317,3.686759918,3.639261816,3.732444621,3.809715709,3.860615002,3.890434728,3.687790234,3.712592819,3.723232912,3.71858137,3.700328947,3.362196247,3.342907458,3.292450192,3.206050974,3.101463296,2.991910792,2.901772641,2.857983808,2.872537352,2.925070602,3.010442351,3.055292009,3.085380469,3.094009607,3.087377803,3.249478618,3.240581189,3.229268182,3.216192797,3.200810758,3.375294137
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8836657873,0.6636698817,1.200287778,1.220242904,0.9860764703,0.581636662,0.08520746554,-0.2987611744,-0.605680057,0.1063631125,0.1466324096,0.374677661,0.4983030355,0.2811775258,0.3044765167,0.234496959,0.1929528191,0.1772830778,0.1536462501,0.1750467898,0.1707231001,0.1972997462
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,6.674595172,6.37302216,6.12676388,5.96728469,5.858261976,6.019027742,5.864878085,5.71556374,5.56852778,5.421519602,5.896623084,5.714934679,5.52082367,5.306740859,5.081891556,3.166579303,3.009819268,2.847193533,2.683713395,2.523958209,1.093381287,0.9669098452,0.8582651178,0.7726918848,0.7118771411,0.6957930139,0.687815527,0.7120828571,0.7715869876,0.8690427279,1.215971979,1.40975901,1.603546625,1.797334822,1.991123599,1.780681107,1.485962051,2.267221019,2.274763671,1.202264335,0.5645094977,3.504680165,-0.6085648746,0.1073276125,0.9517797849,2.659655182,1.136308863,2.858184758,1.010589261,-0.2751545506,0.1187101647
Sierra Leone,4.495804334,4.798887892,4.723831379,4.656703085,4.59763864,4.544785315,4.821552809,4.761014395,4.696827048,4.626097482,4.553761497,4.62960541,4.561681384,4.514571054,4.49249777,4.487707155,3.751869468,3.779449098,3.800320125,3.811281229,3.814717865,3.845265728,3.788573536,3.808152154,3.926309217,4.078900702,3.680359335,3.81720787,3.616924097,3.00280104,2.147134342,1.178554467,0.4329111448,-0.004765891592,0.005922551387,0.3799822248,0.811852641,1.206944762,1.820975819,2.665236746,3.602132583,4.604639128,5.371332665,5.648607353,5.368672847,4.758212046,4.18131952,3.648271839,3.261134844,3.080870338,3.043155258,3.162770758
Singapore,6.332336547,3.34559279,2.781175778,2.5389234,2.584691589,2.413632855,2.460213064,2.249583617,1.704301904,1.52900636,1.554183785,1.814758495,1.828890367,1.887282714,1.673111604,1.468978118,1.316963722,1.385903516,1.23959698,1.266374037,1.250537347,4.811924834,4.402255223,1.276293601,1.884408245,0.1463058052,-0.1097092814,1.525084025,2.526375247,2.942916206,3.881383827,2.85035715,3.003776052,2.530620053,3.134307811,3.039047157,4.064379734,3.356550117,3.397882301,0.798898478,1.732945979,2.696743099,0.9141271257,-1.476362031,1.253412533,2.350538102,3.129293551,4.165229452,5.321577945,3.016408604,1.770661207,2.08576428
Slovak Republic,2.552734821,5.108826808,3.176323304,3.059340541,3.043006601,2.954728902,3.070507867,2.949998545,2.829369263,2.785202339,2.40787641,2.924264555,3.296326701,3.352724841,3.359528593,3.323578542,3.357833223,3.307280211,3.218734618,3.145418163,2.929681199,1.70429647,1.74309103,1.68618158,1.637771789,1.615317642,1.470367399,1.400649199,1.366777222,1.311370679,1.26259386,0.09375689102,0.04874691754,0.3979990388,0.4103309325,0.3089060601,0.1040763356,0.07691603219,0.02629149138,-0.005893344903,-0.2434396442,-0.4215908836,-0.2356354823,-0.2294795578,-0.187687696,-0.1561375458,-0.180956578,-0.1539016414,-0.09183027713,-0.04379774242,-0.05336737079,0.08619758068
Slovenia,3.774518098,3.590933695,3.506803244,3.656435983,3.683440311,3.716616499,3.986088847,3.831399001,3.479024931,3.074221758,3.106868486,3.63745711,3.577803515,3.528277305,3.167521181,3.544868056,4.117358433,3.78179348,3.597782048,3.51827088,3.378262869,0.9109122666,0.8321935828,1.254460758,1.135221659,1.110931198,1.567113022,1.52509237,0.592150479,0.3769790728,0.4087160623,0.1570823353,-0.05314290148,-0.1448314225,-0.02231232122,0.1148561518,-0.008812618936,-0.08075967488,-0.1644518043,0.1250679122,0.3496832738,0.0459138106,0.0122058598,-0.05153773314,-0.04789351976,0.06112369274,0.1168057683,0.356488929,-0.04498982724,0.7003314036,0.2321202058,0.1073931245
Solomon Islands,6.8154316,7.952367399,7.733583267,7.528382126,7.33622052,7.16186469,7.504088524,7.317216379,7.20654841,7.180776672,7.2054077,4.027318241,4.158892338,4.223637262,4.2062741,4.135774571,6.726606896,6.559418997,6.40558649,6.270118334,6.14665853,6.77596521,6.61264903,6.436575611,6.245835823,6.050724669,4.896484301,4.772951958,4.685355933,4.640671761,4.625381138,4.250186918,4.248661061,4.231820171,4.194343904,4.144939318,4.308237755,4.260799511,4.228975364,4.216455515,4.216047402,5.273137901,5.224140539,5.172086158,5.114909183,5.052563627,5.203681577,5.130627987,5.048877264,4.956796606,4.858206429,4.839730306
Somalia,5.081528139,5.307717987,5.24306959,5.190294407,5.150122084,5.119055405,5.294827158,5.427219654,5.332309354,4.950233086,4.464621769,3.714642819,3.128073772,3.73596131,5.86898201,8.681990402,10.32518365,11.8958584,11.5170507,9.344662602,6.407556655,3.457823829,1.117757527,-0.3730464203,-0.6260985019,0.05907094587,1.261710912,1.962407777,2.308572975,2.094505693,1.519700672,0.9695883334,0.5354252767,0.4674950074,0.9254141028,1.753128439,2.732131192,3.496644225,3.978394013,4.079869199,3.924519734,3.783568007,3.657157279,3.536765277,3.445793097,3.380394368,3.423453969,3.342133972,3.313848426,3.352190332,3.43599487,3.649466652
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,3.405637612,3.404251717,3.067559739,2.817654915,2.63871054,2.517687253,2.414766854,2.377794878,2.369229462,2.381212845,2.406594632,2.431989309,2.416719747,2.389450227,2.356919699,2.325157836,2.291912047,2.235915907,2.238894357,2.327913638,2.461020439,2.821595315,2.895446217,2.950398432,2.980589741,2.981094937,3.638697682,3.558223678,3.437745683,3.274486344,3.065626782,2.998152126,3.014683765,3.031375337,3.04822247,3.06522095,3.1041,3.159410972,3.214854232,3.270426381,3.326124137,2.874479175,2.200087793,2.087181867,1.989793048,1.938628719,1.891795307,1.86074171,1.86232644,1.827103628,2.098568579,1.897742883
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,1.762359792,2.580931404,2.545102759,2.476126925,2.567611355,2.635370951,2.565658928,2.748891006,2.803175192,2.45891334,2.562717608,2.173172449,1.958349023,1.948844436,1.995114677,2.085549394,2.064883409,2.103777387,2.276534538,1.783649553,1.525901765,1.192644,0.9234476507,0.8597684351,0.7947369657,0.7502010492,0.6097719849,0.5520279725,0.5242163099,0.498568396,0.454392082,0.3617799895,0.4637317274,0.444502877,0.4024277343,0.3672157066,0.338189871,0.3705370592,0.456542297,0.6218172918,0.9469162365,1.244359242,1.561882338,1.772449727,1.737365893,1.755774832,1.793490706,1.865295954,1.648178401,0.9228371821,0.5040583039,0.542330467
Sri Lanka,3.622302628,4.155580109,4.09216914,2.725807116,4.372478805,3.730861908,4.553090709,4.35733149,4.47291141,4.137873308,4.069870473,1.364849306,1.306732245,1.740752173,1.4317258,1.551486621,0.8989541222,0.8963883176,1.027180833,1.22638724,1.135415566,-0.1744800008,1.465853763,0.5788506058,0.3266874676,0.6399099906,0.9061933215,0.6292875021,0.4783991886,0.4518228592,0.214240708,0.5836582253,0.02216065389,0.3520485165,0.4681166016,0.4409912313,0.2034705055,0.3560092898,0.2470561271,0.5197872783,-0.6852696711,-2.353311276,-0.09179490314,0.5680969797,0.5965440655,0.3030987964,0.9697313784,0.7934443705,0.7703178644,1.031746491,0.8734817174,1.606597291
Sudan,6.458239206,7.439729624,7.211141363,7.006535894,6.824023551,6.665199949,7.266413676,7.078805151,6.942232467,6.860969373,6.817616758,5.944241389,5.973776901,5.973118839,5.935799303,5.868250664,4.332154143,4.317799348,4.320829572,4.347943886,4.378913646,6.343914758,6.273794389,6.124282896,5.876178327,5.582525929,7.619430812,7.33839788,7.141245118,7.055414361,7.03440915,5.950802907,6.382822485,6.414446795,6.049675346,5.315586859,2.663746207,2.531097987,2.439892347,2.38817168,2.387544826,2.393585539,2.368183407,2.355899631,2.367352424,2.382357152,2.200205527,1.885599425,1.76125371,1.824919235,2.097009854,2.560668464
Suriname,3.004757946,2.748567644,2.648746987,2.599617772,2.616490637,2.651280686,2.309698376,2.313336221,2.059720795,1.488848022,0.7293978959,1.922535956,1.190864384,0.7180722422,0.6218539222,0.8129021562,1.906243602,2.119896431,2.280412518,2.330031523,2.305011855,1.1952787,1.250326307,1.375750516,1.596941839,1.87382333,2.160307684,2.408534171,2.547643588,2.546840651,2.448572146,2.30348999,2.202451898,2.1319969,2.11276203,2.12854774,2.121319142,2.11627717,2.115670145,2.119472517,2.123579396,2.110255348,2.110070504,2.078881622,2.008231002,1.910730854,1.762364501,1.668271392,1.596859335,1.55772432,1.541446663,1.478572282
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,10.44493662,14.73448955,13.28811179,12.16200982,11.29802609,10.62784287,11.860104,11.1230963,10.52149636,10.02494373,9.6069861,11.3364255,10.75177092,10.24426028,9.791176143,9.38301481,8.422861593,8.188799287,7.948111824,7.690830347,7.439653207,7.273427748,7.021159971,6.94927467,7.093339807,7.343789564,5.079276602,5.344809763,5.317009497,4.947135991,4.381237317,2.923959608,2.426707844,2.112788029,2.044341912,2.132848451,1.803690015,1.871124863,-0.2280522225,-0.2293185309,-0.230594521,-0.509007261,-0.5131022564,-0.5172510068,-0.5215529728,-0.5258121369,-0.4181184197,-0.4202425023,0.5799402036,0.5753141914,0.5817413283,0.9902191648
Sweden,1.494497276,1.722972386,1.787947179,1.784945422,1.953692576,2.134036109,1.978768394,1.783985869,1.568520522,1.699239554,1.920146563,1.105811669,0.7114788453,0.5866193312,0.7027110707,0.8081270351,0.4499537252,0.4413509688,0.3772646159,0.3042681865,0.2889677572,0.1230496005,0.06032082545,0.04840260993,0.0939985221,0.1682994281,0.2325688846,0.3336788914,0.4595983698,0.6671829207,0.7726026757,0.8557393762,0.760323619,0.754330986,0.8838971592,0.697596204,0.2073316906,0.105423607,0.1036503418,0.1260422087,0.208667403,0.3381865392,0.3951055096,0.4417118829,0.4628694972,0.4694649018,0.7371436075,0.9159076873,0.9530849952,1.025653704,1.025972555,0.971183871
Switzerland,2.963201192,3.224472526,3.765539199,3.353231402,2.855228036,2.341560018,2.200814213,2.381506598,2.388810859,2.242358416,1.827003961,0.5251404675,0.762828615,0.7385741528,0.538869455,-0.04338942247,-0.6710019418,-0.4385160078,-0.09062540257,0.10110597,0.29727139,3.354322555,3.314889507,3.086801695,2.948300485,2.965281001,2.936601896,2.987319996,3.039769275,3.061434631,3.230132396,1.357441906,1.210021267,1.018100321,0.9044279755,0.7753969464,0.3720261668,0.1712324807,0.2274284791,0.4071640196,0.4921500129,0.6695883325,0.7932726903,0.7787096078,0.7242024346,0.6773644945,0.6768268659,0.9429351086,1.319837967,1.29868031,1.106626231,1.125193429
Syria,4.781032911,4.984694916,4.967827852,4.956886235,4.955072123,4.958110637,5.002944627,4.995451213,4.984919688,4.971021924,4.953673509,4.199044702,4.199046773,4.185285161,4.155650484,4.118342347,4.039068051,4.000055101,3.996040378,4.034836841,4.094845856,3.960796612,3.998546528,3.988586103,3.921226371,3.817766513,3.644766371,3.545736143,3.465508436,3.411242862,3.372574489,3.405375872,3.37477659,3.306751132,3.191524316,3.055422693,3.157029612,3.026416844,3.010555716,3.138323857,3.346490642,3.579692162,3.739938952,3.755159026,3.590109496,3.312472065,2.718463073,2.71359316,2.708792501,2.7040536,2.699379067,2.519260227
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,4.643051295,4.859767693,5.02277999,5.054509948,4.93014897,4.713076639,4.325594991,4.137703026,4.024865029,4.00974757,4.05448191,2.455496189,2.485072668,2.461397413,2.369778504,2.239768368,2.15812638,2.057269299,2.001589643,2.002976249,2.042554044,2.176947277,2.185024905,2.229344307,2.315688366,2.412194834,2.207598497,2.258455651,2.16784113,1.907995436,1.546012218,0.3845073875,0.02838226416,-0.239691172,-0.386648925,-0.4504096392,-0.2093109352,-0.2600462528,-0.3487412827,-0.4944729034,-0.672020312,0.9199771046,0.8064818938,0.7628932002,0.8108988202,0.9233987862,1.153967371,1.269202658,1.362204847,1.418774617,1.447953753,1.622814579
Tanzania,6.017462427,5.867815719,5.808954693,5.749217395,5.687321803,5.626271384,8.863603191,8.546544696,8.279745924,8.061832472,7.878564328,11.23947938,10.68104636,10.18123961,9.718554758,9.291905086,9.100161507,8.738988172,8.424520899,8.155422069,7.921409981,6.130858147,6.051467901,5.965081471,5.86813217,5.768206404,5.544813585,5.45004293,5.402922034,5.413518763,5.452046225,5.033045422,5.069104265,5.012299488,4.843162012,4.609539702,4.469467821,4.271187863,4.13755513,4.087766047,4.097242261,4.22338072,4.23437797,4.252206328,4.272401708,4.294538544,4.485482219,4.50846479,4.53292546,4.557846972,4.580937148,4.773208812
Thailand,4.781736674,3.576027093,3.588004761,3.594241163,3.594798452,3.589193003,3.691083531,3.667059633,3.640336109,3.611986529,3.578704894,5.617334636,5.504714918,5.368694478,5.204377964,5.02400499,4.977314671,4.803079457,4.646789211,4.513557762,4.398013156,3.006798161,2.925607914,2.868729808,2.841488724,2.82794052,2.855407159,2.843285735,2.750319111,2.553775167,2.296154579,1.691663114,1.461600137,1.332568434,1.341000128,1.445846913,1.585140843,1.682856234,1.750086889,1.767684982,1.747219281,1.873593611,1.855450897,1.811813962,1.738308,1.644749657,1.782133368,1.681111815,1.595929413,1.534492523,1.490627889,1.693192483
Timor-Leste,1.911917358,4.22080582,4.203787278,4.188871358,4.177634192,4.166021451,4.551092374,4.429582499,4.402387235,4.498597746,4.635627368,5.186521989,5.325536416,4.926840487,3.858294716,2.393979985,0.901034675,-0.6118259425,-1.337656645,-0.7956828649,0.7757546255,3.017536667,4.685127261,5.714327184,5.846642239,5.39646197,5.003023271,4.59320474,4.411796119,4.563671533,4.89675787,4.804971402,5.080565649,4.850849066,4.0077059,2.826798509,1.459926926,0.3270502425,-0.04417777449,0.7024710662,2.246250828,4.153257334,5.553291137,6.196121956,5.906045735,2.333236909,4.566899412,4.477852499,4.393870549,4.312391524,4.233563997,4.24578276
Togo,8.54896222,10.18150314,9.283554654,8.850683054,8.960040198,9.400115861,11.81340958,11.9365019,11.68049993,10.94967835,9.953518189,4.729789521,4.233355576,3.86039494,3.662925081,3.599800808,3.601783662,3.524288304,3.590464081,3.82461066,4.154904807,4.637696233,4.905447345,5.036804048,4.998791848,4.84573361,4.798359057,4.676542282,4.49008785,4.234004629,3.952579815,3.688285562,3.425440551,3.368429664,3.572217259,3.933470365,4.396173259,4.690442917,4.793632705,4.657106729,4.370584351,4.104456893,3.857768802,3.673331794,3.577567404,3.54290122,3.554201944,3.506659476,3.46191838,3.416221758,3.370497012,3.374439851
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,6.276183204,5.609288138,6.018493577,6.160032714,5.976602127,5.584496271,3.909539087,3.601544423,3.250018783,2.863478202,2.465792751,1.501184631,1.112998136,0.8807743392,0.8626703459,0.9853709468,1.823937511,1.950186188,1.959180483,1.80302881,1.538557099,1.524009322,1.282694351,1.125449211,1.082958565,1.128066259,0.5981839246,0.6576980975,0.6861060858,0.6647628455,0.6078674242,0.3036132376,0.2675272822,0.260889133,0.2971300196,0.365528223,0.4302579169,0.4975692023,0.5579470711,0.6072805757,0.6446671534,0.6750928515,0.7082714112,0.733827865,0.7509192492,0.7597388895,0.8336552503,0.8408584287,0.8226258632,0.7728355912,0.7017934777,0.8518278951
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,0.113910955,-1.745359071,-2.412233417,-2.856238599,-2.989864618,-2.917985818,-2.015476384,-1.927785416,-2.000774756,-2.295714303,-2.736359961,0.177874423,-0.05807781774,-0.1795747467,-0.1416260401,0.01053241852,0.1644956596,0.2911237511,0.4231973007,0.5511497298,0.6621559721,-0.6237146091,-0.573521219,-0.6533536246,-0.8950139936,-1.241029169,-1.198754002,-1.524349186,-1.753617121,-1.843883569,-1.837437525,3.234230296,3.230616304,3.191279987,3.094831162,2.959010627,3.071536091,2.945197643,2.83255691,2.739803672,2.663393674,2.730721539,2.652968386,2.59052438,2.545182609,2.512484611,2.539530745,2.509250531,2.472554889,2.42459443,2.368376206,2.334420683
Tunisia,3.034398299,2.506752499,2.861783055,3.099699459,3.233961633,3.285498938,4.040704358,3.963028397,3.858891255,3.743271384,3.629639109,3.441463102,3.477620758,3.570531461,3.701562948,3.853005055,3.558812992,3.763482505,3.892618363,3.909685614,3.857802034,3.931131846,3.888365888,3.834037461,3.207778972,4.268091739,4.663205392,4.023334859,3.69419418,2.726480947,3.856938795,3.199153922,3.238990915,3.135447844,2.976498097,2.753538235,2.095669629,2.004459475,1.902639477,1.928149882,1.75075588,1.677996856,1.643813308,1.11785722,1.461598095,1.490057077,1.278741748,1.251699159,1.305704296,1.360849283,1.33736322,1.501715542
Turkey,4.509529964,4.278799345,4.203999378,4.117766348,4.017191875,3.911103521,4.545455524,4.424598823,4.335959492,4.286797505,4.264536302,3.918085709,3.914374075,3.896917194,3.859281173,3.809919299,3.201112443,3.16585658,3.15907319,3.188806081,3.23720905,6.18034293,6.077191097,5.930650106,5.725997458,5.486817673,4.535269536,4.358737456,4.21383079,4.111798197,4.040423149,2.700728321,2.670374536,2.640818675,2.60982401,2.577383091,2.452551418,2.426385701,2.391616975,2.345532018,2.292827539,2.077630205,2.029146314,1.994046389,1.976662415,1.970682835,2.426614638,2.409872525,2.38332816,2.343114683,2.293202736,2.512322359
Turkmenistan,3.720208963,3.791759637,3.813427986,3.778811981,3.683027665,3.551571135,3.367355321,3.238701571,3.153292613,3.12439195,3.130813511,2.784029718,2.781009029,2.754490508,2.696734827,2.620298336,2.438392913,2.377760235,2.325358161,2.284080653,2.253240826,1.959688049,1.936480213,1.93095781,1.94566051,1.974165755,2.071185981,2.075368363,2.114964587,2.19777394,2.293485671,2.680400626,2.73962329,2.667732758,2.43678976,2.108009484,2.38307817,2.083654168,1.851858665,1.715147727,1.650371181,1.604818933,1.547534889,1.522534398,1.531720759,1.565085276,1.708420341,1.753970529,1.788935488,1.805641404,1.808063911,1.930404554
Turks and Caicos Islands,,1.342947332,0.7456122877,0.3407554644,0.07188749179,0.06302662673,-0.01645073367,-0.02625131569,0.2159203573,0.857180503,1.726133479,2.836464977,3.738368791,4.202381164,4.176242871,3.843295894,3.492319508,3.213137902,3.263886757,3.667921093,4.355531814,7.910159789,8.325396645,8.412342414,8.06049132,7.516953184,6.515484692,6.098714641,6.056562712,6.475133645,7.131394818,7.106091014,7.728138701,7.728818273,7.01644241,6.00503216,4.522883482,3.726134019,4.078441596,5.830513767,8.236207808,10.57588166,11.77832626,11.78871907,10.70226606,9.119535054,7.326597859,6.210684989,5.211133941,4.362373926,3.639807781,2.577295758
Tuvalu,,5.817155639,5.816681364,5.677318562,5.426248599,5.087436363,5.126167807,4.785066337,4.502845782,4.303064323,4.167502691,4.410023723,4.253055762,4.130590995,3.975216972,3.839945982,3.972196634,3.832887572,3.776247061,3.799165774,3.910561573,4.271817947,4.351964901,4.310365882,4.153892789,3.912074303,4.744260006,4.455417134,4.190948304,3.982437735,3.816385165,2.190360207,2.106498669,2.057122466,1.976213979,1.940127344,1.327427344,1.285053697,1.296782314,1.329762424,1.372974056,1.442736522,1.505311722,1.504155711,1.451165378,1.357818418,1.247782774,1.157066698,1.087676926,1.039259819,1.042104281,1.024690254
Uganda,7.211083238,7.995754152,7.888174521,7.76366357,7.611051893,7.438126922,7.499308653,7.329123865,7.126647501,6.885388982,6.628233462,4.086892489,3.96618763,3.89767424,3.894505048,3.935150101,4.324555715,4.363678199,4.382772733,4.373048566,4.349311254,7.215180114,7.045841941,6.943943907,6.919652651,6.93867919,7.614600749,7.565528583,7.457997435,7.276628246,7.050689064,4.469913351,4.378003423,4.286278321,4.199060801,4.120548488,3.753746428,3.691078466,3.670327783,3.699468005,3.759787001,5.046575966,5.067332882,5.07310889,5.057793096,5.027438696,6.092166498,6.012208145,5.930967123,5.84844222,5.765137251,5.932686916
Ukraine,3.585091214,2.873323074,2.827584713,2.764928998,2.679981565,2.580873333,2.601358695,2.499754588,2.417006165,2.360273622,2.321066362,2.066353393,2.034981377,1.985473696,1.910293412,1.818841132,1.636132996,1.55281934,1.490233365,1.456391042,1.443408064,1.317969889,1.27884136,1.302390838,1.31196731,1.248855875,0.992761152,1.018650108,1.075302957,1.115745046,0.8534852449,0.2669159886,0.3457231219,0.1135226154,-0.4379973504,-0.7323844577,-0.829486954,-0.8532264146,-0.8358725735,-0.8850725237,-0.94879495,-0.8135576932,-0.8021070248,-0.6202331323,-0.5677895705,-0.5423158903,-0.4123892913,-0.3337957068,-0.2791429544,-0.1822994744,-0.1363350256,-0.07017051412
United Arab Emirates,7.908427048,9.18019461,11.21926047,11.64953749,10.57841126,9.058188266,7.494952202,7.002950933,8.252732468,11.24164768,14.61051228,16.69830478,17.43889881,17.60548538,17.34727201,16.73185999,15.99618507,15.16999611,13.64658266,11.56528485,9.417220754,6.980564505,5.571717287,4.802750918,4.741741486,5.1009247,5.557404891,5.787197188,5.852756505,5.712985589,5.462885378,5.257483446,5.130802657,5.018899255,4.925342474,4.858888315,5.691939029,5.899717546,5.846712236,5.490392008,5.081512259,4.254795093,3.788482603,4.894725904,7.783298127,11.14929007,14.04359476,15.21235853,14.24737318,11.5777134,8.357443751,5.269273712
United Kingdom,0.376922473,0.6014942281,0.6894425739,0.5888937243,0.4905303026,0.4824857965,0.3702113499,0.3571233322,0.3050181102,0.2337221672,0.2163092156,0.5643489289,0.4855249852,0.3394514425,0.2090988784,0.1384033406,0.1806357628,0.1719453768,0.2097604809,0.2937122905,0.3230856372,0.01162871636,-0.05904118994,0.01089759487,0.1350526988,0.2037366731,0.1678062335,0.1487925289,0.1581783746,0.1963850911,0.2349633031,0.3637506095,0.3249041701,0.2941887704,0.3090001933,0.3189315309,0.3306634776,0.3335326442,0.3673277216,0.4092699212,0.4331074165,0.4556472034,0.4582874165,0.4948071583,0.5953016691,0.6837733462,0.7414208199,0.7697994244,0.7913570884,0.8040108123,0.8037933452,0.8164932222
United States,2.505209807,2.194318567,2.071721976,1.970055876,1.917133594,1.775485063,1.633164446,1.564875912,1.472200768,1.448748821,1.634295926,1.278191051,1.084378191,0.968330248,0.9275117966,0.9998357494,0.9732985908,1.028845213,1.082640975,1.126639139,0.9826471795,1.186255809,1.1577392,1.118383118,1.069406609,1.089304669,1.140323631,1.109522433,1.123228038,1.159172312,1.343957018,1.852852392,1.900822384,1.829988882,1.735003897,1.696920155,1.638398275,1.67670149,1.636231389,1.616653412,1.578899407,1.404110102,1.340456274,1.270444624,1.334764885,1.3293258,1.313447196,1.299033404,1.292636758,1.22222442,1.181288157,1.015166914
