,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Swaziland,,,,,,,,,,,,,,,,,,,,,2762.513452,2861.468207,3184.937264,3743.531892,4139.364835,4477.998438,4550.800282,4830.017875,5130.391036,5469.307345,5519.029242,5464.034215,5414.78221,5334.067815,5490.097746,5475.197863,5928.511048,6456.287972,6628.122475,7036.35151,7393.03191,7230.119265,7053.632809,7074.955042,7244.44363,7396.531675,7518.620116,7608.685401,7682.351522,8311.388174,8517.029208,9024.543803,9329.362101,8933.567082,9192.929154
Sweden,8440.524278,8567.959755,8720.238316,8999.311944,9433.708616,9636.605466,9880.751904,10023.41794,10260.10258,10718.22462,10955.09716,11477.22289,11884.82505,12446.56297,13102.46008,13498.16134,13686.75413,14013.00904,14380.42955,14921.50726,15685.72496,15686.61856,16002.83352,16430.95197,16924.3198,17396.38276,17656.5705,17270.48239,17343.69763,17945.14912,18171.70208,17960.00731,18129.67233,18283.12657,19028.00314,19530.16725,20016.9733,20665.2954,21127.45304,21653.06621,21712.55351,21246.27417,20880.22437,20226.03393,20922.72167,21645.59787,21857.21504,22287.7076,23101.35701,24167.50711,25231.76995,25402.47981,25763.19161,26137.7874,27076.96326
Switzerland,10984.30654,11771.44834,11501.83109,11738.1239,12372.71973,13058.73424,13806.31448,14082.52794,13313.67721,14262.29379,15254.23173,16210.07153,16691.89675,17127.67154,17829.32212,17947.47026,18140.35875,18507.93665,18961.19428,19767.21016,21081.17182,21844.02378,22483.08999,23069.27836,23227.27111,21135.82798,21039.8786,21667.01666,22121.4854,22890.89633,24042.94387,24228.09792,23773.44449,23821.49172,24389.22775,24940.51459,25244.27716,25370.77954,25901.34856,26716.81247,27447.39603,26979.03836,26752.07992,26568.52628,26819.74477,26835.38247,26788.69664,27094.60357,27849.36171,27973.69979,28831.25068,29022.16674,28989.67705,28791.62668,29275.79942
Syrian Arab Republic,,,,,,,,,,,828.8019619,837.4699695,1071.438198,927.66207,1105.373033,1098.638471,954.1141028,1015.376822,1024.565846,1162.186051,1065.62245,1137.867442,1380.32876,1279.546152,1452.895627,1656.96952,1735.783919,1513.675959,1723.692741,1792.02945,1900.378576,2063.045823,2096.171796,2063.945043,1946.914804,1866.592883,1723.620892,1653.073093,1830.598767,1534.516725,1518.560844,1611.694039,1686.855707,1726.762662,1755.576383,1840.35322,1974.606206,2038.643739,2118.863647,1993.391785,2000.887851,1975.495793,2020.891925,2015.913906,
Taiwan,,1015.607519,1098.88714,1161.881337,1227.878429,1283.175985,1300.218758,1350.392946,1394.785243,1449.438386,1490.935982,1547.377707,1620.851987,1721.19982,1881.653157,2034.860693,2158.539307,2326.387818,2480.06423,2639.100938,2872.188703,3173.227377,3529.33536,3905.542605,3867.771101,3990.990104,4450.039608,4806.411693,5356.593383,5671.955394,5944.626644,6204.313073,6327.087255,6761.889464,7377.711642,7660.646417,8464.108724,9423.040367,10037.59789,10748.5763,11283.90274,11997.55201,12758.87949,13534.30717,14386.5234,15175.39716,15988.28805,16837.97459,17409.7535,18253.87731,19183.92918,18750.99869,19371.4125,19885.64705,20872.2399
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2409.591667,2290.720091,1520.327693,1380.500368,1268.205611,1199.144256,1450.407731,1660.40119,1688.671698,1847.356094,1942.221279,
Tanzania,,,,,,,,,,,497.8222297,452.148289,494.562689,498.5411642,565.5422366,555.9609647,571.5842195,583.6806846,615.4632085,613.1571808,576.1341127,558.6100246,581.0154309,572.4482017,564.4917894,580.432828,600.8111714,581.5559663,570.4531998,571.1695959,570.5029681,554.9287539,538.2072159,512.4096779,509.9730082,502.1883382,495.7731533,495.6770884,495.7990649,493.5199274,498.2628858,515.1430041,498.8645899,492.7846368,474.4177753,484.6671181,491.294138,773.1282467,800.8225783,819.1343029,816.6623773,848.2315737,898.749999,911.9352375,
Thailand,1144.31311,1062.704706,1010.112859,893.2614958,947.356942,850.0929228,861.6581206,938.4745878,926.2535419,994.0952496,1085.836653,1108.186186,1150.172355,1206.145014,1248.527041,1310.966598,1407.573949,1473.872461,1552.785026,1609.392153,1748.067221,1847.650615,1832.943727,1939.353654,1992.651305,2068.219559,2232.996042,2408.912118,2651.567835,2639.081852,2741.714916,2917.336503,3054.824114,3046.670527,3206.131581,3393.086644,3494.599414,3673.290947,3950.456281,4319.002817,4844.584108,5195.628912,5577.573002,5921.74575,6331.145849,6680.056307,6915.207595,6773.107325,6159.405509,6382.857155,6473.595478,6638.379144,6882.735988,7275.024256,
Togo,,,,,,,,,,,838.1682629,922.9013448,901.5703855,921.4370113,958.145272,1026.913365,1168.218545,1236.829506,1292.866522,1351.939577,1301.599429,1375.880259,1402.830551,1287.376253,1316.402038,1282.0216,1321.275997,1291.425624,1309.569694,1351.386776,1313.807775,1104.137316,1066.617683,977.4326599,1029.326801,932.5990928,869.6615762,869.7302425,902.2363908,920.1319623,906.7022888,890.5599183,826.0170785,815.0237971,883.9220247,898.415259,878.6630609,874.1530602,909.768831,868.8202495,823.1664464,784.0422002,731.3535655,788.5203454,773.6889212
Tonga,,,,,,,,,,,,,,,,,,,,,1041.755557,1045.007087,1056.020418,979.446956,1069.18198,1099.191335,1175.232623,1200.903374,1157.737454,1151.300203,1240.03805,1759.000004,2037.257821,1994.898089,2488.140686,2629.651825,2796.292328,2875.742925,2781.435524,2891.36924,3095.591872,3369.853408,3155.109919,3078.859286,3115.721988,3234.270776,3184.071859,3249.788158,3253.740287,3274.738008,3398.268075,3430.96869,3467.746846,3196.906819,
Trinidad and Tobago,3353.540615,3641.688409,3754.449561,3742.298994,3881.974335,4319.834184,4664.377575,5080.912515,5469.670065,5731.220562,6127.52715,6789.708887,6731.71202,7012.213337,7369.650751,7257.694512,7529.207553,7845.337239,8423.972983,8875.252891,8858.710233,8400.086853,9512.825692,9510.896541,9914.735397,10089.44516,10820.67464,11142.53513,12326.76156,12339.35326,13226.77917,13658.88962,13672.95851,11860.92602,11107.16247,10403.06432,9256.437994,9181.69417,9086.277501,8771.771306,9093.5799,9269.581616,9845.730627,9512.687065,10212.41494,10717.35581,10749.09561,10773.87974,10880.29711,12110.57926,14770.03439,14489.42515,13761.89244,18390.25481,
Tunisia,,,,,,,,,,,,2085.838231,2003.742341,2210.053737,2223.713338,2253.311489,2288.417291,2196.280654,2457.166283,2577.257429,2690.791234,2957.655513,3422.035257,3283.525384,3429.966268,3528.011718,3706.614228,3713.86331,3841.086307,3933.873394,4202.374571,4258.682613,4173.802396,4363.537269,4399.587808,4705.701676,4660.691626,4884.070774,4944.95527,4945.479178,5126.362119,5243.16615,5463.583039,5522.158586,5717.689513,5746.492971,6032.66491,6261.760125,6475.296872,6792.758376,6993.31177,7235.049533,7368.423518,7601.581543,7922.865802
Turkey,1542.588172,1861.707079,1949.120261,2147.686917,1890.187501,2033.576951,1999.688084,2359.239704,2461.711066,2356.002342,2264.386673,2293.785556,2340.958877,2525.043504,2540.218717,2549.260372,2740.909713,2784.387158,2906.222328,2978.135549,3031.330945,3137.633499,3274.341125,3290.641917,3327.354865,3517.236818,3797.780487,3919.190304,3885.321099,3769.444725,3587.698191,3685.768643,3697.839335,3828.999842,3978.513109,4057.113632,4261.179343,4512.924369,4512.932773,4434.65968,4767.541029,4753.572063,4917.444357,5209.062951,4853.389239,5080.958019,5370.163376,5649.378224,5727.435124,5458.977726,5714.591012,5249.621652,5472.213942,5634.014271,5982.312548
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8663.167155,6431.962965,6016.905043,6100.192278,5377.376504,5921.998757,6551.196813,7624.230452,7585.225605,7157.015612,7342.208548,
Uganda,846.7837757,903.1458304,947.4178142,859.9511612,834.0111429,846.1588651,873.5115384,908.0351963,854.1906306,890.729554,873.9036359,813.6246763,878.0985179,922.6434165,924.994604,939.6436709,985.1731092,1019.221383,1029.59515,1058.881976,1059.336384,1024.452246,1067.016818,1076.05432,1040.457508,1034.008466,1017.827637,1020.333915,972.5483849,786.4558688,749.4617012,665.8691624,703.4494681,740.601333,733.5892582,681.4309845,673.6205795,646.6023295,644.8506851,672.5002106,709.2716337,729.3820919,735.8571728,770.9055891,898.5050612,863.7889108,908.4995165,950.0911112,977.4069865,1031.925131,1057.79249,1075.535815,1092.968042,1113.739228,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7287.346815,5905.902375,5188.703575,4716.108451,4609.182497,4557.032504,4655.556266,5002.869737,5589.88212,5862.116889,6426.889248,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,9755.944377,10802.26018,9901.205965,15219.56069,38427.78458,43245.20295,43632.62255,44557.96481,38130.78782,42141.13827,46959.83477,43738.73355,36678.1121,31561.80602,30134.23098,27085.90256,20155.89813,20895.89774,19860.55414,22002.90603,25286.74322,24633.2909,24711.70476,22447.19214,24013.0066,25345.12324,26942.47479,28793.69388,28586.28132,29112.68775,32181.67774,32848.62935,32977.35155,35675.6171,
United Kingdom,8245.557296,8590.177669,8563.549796,8955.86082,9223.328977,9514.71494,9593.618871,9700.973398,9699.962353,9967.763954,10353.19578,10499.87743,10581.77447,10908.84696,11369.78893,11592.65095,11742.23557,11988.77875,12370.72916,12549.19786,12818.93918,13132.41507,13526.23278,14511.91603,14368.79883,14259.5837,14712.83372,14823.60107,15330.38806,15754.86582,15470.24029,15312.92351,15516.23668,16061.80352,16426.4182,16966.67272,17627.54778,18399.89654,19377.48837,19783.28194,19864.87309,19525.05259,19538.57257,19961.42381,20762.98317,21266.53148,21807.70725,22467.89633,23181.38015,23800.15799,24666.4113,25133.81756,25517.65394,26044.01185,26762.34834
United States,11086.59648,11854.78815,12186.39969,12491.30149,12077.34946,12759.86064,12785.62365,12766.99334,12435.63568,12932.82119,13029.61548,13107.18326,13716.86328,14140.0891,14771.10909,15554.34719,16318.23684,16499.27965,17192.64382,17594.5191,17429.98916,17870.74031,18698.16038,19580.56802,19258.91414,19053.04976,19944.06632,20702.20048,21628.03111,22049.75921,21680.80689,21988.92439,21434.60113,22262.83701,23679.8432,24420.05283,25005.21444,25578.07109,26342.09868,26982.396,27174.14597,26789.5438,27431.19418,27942.36866,28847.7107,29290.57196,30124.93515,31248.23329,32300.16758,33444.44645,34364.50062,34162.90121,34286.64537,34875.41124,36100.43915
Uruguay,5397.633184,6196.579465,5818.025358,6041.531703,6534.293257,6523.635981,6409.289927,6568.747531,6045.607047,5846.960699,6049.508954,6049.103352,5991.038736,5789.348859,5884.856105,5753.433176,5955.61063,5759.597309,5776.309727,6108.209003,6322.940307,6359.850007,6132.257564,6256.679678,6407.769553,6754.797305,7001.828454,7075.498835,7475.080986,8066.548083,8477.313588,8555.608141,7692.119172,6968.955458,6775.021192,6796.9081,7457.055603,8156.403241,8034.819824,8028.960416,7960.380028,8278.385963,9095.390553,9396.864035,10068.5564,9860.294909,10371.10938,10859.65607,11372.16178,11014.77168,10739.73693,10284.29324,8758.902377,8856.200712,9877.986615
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4181.440192,4061.380528,3081.373236,3791.832411,3347.025618,3169.292976,3189.456932,3345.699099,3394.168927,3579.758357,3543.24093,3621.613494,3707.839574,3915.416015,
Vanuatu,,,,,,,,,,,,,,,,,,,,,1817.617379,1808.05821,1803.137826,2043.154533,2666.654177,2465.116982,2437.516845,2341.268372,2667.140284,2672.48745,2297.802345,2324.663832,2499.223282,3098.990359,3171.056066,2949.638401,2990.273615,2636.439115,2640.064295,2659.240579,2679.11543,2941.663136,3109.098495,3147.070909,3114.223325,3164.046913,3066.290903,3217.038174,3376.646692,3111.423855,3234.72918,2752.136996,2585.699313,2872.995506,
"Venezuela, RB",4588.007559,4868.992505,5148.296621,5171.706091,5414.57713,5650.358789,5971.951618,6449.255673,6270.945602,6389.565615,5967.93441,5975.583588,6243.625911,6413.995001,6899.855056,7031.028432,6823.586471,6870.981963,7193.46293,7374.165892,7760.561313,7066.949786,7124.243794,7649.561545,8316.455944,8592.233177,9126.788782,9496.224212,9445.678629,9232.723988,8815.007027,8671.57549,8337.869497,7785.647909,7713.562982,7516.587125,7739.876679,7825.18211,8101.952328,7269.759879,7483.648893,8063.043179,8350.580665,8118.910889,7683.365903,7791.97425,7506.772002,7817.20721,7693.465737,7192.77952,7322.969666,7468.206299,6759.657565,6251.374406,7067.773118
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380.487939,1441.606473,1475.987435,1549.401561,1628.109736,1691.434409,1804.373787,1937.593068,2033.209396,2109.133099,2121.432571,2189.40789,2283.90411,2413.3646,2560.629014,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969.2442446,975.3161912,970.5573499,909.2975818,871.9189778,1053.333986,1015.507094,937.389707,951.1049756,954.888659,1012.365363,1081.907895,1103.796133,1104.671178,1075.693355,
Zambia,,,,,,759.3110919,772.6991648,923.7191562,804.0229266,788.7603553,819.5308478,853.6952946,767.1223495,802.7977832,919.5920016,1081.171208,1045.289285,1134.326223,1103.737543,918.6629441,1147.077233,1141.523883,1246.725133,1281.0655,1187.662075,1246.102882,1414.664835,1322.282674,1315.847667,1319.183625,1289.158559,1328.601168,1295.528871,1381.753285,1342.069722,1232.851953,1133.729122,1194.818084,1195.949468,1259.152084,1116.923986,1150.434769,1069.487606,1044.917975,935.6485094,830.7522854,837.2655478,854.860548,832.2570327,835.8421417,865.6493975,857.9193081,904.2511561,945.8942142,
Zimbabwe,,,,,1926.680375,2027.908239,2189.933021,2283.294616,2257.53037,2277.772116,2276.573699,2342.891533,2284.405546,2244.189002,2232.862061,2340.818137,2266.621572,2230.188305,1956.704861,2435.429605,2880.183531,3120.495692,3245.956299,3305.951522,3541.391225,3386.048198,3189.808685,2799.564085,2925.083241,3168.337546,3226.654455,3752.38861,3614.135274,3801.649201,3089.493559,3064.041658,2961.131481,2794.096575,3028.712154,3409.230929,3448.07412,3822.590254,3156.430565,3072.660676,3159.418537,2880.58312,3080.27507,3135.278082,3127.505362,3220.685975,3255.929904,3081.981885,2674.881759,2437.861116,
