Median age,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Netherlands,28.028,28.615,28.748,28.571,28.628,29.445,31.279,33.113,34.534,35.978,37.487,39.057,40.839,42.265,43.184,43.508,43.691,43.948,44.215,44.426,44.624
Netherlands Antilles,23.315,20.916,19.992,19.656,20.971,22.324,24.291,27.239,29.234,31.08,34.542,36.053,38.372,40.88,43.047,45.213,47.371,49.387,50.727,51.431,51.053
New Caledonia,22.495,22.496,21.716,20.92,20.654,20.72,21.329,22.348,23.785,25.308,26.898,28.715,30.31,31.86,33.434,35.07,36.659,38.203,39.666,40.753,41.648
New Zealand,29.406,28.726,27.432,25.823,25.612,26.299,27.871,29.185,31.003,32.571,34.37,35.595,36.64,37.406,38.172,39.126,40.24,41.342,42.124,42.65,43.094
Nicaragua,18.248,17.327,16.316,15.438,15.831,16.226,16.333,16.355,16.809,17.629,18.829,20.385,22.04,23.761,25.686,27.637,29.576,31.45,33.363,35.285,37.212
Niger,15.244,16.115,16.583,16.66,16.215,15.915,15.829,15.509,15.427,15.561,15.703,15.514,14.951,14.844,14.994,15.719,16.369,17.031,17.844,18.884,20.159
Nigeria,19.119,18.9,18.699,18.447,18.195,17.963,17.681,17.177,17.07,17.346,17.791,18.192,18.578,19.16,20.009,21.237,22.596,23.985,25.397,26.813,28.204
Northern Africa,19.472,18.979,18.234,17.612,17.313,17.492,18.057,18.304,18.786,19.736,21.117,22.644,24.239,25.913,27.452,28.974,30.473,31.907,33.296,34.677,36.088
NORTHERN AMERICA,29.804,29.939,29.286,28.138,27.947,28.682,29.994,31.472,32.796,34.033,35.273,36.212,36.907,37.536,38.261,39.096,39.956,40.747,41.272,41.659,42.058
Northern Europe,33.404,33.815,34.343,33.927,33.535,33.418,33.997,35.06,35.655,36.5,37.669,38.803,39.818,40.468,40.824,41.255,41.852,42.489,42.906,42.973,43.019
