Total expenditure on health as percentage of GDP (gross domestic product),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Singapore,3.0168834,2.95928032,2.89661447,3.196578,2.86201832,2.40991899,2.74603193,2.88423073,3.80888617,3.40109595,3.37029909,3.25737674,3.18562573,3.6145935,4.13247073,3.95961271
Slovak Republic,6.06387494,6.43714522,5.78420775,5.65522564,5.75379503,5.49890785,5.50461613,5.62930119,5.81850192,7.21098106,7.04485118,7.34768079,7.75529417,8.01005494,9.13728327,8.79029531
Slovenia,7.45548818,7.63863893,7.75623737,7.81007276,7.79898595,8.26416456,8.56912386,8.62002958,8.60889134,8.33918284,8.40961553,8.27405701,7.78702228,8.35907939,9.28577254,9.4097517
Solomon Islands,5.15304621,4.70648828,4.98354904,5.52622351,5.59964673,6.92616783,9.46205408,9.1706722,6.12701613,5.66129024,7.62826022,6.34243197,6.23455413,6.03765447,8.73890335,8.55278448
Somalia,2.68489176,2.59410849,2.63400617,2.69253964,2.80677916,2.44384477,2.251338,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,
South Africa,7.48750209,7.95632223,8.25580965,8.57792681,9.06492593,8.46545768,8.78351744,8.72038817,8.85762592,8.93981546,8.81369876,8.53276693,8.45183383,8.63137082,9.16092737,8.94156391
South Ossetia,,,,,,,,,,,,,,,,
Spain,7.44459252,7.46292642,7.33387575,7.3192794,7.31629197,7.21475551,7.24157367,7.25041069,8.17211614,8.20614429,8.28183839,8.34609457,8.48290507,8.96011886,9.56555237,9.53862387
Sri Lanka,3.42657913,3.44855213,3.33033467,3.68413711,3.60870697,3.70894281,3.7431487,3.81825105,3.8047856,4.10437714,3.94792525,4.03844583,3.72762308,3.40625327,3.19568939,2.94519357
Sudan,3.36232894,3.95189674,3.74988526,3.99469819,3.79894414,3.36755312,3.5245654,3.58005233,3.84841707,4.0980999,3.98708103,4.85638824,6.02544967,6.90489364,7.32619129,6.31501433
Suriname,5.19103944,7.41196372,7.75757494,8.60661376,7.62329263,7.95639165,8.07159557,7.1421666,6.62355609,6.87614002,6.77689324,7.65703495,7.27578894,6.78494752,7.47131238,7.0150575
Svalbard,,,,,,,,,,,,,,,,
Swaziland,4.95991489,5.40356441,5.11799324,5.55824512,5.3750616,5.37824216,5.30405992,5.31636578,5.93267461,5.48897135,5.84457849,6.33952475,5.98251975,6.5731289,6.71761995,6.60910709
Sweden,7.96455521,8.20030584,8.02636126,8.11535567,8.19761871,8.17961312,8.85949228,9.22815647,9.31003467,9.08797098,9.06150305,8.94799761,8.91722313,9.22835422,10.00118623,9.63346849
Switzerland,9.57160447,9.94725716,9.95073528,10.07305601,10.20196005,10.15084343,10.59043662,10.91254262,11.25466327,11.30042365,11.22102376,10.7581161,10.61914519,10.72484272,11.38569524,11.52215329
