Internet users (per 100 people),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Jordan,0,,,,,0.02426964333,0.04686114017,0.6191791201,1.329923948,2.565298237,2.639458529,4.698596169,5.97813666,8.355819076,11.48324095,12.76675995,13.76221514,20.01922642,23.2462236,26.48611868,27.83075482,35.74225823
Kazakhstan,0,,,,0.0005218855988,0.01138112611,0.0320995917,0.06523280459,0.1327557849,0.4690649754,0.6718767248,1.008787489,1.679586134,2.007130604,2.657545946,2.966551957,3.269276025,4.017897341,10.98690864,17.91457965,31.02519714,44.04418008
Kenya,0,,,,,0.0007274821628,0.008839114851,0.03440605092,0.0502613877,0.1142560282,0.3180597136,0.6197822662,1.207773885,2.941902861,3.023528042,3.101897702,7.53378972,7.95,8.67,10.04,14,28
Kiribati,0,,,,,,,,0.6165456182,1.211577838,1.785225474,2.337458948,2.5,3,3.5,4,4.5,6,7,8.97,9.07,10
North Korea,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,
South Korea,0.02332553041,0.04623588257,0.09855372063,0.2499536089,0.3107487349,0.8118546842,1.603709081,3.543897083,6.66580682,23.11365892,43.72972245,55.22979404,57.90179958,63.81092007,70.87141317,71.82980724,76.31708317,77.0185927,78.9893569,79.57903535,81.6224647,81.46396158
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0,,,,,0.2028984331,0.8556623169,2.174535859,3.052397455,4.756222209,6.731395768,8.551792434,10.24896793,22.40293838,22.92711204,25.92610837,28.79119795,34.8,42,50.8,61.4,74.2
Kyrgyz Republic,0,,,,,,,,0.07364603435,0.2071839655,1.05340243,3.0289586,3.006471421,3.881677021,5.004293407,10.28850574,11.98929144,13.68596887,15.3617299,16.64503149,18.01606182,19.58445615
Lao,0,,,,,,,,0.009657813992,0.0377807083,0.1110440323,0.1816644607,0.2678992413,0.3339124664,0.3614344903,0.8503574903,1.169893428,1.64,3.55,6,7,9
Latvia,0,,,,,,0.8145014479,2.058639728,3.328748952,4.409378385,6.350982469,7.25702418,22.04991465,27.08306585,38.68692484,46.10029767,53.7502952,59.31539687,63.55282048,67.03404295,68.81884531,72.42721557
Lebanon,0,,,,,0.07161799078,0.1401669388,1.241079739,2.722352199,5.376809498,7.952743736,6.783219775,7,8,9,10.14,15,18.74,22.53,30.14,43.68,52
Lesotho,0,,,,,,0.002845939613,0.005584433281,0.0109565327,0.05380445953,0.2118060704,0.2611500631,1.083943137,1.53249659,2.175524339,2.580245484,2.979708187,3.44543126,3.58,3.72,3.86,4.2248
Liberia,0,,,,,,,0.004489442627,0.004099387183,0.01132873185,0.01770270572,0.03381222718,0.03271330712,0.03186893455,0.0310111848,,,0.5513765806,0.53,0.51,2.3,3
Libya,0,,,,,,,,,0.1336172892,0.1870426223,0.3665331753,2.244418222,2.814517987,3.532838162,3.917787977,4.301051789,4.721999379,9,10.8,14,16.9981
Liechtenstein,0,,,,,,,,,,36.51522989,45.11685265,59.47071067,58.80969184,64.00744814,63.37135615,64.21416136,65.08021844,70,75,80,85
Lithuania,0,,,,,,0.277608544,0.9789670423,1.972333219,2.922635016,6.427971077,7.175913006,17.65599754,25.85723045,31.19790272,36.2353184,43.9493184,49.95062999,55.24769127,59.78936591,62.81533985,67.17191353
Luxembourg,0,,0.1526530683,0.3011699197,0.4951048179,1.586647487,5.540287981,7.141086355,11.75982428,17.39502648,22.84488963,35.99830058,39.5459604,53.91104887,64.84353996,68.80197696,71.42826495,78.21645082,81.91548476,87.28439193,90.70848335,90.70382493
"Macao, China",0,,,,0.03699337572,0.2800140857,0.7272735981,2.364127672,7.003324245,9.212005085,13.60858974,22.52121677,25.17188016,25.74212398,31.48409738,34.86292717,46.4,47.327,49.24,54,53.8,58
"Macedonia, FYR",0,,,,,0.04074383991,0.07599573411,0.5039850095,1.002861666,1.49733026,2.485566316,3.468184608,17.33,19.07,24.44,26.45,28.62,36.3,46.04,51.77,51.9,56.7
Madagascar,0,,,,,,0.003695195721,0.01433364703,0.06256102306,0.1686087813,0.196394691,0.2225115862,0.3397201546,0.4232524193,0.5253536549,0.5677218022,0.6075522389,0.65,1.65,1.63,1.7,1.9
Malawi,0,,,,,,,0.004668517952,0.01805736518,0.0872787549,0.1267809448,0.1640207253,0.2150947265,0.2788151163,0.347505335,0.3844893341,0.4251374896,0.9658647366,0.7,1.07,2.26,3.33
Malaysia,0,,0.00104782235,0.02553847752,0.09960741729,0.1456738367,0.8520444665,2.307393234,6.751770483,12.3055022,21.38473116,26.6959725,32.33820434,34.97115234,42.25226563,48.62917025,51.63798899,55.7,55.8,55.9,56.3,61
Maldives,0,0,0,0,0,0,0.2269300897,0.3094442381,0.5696274636,1.119908615,2.203872939,3.617290649,5.347765169,5.97659285,6.588254875,6.869605067,11.03635278,16.3,23.2,24.8,28.3,34
Mali,0,,,,,,0.002055228089,0.01008591892,0.01979388822,0.06090987338,0.142545755,0.1858974133,0.2270455785,0.3103644432,0.4328196399,0.507063136,0.7296272808,0.81,1.57,1.8,1.9,2
