"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Gambia, The","GMB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78","241","3632","2190","2206","6599","6924","7279","10320","17219","12016","8133","12120","7465","7343","7330","13761","14895","14836","10118","8378","9528","9853","9563","",
"Guinea-Bissau","GNB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3004","4631","12163","20735","23909","15350","15401","15982","6604","7120","7587","7332","7639","7551","7536","7616","7804","7860","7884","7898","7679","7800","7784","8535","",
"Equatorial Guinea","GNQ","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8488","8989","8456","7873","7784","4428","5780","5520","6145","6283","6653","6948","2788","2771","2489","2390","2289","2228","2164","1695","1444","1573","2100","3485","",
"Grenada","GRD","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","",
"Greenland","GRL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","223377","223236","222929","4689","4672","1496","1564","1508","815","732","720","729","733","715","656","391","382","379","130","131","138","147","159","160","",
"Guam","GUM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","7","7","7","11","",
"High income","HIC","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2164245","2315301","3310433","3444321","3391685","3267029","3507086","3126417","2759334","2735776","2557200","2833239","2880500","2786672","2649715","2426394","2806626","2410613","2442832","2196067","2173117","2144301","2153538","1800706","",
