pincode,lat,lon,place
400057,-0.16477847,0.3342154,"Nanda Patkar Street, Mumbai"
400057,-0.16477847,0.3342154,"Narimnan Road Vileparle E, Mumbai"
400057,-0.16477847,0.3342154,"Navsamaj Co-Op Hsg Socy, Mumbai"
400057,-0.16477847,0.3342154,"Nehru Road Vileparle, Mumbai"
400057,-0.16477847,0.3342154,"Netaji Subhash Nagar, Mumbai"
400057,-0.16477847,0.3342154,"Paranjape A S Rd No1Rcm, Mumbai"
400057,-0.16477847,0.3342154,"Paranjape A S Rd No1To3, Mumbai"
400057,-0.16477847,0.3342154,"Paranjape B S Rd No1To4, Mumbai"
400057,-0.16477847,0.3342154,"Park Cross Road, Mumbai"
400057,-0.16477847,0.3342154,"Park Road, Mumbai"
400057,-0.16477847,0.3342154,"Parle Colony, Mumbai"
