,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,South Africa,,Aggregate HPI,,
1999:Q3,54.83,68.41,66.08,86.85,102.14,65.32,45.16,64.71,53.24,51.60,50.76,59.95,133.88,73.34,54.76,64.97,68.30,57.37,62.47,64.11,33.11,,73.44,,
1999:Q4,56.38,68.17,66.86,87.49,102.41,66.01,46.56,66.50,54.36,53.76,53.13,61.00,132.68,73.62,55.66,68.27,71.11,57.00,63.73,64.83,34.15,,74.12,,
2000:Q1,57.60,69.48,67.64,86.65,102.81,66.92,47.16,68.38,55.74,55.94,53.91,61.92,131.44,74.00,56.19,71.32,73.13,56.71,65.47,66.02,36.38,,74.98,,
2000:Q2,58.65,69.99,68.56,87.90,102.99,68.35,47.41,68.03,56.89,57.98,56.77,63.23,130.18,74.35,57.38,74.08,75.72,56.58,67.82,67.15,37.96,,75.78,,
2000:Q3,58.92,70.36,69.23,88.62,103.13,69.71,48.12,67.98,58.02,58.37,59.85,64.99,128.84,74.16,58.91,76.81,75.80,56.63,69.66,68.29,39.22,,76.44,,
2000:Q4,60.02,72.39,70.08,88.87,103.19,71.10,49.42,69.44,58.86,60.97,60.57,66.38,127.54,74.05,60.65,79.08,78.09,56.39,71.33,69.40,40.88,,77.26,,
2001:Q1,61.58,72.93,70.46,88.72,103.19,72.31,50.72,69.63,60.11,61.58,63.31,67.47,126.23,74.21,63.81,80.89,78.85,56.48,73.37,71.09,42.00,,78.15,,
2001:Q2,63.60,73.78,71.36,89.55,103.12,72.75,51.67,70.03,61.51,62.65,63.31,68.77,124.90,75.51,65.62,82.87,80.20,56.78,73.60,72.32,43.17,,78.94,,
2001:Q3,67.11,74.23,72.16,89.77,103.00,73.42,52.97,70.39,62.44,64.29,62.06,70.08,123.54,78.28,67.41,84.50,82.41,57.35,74.31,73.36,44.83,,79.74,,
2001:Q4,69.19,74.77,73.51,90.78,102.81,73.72,54.99,71.88,63.61,63.73,61.38,71.70,122.13,80.43,68.90,85.79,82.80,58.16,74.65,74.31,46.47,,80.37,,
2002:Q1,72.91,76.13,75.67,92.70,102.40,74.65,57.53,74.74,64.71,66.85,66.34,73.70,120.65,85.60,69.58,87.29,83.29,59.37,76.05,75.41,47.75,,81.54,,
2002:Q2,77.08,77.26,77.07,93.01,102.15,75.46,60.77,76.53,66.27,71.11,67.17,75.48,119.22,88.60,71.05,88.47,84.26,61.10,77.55,76.70,49.49,,82.79,,
2002:Q3,80.29,79.15,78.97,93.97,101.89,75.81,62.55,78.66,68.21,75.19,70.04,77.09,117.81,91.46,72.88,89.37,82.35,62.95,79.74,78.14,51.95,,84.06,,
2002:Q4,82.73,80.48,81.33,95.73,101.63,76.83,65.14,79.23,70.06,79.82,73.18,78.93,116.36,94.02,74.63,89.85,83.66,64.96,81.38,79.26,54.23,,85.26,,
2003:Q1,85.82,80.71,83.15,95.70,101.40,76.75,68.18,80.79,71.91,82.37,75.89,80.85,115.01,95.38,76.60,90.64,84.46,68.05,82.14,80.30,56.81,,86.26,,
2003:Q2,90.06,82.27,84.23,96.47,101.14,77.55,72.57,82.83,74.03,83.66,78.94,82.92,113.34,97.60,78.69,91.60,83.27,70.94,83.07,81.29,59.93,,87.24,,
2003:Q3,95.36,83.10,86.14,97.18,100.88,78.47,75.45,84.72,76.25,85.14,81.66,85.23,111.33,99.06,81.31,91.90,84.70,76.34,84.14,82.44,62.85,,88.25,,
2003:Q4,98.70,85.82,87.86,97.26,100.62,79.55,78.86,88.89,78.90,87.82,84.10,87.45,109.50,100.28,83.76,93.54,86.58,81.06,86.23,84.72,66.91,,89.87,,
2004:Q1,99.41,85.76,89.74,98.07,100.24,81.54,82.29,89.14,82.16,89.67,85.48,89.65,107.68,100.12,87.28,94.55,92.01,83.91,88.55,86.15,72.64,,91.02,,
2004:Q2,97.91,86.75,91.66,98.45,100.04,83.65,85.72,92.02,84.90,93.85,88.97,91.75,106.02,99.79,89.89,95.54,91.25,86.72,91.18,88.25,78.57,,92.52,,
2004:Q3,97.92,88.61,93.06,99.42,99.90,86.03,89.04,94.01,88.09,96.98,90.01,93.79,104.46,98.82,92.88,96.64,92.97,88.92,92.38,91.58,84.66,,94.47,,
2004:Q4,98.86,91.47,94.68,99.79,99.82,88.99,92.04,95.43,91.48,98.70,93.33,95.72,103.03,98.03,95.32,97.61,95.55,90.92,94.76,93.41,90.08,,95.81,,
2005:Q1,99.52,95.45,96.80,99.46,100.18,92.36,95.34,98.18,94.82,99.39,94.91,97.51,101.70,98.27,97.72,98.42,96.94,95.20,96.06,95.63,94.15,,97.32,,
2005:Q2,99.72,98.44,97.92,99.22,100.10,96.47,98.44,98.52,98.28,99.49,98.16,99.24,100.49,99.26,98.60,99.58,98.79,98.53,98.23,98.71,98.02,,99.09,,
2005:Q3,99.63,101.57,101.07,100.21,99.96,102.00,101.50,100.14,101.84,100.17,100.65,100.80,99.39,100.98,101.97,100.41,101.24,101.41,101.09,101.79,101.97,,101.01,,
2005:Q4,101.13,104.54,104.22,101.10,99.76,109.17,104.73,103.15,105.06,100.95,106.27,102.46,98.42,101.49,101.72,101.59,103.02,104.86,104.62,103.87,105.86,,102.58,,
2006:Q1,103.44,107.70,109.24,101.88,99.08,115.68,106.71,107.40,108.29,102.76,108.25,104.23,97.51,102.92,105.71,102.98,106.43,106.94,109.17,105.57,109.58,,104.12,,
2006:Q2,106.88,111.36,115.12,102.91,98.93,121.12,109.00,107.59,111.14,104.95,112.22,105.86,96.84,104.80,108.91,104.16,109.77,108.62,110.96,106.79,113.42,,105.57,,
2006:Q3,109.77,112.28,118.47,102.24,98.92,123.93,111.03,109.74,113.31,107.19,119.55,107.33,96.33,105.94,108.77,105.18,114.65,111.67,113.15,108.00,116.84,,106.84,,
2006:Q4,111.04,115.49,121.92,102.92,99.02,125.54,113.36,111.96,115.40,110.23,113.84,108.81,95.98,110.89,109.35,106.24,118.93,115.03,115.60,108.66,121.40,,108.05,,
2007:Q1,113.32,119.28,126.08,104.52,99.82,127.34,114.30,112.55,117.24,114.12,117.67,110.28,95.82,115.18,109.23,107.30,123.23,119.57,117.97,109.04,126.66,,109.31,,
2007:Q2,117.52,121.42,131.38,104.31,99.97,126.95,115.43,114.39,118.79,116.85,114.64,111.70,95.66,115.27,109.93,108.49,126.65,123.52,122.37,109.21,131.14,,110.22,,
2007:Q3,122.35,124.08,134.85,104.66,100.09,127.22,116.65,113.80,119.70,119.42,114.59,112.95,95.57,115.77,110.80,109.67,128.95,124.28,126.53,108.45,134.34,,110.64,,
2007:Q4,126.75,125.04,137.41,104.91,100.12,126.94,117.75,116.08,121.87,121.12,111.74,114.09,95.42,116.80,111.46,110.59,130.38,124.18,128.71,107.62,136.18,,110.94,,
2008:Q1,128.56,126.41,138.62,105.03,100.04,125.93,118.17,114.40,122.29,121.46,111.02,115.41,95.30,118.19,110.76,111.45,130.90,123.12,128.57,106.97,137.47,,110.95,,
2008:Q2,126.81,129.04,139.10,107.06,100.00,124.74,117.70,115.83,121.85,120.12,105.53,115.79,94.89,120.35,109.68,111.70,130.42,118.07,128.27,104.79,138.38,,109.98,,
2008:Q3,124.06,129.42,137.49,108.62,100.00,121.30,116.19,116.25,120.37,114.97,102.58,115.23,94.19,121.77,108.64,112.73,128.55,115.77,128.89,101.95,137.64,,108.16,,
2008:Q4,121.73,128.85,135.43,108.75,99.96,113.57,113.10,111.22,117.11,110.59,99.05,114.24,93.38,121.35,108.46,112.35,123.50,113.05,126.21,100.48,136.48,,106.50,,
