date,latitude,longitude,depth,magnitude
1931-08-18T21:21:00.000Z,47.29,90.118,35,7.2
1931-08-27T22:27:00.000Z,29.473,67.172,35,7.1
1931-09-10T03:38:00.000Z,19.152,145.489,171.8,7.1
1931-09-25T12:59:00.000Z,-5.178,102.511,35,7.3
1931-10-04T02:13:00.000Z,-10.932,161.016,35,7.8
1931-10-04T05:47:00.000Z,-10.913,161.403,35,7.1
1931-10-10T07:20:00.000Z,-9.968,161.194,50.2,7.7
1931-11-02T18:03:00.000Z,32.003,131.945,42.2,7.5
1932-01-09T18:21:00.000Z,-6.083,154.445,387.6,7.2
1932-01-29T21:41:00.000Z,-6.808,155.035,53.8,7.1
1932-05-14T20:11:00.000Z,0.258,126.169,35,8.1
1932-05-26T23:09:00.000Z,-25.399,179.049,568.8,7.5
1932-06-03T17:36:00.000Z,19.457,-104.146,25,7.9
1932-06-18T17:12:00.000Z,19.452,-103.632,54.3,7.9
1932-11-13T12:46:00.000Z,43.841,136.881,35,7.1
1932-12-04T16:11:00.000Z,2.387,121.019,45.8,7.1
1932-12-21T14:10:00.000Z,38.51,-118.084,15,7.1
1932-12-25T10:04:00.000Z,39.771,96.69,25,7.6
1933-01-22T03:21:00.000Z,-33.505,57.732,15,7.1
1933-02-23T16:09:00.000Z,-20.297,-69.965,35,7.2
1933-03-03T01:31:00.000Z,39.224,144.622,35,8.4
1933-06-19T04:37:00.000Z,38.28,142.51,35,7.2
1933-06-25T04:54:00.000Z,-5.522,104.434,35,7.3
1933-08-25T14:50:00.000Z,31.81,103.541,25,7.3
1933-08-29T05:19:00.000Z,-59.439,-26.643,35,7.2
1933-11-21T07:21:00.000Z,72.996,-70.116,15,7.1
1933-12-05T03:33:00.000Z,46.192,144.592,352.6,7.1
1934-01-15T16:43:00.000Z,26.773,86.762,35,8
1934-02-14T11:59:00.000Z,17.404,119.19,35,7.5
1934-02-24T14:23:00.000Z,22.878,144.067,35,7.2
1934-02-28T22:21:00.000Z,-5.234,149.484,35,7.1
1934-03-02T05:45:00.000Z,-40.925,-72.877,35,7.3
1934-03-05T19:46:00.000Z,-40.643,175.738,35,7.3
1934-03-24T19:04:00.000Z,-10.065,160.803,35,7.1
1934-04-16T05:15:00.000Z,7.526,126.857,35,7.1
1934-05-04T11:36:00.000Z,61.519,-147.599,35,7.1
1934-07-18T08:36:00.000Z,8.045,-82.48,25,7.6
1934-07-19T02:40:00.000Z,-11.907,166.731,35,7.8
1934-07-21T13:18:00.000Z,-11.139,165.503,35,7.1
1934-10-10T22:42:00.000Z,-23.748,179.782,529.8,7.2
1934-12-15T09:57:00.000Z,31.013,89.08,35,7.1
1935-01-01T02:45:00.000Z,32.685,-115.761,15,7.1
1935-02-23T01:06:00.000Z,53.273,175.017,35,7.1
1935-04-19T22:23:00.000Z,31.243,15.3,15,7.1
1935-04-21T05:02:00.000Z,24.364,120.613,35,7.1
1935-05-31T04:32:00.000Z,28.894,66.176,35,8.1
1935-06-25T06:23:00.000Z,-15.55,167.872,141.6,7.1
1935-07-29T14:38:00.000Z,-21.537,-177.919,454.9,7.1
1935-08-17T08:44:00.000Z,-22.098,171.646,35,7.2
1935-09-04T08:37:00.000Z,22.259,121.257,35,7.1
1935-09-11T21:04:00.000Z,43.29,146.634,35,7.2
1935-09-20T08:46:00.000Z,-3.92,141.33,35,8.1
1935-10-12T23:45:00.000Z,40.266,143.318,35,7.1
1935-10-18T07:11:00.000Z,40.394,144.156,35,7.1
1935-12-15T06:05:00.000Z,14.718,-92.484,35,7.2
1935-12-15T15:07:00.000Z,-9.59,161.145,35,7.5
1935-12-18T03:17:00.000Z,22.525,125.747,25,7.1
1935-12-28T10:35:00.000Z,-0.345,98.147,35,7.8
1936-02-15T20:47:00.000Z,-4.362,133.285,35,7.1
1936-04-01T09:09:00.000Z,4.165,126.521,35,7.7
1936-04-19T12:07:00.000Z,-7.674,156.473,35,7.2
1936-06-30T22:06:00.000Z,51.274,160.885,35,7.2
1936-07-06T01:55:00.000Z,5.856,127.024,35,7.3
1936-07-13T18:12:00.000Z,-24.715,-70.023,35,7.1
1936-08-22T18:09:00.000Z,21.949,121.186,35,7.2
1936-08-24T04:12:00.000Z,5.296,94.759,35,7.1
1936-09-19T08:01:00.000Z,3.648,97.551,35,7.1
1936-11-03T04:45:00.000Z,38.337,142.151,35,7.1
1936-11-13T20:31:00.000Z,56.038,163.458,35,7.1
1937-01-07T21:20:00.000Z,35.404,97.667,15,7.6
1937-01-25T14:34:00.000Z,-10.847,162.794,35,7.1
1937-02-21T15:02:00.000Z,44.241,149.605,56,7.3
1937-04-16T10:01:00.000Z,-20.768,-177.144,348.8,7.5
